House of Representatives - 1998 Election			
First Preference Votes			
By Party by State			
* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National 			
Party candidate was endorsed for the supplementary election. Therefore results from the supplementary election 			
are included in the first preference part of the table but not the two party preferred section.			
			
National Summary			
Enrolment 12154050			
			
Party	Votes	%	Swing
LP	3764707	33.89	-4.80
NP	588088	5.29	-2.91
CLP	36014	0.32	-0.03
ALP	4454306	40.10	1.34
DEM	569935	5.13	-1.63
GRN	238035	2.14	0.41
HAN	936621	8.43	8.43
UNI	87252	0.79	0.79
CDP	64916	0.58	0.19
OTH	369189	3.32	-1.79
FORMAL	11109063	96.22	-0.57
INFORMAL	436138	3.78	0.57
TOTAL	11545201	94.99	-0.78
Two Party Preferred			
ALP	5630409	50.98	4.61
Coalition	5413431	49.02	-4.61
			
			
			
New South Wales			
Enrolment 4076081			

Party	Votes	%	Swing
LP	1131545	30.49	-2.97
NP	293126	7.90	-4.17
ALP	1489021	40.12	0.56
DEM	154496	4.16	-2.38
GRN	98647	2.66	0.14
HAN	332510	8.96	8.96
UNI	57666	1.55	1.55
CDP	38023	1.02	0.10
OTH	116110	3.13	-1.79
FORMAL	3711144	95.99	-0.38
INFORMAL	154859	4.01	0.38
TOTAL	3866003	94.85	-1.53
Two Party Preferred			
ALP	1879281	51.54	4.11
Coalition	1766640	48.46	-4.11


Victoria			
Enrolment 3081632			

Party	Votes	%	Swing
LP	1053990	37.08	-2.82
NP	77385	2.72	-1.90
ALP	1261289	44.37	1.45
DEM	171091	6.02	-1.33
GRN	59383	2.09	2.09
HAN	105798	3.72	3.72
UNI	29265	1.03	1.03
CDP	3793	0.13	-0.16
OTH	80687	2.84	-2.08
FORMAL	2842681	96.49	-0.59
INFORMAL	103524	3.51	0.59
TOTAL	2946205	95.61	-0.50
Two Party Preferred			
ALP	1521560	53.53	3.22
Coalition	1321121	46.47	-3.22


Queensland			
Enrolment 2188024			

Party	Votes	%	Swing
LP	615153	30.86	-8.43
NP	199185	9.99	-5.93
ALP	719743	36.11	2.94
DEM	80003	4.01	-2.69
GRN	47440	2.38	-0.08
HAN	285983	14.35	14.35
CDP	11243	0.56	0.54
OTH	34625	1.74	-0.70
FORMAL	1993375	96.67	-0.77
INFORMAL	68659	3.33	0.77
TOTAL	2062034	94.24	-0.37
Two Party Preferred			
ALP	935867	46.95	7.17
Coalition	1057508	53.05	-7.17


Western Australia			
Enrolment 1149619			

Party	Votes	%	Swing
LP	397836	38.15	-5.87
NP	13596	1.30	-0.03
ALP	377545	36.21	1.48
DEM	41364	3.97	-1.61
GWA	52674	5.05	-0.25
HAN	96708	9.27	9.27
UNI	321	0.03	0.03
CDP	8336	0.80	0.80
OTH	54395	5.22	-3.82
FORMAL	1042775	95.82	-1.03
INFORMAL	45509	4.18	1.03
TOTAL	1088284	94.66	-0.29
Two Party Preferred			
ALP	515733	49.46	5.46
Coalition	527042	50.54	-5.46


South Australia			
Enrolment 1013989			

Party	Votes	%	Swing
LP	389382	42.05	-7.94
NP	4796	0.52	0.52
ALP	319267	34.48	-0.35
DEM	93905	10.14	-0.06
GRN	4576	0.49	-2.45
HAN	90773	9.80	9.80
CDP	3521	0.38	0.38
OTH	19771	2.14	0.10
FORMAL	925991	95.46	-0.46
INFORMAL	44074	4.54	0.46
TOTAL	970065	95.67	-0.22
Two Party Preferred			
ALP	434189	46.89	4.15
Coalition	491802	53.11	-4.15


Tasmania			
Enrolment 330121			

Party	Votes	%	Swing
LP	117377	38.17	-6.29
ALP	150384	48.91	4.60
DEM	10024	3.26	-0.83
GRN	17091	5.56	5.56
HAN	7553	2.46	2.46
OTH	5048	1.64	-5.50
FORMAL	307477	96.91	-0.75
INFORMAL	9819	3.09	0.75
TOTAL	317296	96.12	-0.47
Two Party Preferred			
ALP	176241	57.32	5.74
Coalition	131236	42.68	-5.74


Australian Capital Territory			
Enrolment 209536			

Party	Votes	%	Swing
LP	59424	30.52	-10.40
ALP	98588	50.64	2.73
DEM	14394	7.39	7.39
GRN	8145	4.18	-4.51
HAN	9895	5.08	5.08
OTH	4237	2.18	-0.29
FORMAL	194683	97.13	-0.04
INFORMAL	5743	2.87	0.04
TOTAL	200426	95.65	-1.02
Two Party Preferred			
ALP	121552	62.44	6.98
Coalition	73131	37.56	-6.98


Northern Territory			
Enrolment 105048			

Party	Votes	%	Swing
CLP	36014	39.60	-5.44
ALP	38469	42.30	-1.20
DEM	4658	5.12	5.12
GRN	2753	3.03	-3.23
HAN	7401	8.14	8.14
DSL	624	0.69	0.69
OTH	1018	1.12	-4.08
FORMAL	90937	95.84	-0.77
INFORMAL	3951	4.16	0.77
TOTAL	94888	90.33	1.23
Two Party Preferred			
ALP	45986	50.57	0.94
Coalition	44951	49.43	-0.94


			
			

			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
