House of Representatives - 1998 Election																																					
Nomination Numbers by Gender																																					
																																					
																																					
		NSW				VIC				QLD				WA				SA				TAS				ACT				NT				Total			Grand
Party	M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		Total
ACS	4				3		1		1				2																				10		1		11
ALP	31		19		25		12		18		9		10		4		7		5		4		1		1		1		1				97		51		148
ARP					3																												3		0		3
ASP					3		2																										3		2		5
AWP											2																						0		2		2
CEC	6		2		5		1		4		2		6																				21		5		26
CDP	21		6		3		1		7		2		7		1		2																40		10		50
CLP																													1				1		0		1
CTA			1																														0		1		1
DEM	38		12		29		8		16		11		10		4		8		4		4		1		1		1		1				107		41		148
DSL	4		3		1				1				1														2				1		7		6		13
EFF																	1																1		0		1
FLR									3																								3		0		3
FST	2				4		2		1				3		2		1		1														11		5		16
GRN	23		22		15		12		14		13						1		1		2		3		1		1				1		56		53		109
GWA													10		4																		10		4		14
HAN	45		5		29		1		20		7		12		2		9		3		3				2				1				121		18		139
IND	36		5		25		3		22		7		6		1		8		3								1		1				98		20		118
LP	34		9		30		5		13		9		11		3		8		4		4		1		2								102		31		133
NAN	2		2																														2		2		4
NLP	9		7		19		8								4		6		2		1				1		1						36		22		58
NP	10		2		3				9		1		2		2		3																27		5		32
PLP	1				1		1																										2		1		3
RPA	2				1																												3		0		3
SEP	2																																2		0		2
TFP																					3												3		0		3
UNI	17		8		21		10						1																				39		18		57
OTH	2				2								1				1																6		0		6
Sub-Total	289		103		222		67		129		63		82		27		55		23		21		6		8		7		5		2		811		298		1109
TOTAL		392				289				192				109				78				27				15				7				1109			1109
