House of Representatives - 1998 Election									
Votes Counted By Vote Type									
By Division									
									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional	Total		
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Votes	%	
New South Wales	4076081	3105770	283037	171835	264453	40908	3866003	94.85	
Victoria	3081632	2481382	159762	123625	156145	25291	2946205	95.61	
Queensland	2188024	1714249	139311	95489	102126	10859	2062034	94.24	
Western Australia	1149619	919836	81583	29918	48124	8823	1088284	94.66	
South Australia	1013989	790799	68633	55530	47307	7796	970065	95.67	
Tasmania	330121	276422	14693	13098	12471	612	317296	96.12	
Australian Capital Territory	209536	140579	3826	10055	45049	917	200426	95.65	
Northern Territory	105048	81134	0	2822	8580	2352	94888	90.33	
NATIONAL TOTAL	12154050	9510171	750845	502372	684255	97558	11545201	94.99
								
								
New South Wales								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Banks	80108	61661	6251	2736	5166	420	76234	95.16
Barton	83151	64810	5112	3362	4493	932	78709	94.66
Bennelong	83725	63308	6605	4233	4918	537	79601	95.07
Berowra	86091	63161	7146	3290	7894	441	81932	95.17
Blaxland	80590	63686	4916	2866	3488	1051	76007	94.31
Bradfield	80669	58773	6505	3948	6835	257	76318	94.61
Calare	78339	59784	5250	3765	5628	933	75360	96.20
Charlton	86091	65753	6176	3118	7038	733	82818	96.20
Chifley	82386	64144	6650	2482	3537	1186	77999	94.68
Cook	80733	60190	5920	3823	6278	712	76923	95.28
Cowper	79213	61226	4597	2664	5958	960	75405	95.19
Cunningham	77221	60319	4690	3981	4063	515	73568	95.27
Dobell	82861	63145	5158	3507	6559	917	79286	95.69
Eden-Monaro	78927	59512	3360	4709	6964	1062	75607	95.79
Farrer	75126	59519	2171	4099	5475	792	72056	95.91
Fowler	90623	72697	6037	1607	3050	1727	85118	93.93
Gilmore	78777	60595	4613	3706	6131	748	75793	96.21
Grayndler	85901	64066	7221	2907	4043	1299	79536	92.59
Greenway	86328	66555	7447	3278	3994	813	82087	95.09
Gwydir	72930	55985	5520	3164	4199	687	69555	95.37
Hughes	87821	65711	7810	4599	5997	378	84495	96.21
Hume	75237	59484	4732	4022	3656	527	72421	96.26
Hunter	77139	58884	5125	2956	6380	830	74175	96.16
Kingsford-Smith	80581	60876	5120	2435	6062	1083	75576	93.79
Lindsay	84257	65002	7055	3292	4683	873	80905	96.02
Lowe	81910	63428	5415	3745	4411	775	77774	94.95
Lyne	82215	65446	4813	1893	6024	872	79048	96.15
