House of Representatives - 1998 Election							
Two Party Preferred Statistics							
By Division							
* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party							
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.							


National Summary							
				Coalition			
State	ALP			(LP/NP/CLP)		Total	Swing
	Votes	%		Votes	%		
New South Wales	1879281	51.54		1766640	48.46	3645921	4.11
Victoria	1521560	53.53		1321121	46.47	2842681	3.22
Queensland	935867	46.95		1057508	53.05	1993375	7.17
Western Australia	515733	49.46		527042	50.54	1042775	5.46
South Australia	434189	46.89		491802	53.11	925991	4.15
Tasmania	176241	57.32		131236	42.68	307477	5.74
Australian Capital Territory	121552	62.44		73131	37.56	194683	6.98
Northern Territory	45986	50.57		44951	49.43	90937	0.94

Australia	5630409	50.98		5413431	49.02	11043840	4.61



New South Wales							

Division	ALP			LP/NP		Total	Swing
	Votes	%		Votes	%		
Banks	41818	57.11		31410	42.89	73228	5.7
Barton	45029	59.76		30316	40.24	75345	5.42
Bennelong	33013	43.97		42075	56.03	75088	4.1
Berowra	28983	36.48		50457	63.52	79440	4.88
Blaxland	51738	72.06		20058	27.94	71796	9.08
Bradfield	19867	26.8		54276	73.2	74143	2.56
Calare	34068	46.79		38744	53.21	72812	-0.31
Charlton	50570	62.97		29735	37.03	80305	3.65
Chifley	52037	70.89		21365	29.11	73402	6.36
Cook	30310	41.06		43510	58.94	73820	3.34
Cowper	32002	43.64		41335	56.36	73337	5.2
Cunningham	48423	68.2		22581	31.8	71004	5.29
Dobell	40980	53.35		35840	46.65	76820	3.27
Eden-Monaro	36460	49.82		36722	50.18	73182	4.58
Farrer	24493	35.38		44733	64.62	69226	6.61
Fowler	61216	76.33		18982	23.67	80198	8.06
Gilmore	34037	45.96		40013	54.04	74050	2.2
Grayndler	54528	72.32		20866	27.68	75394	5.95
Greenway	46493	59.94		31072	40.06	77565	6.55
Gwydir	24330	36.42		42480	63.58	66810	4.93
