House of Representatives - 1998 Election															
First Preference Votes															
By Vote Type by Party by State															
															
															
National															
Enrolment 12154050															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	133	133	64	3063219	33.54	256852	35.63	22248	24.13	237011	35.47	185377	37.44	3764707	33.89
NP	32	32	16	476929	5.22	34031	4.72	3755	4.07	37743	5.65	35630	7.20	588088	5.29
ALP	148	148	67	3727882	40.82	257210	35.68	44236	47.98	249115	37.28	175863	35.51	4454306	40.10
CLP	1	1	0	30145	0.33	0	0.00	640	0.69	3814	0.57	1415	0.29	36014	0.32
DEM	148	148	0	458400	5.02	47967	6.65	4356	4.72	35589	5.33	23623	4.77	569935	5.13
GRN	109	109	0	182662	2.00	24935	3.46	3186	3.46	18647	2.79	8605	1.74	238035	2.14
HAN	139	139	0	769254	8.42	60281	8.36	7975	8.65	54571	8.17	44540	8.99	936621	8.43
UNI	57	57	0	72273	0.79	5856	0.81	1309	1.42	5258	0.79	2556	0.52	87252	0.79
CDP	50	50	0	51267	0.56	5804	0.81	536	0.58	4246	0.64	3063	0.62	64916	0.58
Other	127	292	1	300605	3.29	27850	3.86	3956	4.29	22270	3.33	14508	2.93	369189	3.32
FORMAL				9132636	96.03	720786	96.00	92197	94.50	668264	97.66	495180	98.57	11109063	96.22
INFORMAL				377535	3.97	30059	4.00	5361	5.50	15991	2.34	7192	1.43	436138	3.78
TOTAL				9510171	82.37	750845	6.50	97558	0.85	684255	5.93	502372	4.35	11545201	94.99


New South Wales															
Enrolment 4076081															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	43	43	18	889833	29.92	92806	34.24	8331	21.57	83377	32.32	57198	33.75	1131545	30.49
NP	12	12	9	235662	7.92	16261	6.00	2489	6.44	23492	9.11	15222	8.98	293126	7.90
ALP	50	50	22	1216145	40.89	98077	36.18	18736	48.51	94795	36.74	61268	36.15	1489021	40.12
DEM	50	50	0	119753	4.03	14593	5.38	1389	3.60	11378	4.41	7383	4.36	154496	4.16
GRN	45	45	0	74075	2.49	11346	4.19	1648	4.27	7892	3.06	3686	2.17	98647	2.66
HAN	50	50	0	268080	9.01	22510	8.30	3424	8.86	22835	8.85	15661	9.24	332510	8.96
UNI	25	25	0	48401	1.63	3467	1.28	909	2.35	3403	1.32	1486	0.88	57666	1.55
CDP	27	27	0	29304	0.99	3511	1.30	335	0.87	2848	1.10	2025	1.19	38023	1.02
Other	39	90	1	92715	3.12	8502	3.14	1364	3.53	7974	3.09	5555	3.28	116110	3.13
FORMAL				2973968	95.76	271073	95.77	38625	94.42	257994	97.56	169484	98.63	3711144	95.99
INFORMAL				131802	4.24	11964	4.23	2283	5.58	6459	2.44	2351	1.37	154859	4.01
TOTAL				3105770	80.34	283037	7.32	40908	1.06	264453	6.84	171835	4.44	3866003	94.85


Victoria															
Enrolment 3081632															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	35	35	16	873515	36.53	58654	38.31	6768	28.20	61775	40.55	53278	43.73	1053990	37.08
NP	3	3	2	66016	2.76	3010	1.97	419	1.75	4296	2.82	3644	2.99	77385	2.72
ALP	37	37	19	1082223	45.25	60107	39.26	12383	51.59	60017	39.39	46559	38.21	1261289	44.37
