Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Griffith (92367)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Balmoral		3	0.23		475	35.82		0	0.00		46	3.47		6	0.45		54	4.07		18	1.36		4	0.30		69	5.20		479	36.12		4	0.30		167	12.59		1	0.08		1326	97.29		37	2.71		1363	1.56
Belmont School		11	0.18		1846	30.26		1	0.02		231	3.79		49	0.80		127	2.08		47	0.77		4	0.07		221	3.62		3117	51.10		35	0.57		407	6.67		4	0.07		6100	96.84		199	3.16		6299	7.19
Brisbane City (Griffith)		4	0.89		160	35.79		0	0.00		12	2.68		4	0.89		33	7.38		12	2.68		1	0.22		13	2.91		142	31.77		7	1.57		59	13.20		0	0.00		447	96.13		18	3.87		465	0.53
Broadwater		1	0.31		128	40.00		0	0.00		23	7.19		3	0.94		7	2.19		2	0.63		0	0.00		18	5.63		106	33.13		3	0.94		29	9.06		0	0.00		320	98.16		6	1.84		326	0.37
Bulimba		12	0.32		1235	33.36		1	0.03		162	4.38		8	0.22		193	5.21		43	1.16		6	0.16		145	3.92		1501	40.55		12	0.32		383	10.35		1	0.03		3702	97.11		110	2.89		3812	4.35
Camp Hill		10	0.40		853	34.00		4	0.16		85	3.39		17	0.68		132	5.26		30	1.20		0	0.00		82	3.27		1014	40.41		21	0.84		261	10.40		0	0.00		2509	96.98		78	3.02		2587	2.95
Camp Hill High		7	0.35		714	35.68		0	0.00		80	4.00		13	0.65		65	3.25		22	1.10		3	0.15		86	4.30		833	41.63		10	0.50		168	8.40		0	0.00		2001	96.34		76	3.66		2077	2.37
Cannon Hill		18	0.54		1510	45.06		1	0.03		95	2.83		22	0.66		128	3.82		45	1.34		5	0.15		170	5.07		1012	30.20		29	0.87		316	9.43		0	0.00		3351	96.46		123	3.54		3474	3.96
