House of Representatives - 2001 Election: Queensland																								
Distribution of Preferences 																								
By Polling Place																								
Dawson																								
				PUKALLUS			JONES			KELLY			FEENEY			ELLUL			OFFIELD			ROBINSON		
				Jan			Barry			De-Anne			Cherry			Andrew Bernard			Karen			Rob		
				CEC			GRN			NP			ALP			IND			DEM			HAN		
	Count		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Airlie Beach                                                   																								
	FIRST		2	0.38		24	4.56		295	56.08		144	27.38		6	1.14		34	6.46		21	3.99		526
	SECOND			Excluded		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL				25	4.75		295	56.08		144	27.38		7	1.33		34	6.46		21	3.99		526
	THIRD					1	14.29		2	28.57		0	0.00			Excluded		2	28.57		2	28.57		7
		TOTAL				26	4.94		297	56.46		144	27.38					36	6.84		23	4.37		526
	FOURTH					9	25.00		15	41.67		11	30.56						Excluded		1	2.78		36
		TOTAL				35	6.65		312	59.32		155	29.47								24	4.56		526
	FIFTH						Excluded		18	51.43		12	34.29								5	14.29		35
		TOTAL							330	62.74		167	31.75								29	5.51		526
	SIXTH								13	44.83		16	55.17									Excluded		29
		TOTAL							343	65.21		183	34.79											526
									Elected															
																								
Airville                                                       																								
	FIRST		2	0.52		4	1.04		281	72.80		61	15.80		1	0.26		6	1.55		31	8.03		386
	SECOND			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				5	1.30		282	73.06		61	15.80		1	0.26		6	1.55		31	8.03		386
	THIRD					0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1
		TOTAL				5	1.30		282	73.06		62	16.06					6	1.55		31	8.03		386
	FOURTH					1	16.67		1	16.67		2	33.33						Excluded		2	33.33		6
		TOTAL				6	1.55		283	73.32		64	16.58								33	8.55		386
	FIFTH						Excluded		1	16.67		4	66.67								1	16.67		6
		TOTAL							284	73.58		68	17.62								34	8.81		386
	SIXTH								18	52.94		16	47.06									Excluded		34
		TOTAL							302	78.24		84	21.76											386
									Elected															
																								
Alligator Creek                                                																								
	FIRST		6	0.55		33	3.04		420	38.64		443	40.75		13	1.20		19	1.75		153	14.08		1087
	SECOND			Excluded		5	83.33		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		6
		TOTAL				38	3.50		420	38.64		444	40.85		13	1.20		19	1.75		153	14.08		1087
	THIRD					1	7.69		2	15.38		2	15.38			Excluded		2	15.38		6	46.15		13
		TOTAL				39	3.59		422	38.82		446	41.03					21	1.93		159	14.63		1087
	FOURTH					4	19.05		2	9.52		7	33.33						Excluded		8	38.10		21
		TOTAL				43	3.96		424	39.01		453	41.67								167	15.36		1087
	FIFTH						Excluded		20	46.51		13	30.23								10	23.26		43
		TOTAL							444	40.85		466	42.87								177	16.28		1087
	SIXTH								81	45.76		96	54.24									Excluded		177
		TOTAL							525	48.30		562	51.70											1087
									Elected															
																								
Andergrove                                                     																								
	FIRST		26	0.97		53	1.97		1200	44.59		1094	40.65		55	2.04		60	2.23		203	7.54		2691
	SECOND			Excluded		13	50.00		4	15.38		2	7.69		2	7.69		0	0.00		5	19.23		26
		TOTAL				66	2.45		1204	44.74		1096	40.73		57	2.12		60	2.23		208	7.73		2691
	THIRD					11	19.30		19	33.33		9	15.79			Excluded		13	22.81		5	8.77		57
		TOTAL				77	2.86		1223	45.45		1105	41.06					73	2.71		213	7.92		2691
	FOURTH					25	34.25		13	17.81		21	28.77						Excluded		14	19.18		73
		TOTAL				102	3.79		1236	45.93		1126	41.84								227	8.44		2691
	FIFTH						Excluded		46	45.10		37	36.27								19	18.63		102
		TOTAL							1282	47.64		1163	43.22								246	9.14		2691
	SIXTH								106	43.09		140	56.91									Excluded		246
		TOTAL							1388	51.58		1303	48.42											2691
									Elected															
																								
Ayr                                                            																								
	FIRST		24	1.01		49	2.07		1269	53.59		722	30.49		23	0.97		41	1.73		240	10.14		2368
	SECOND			Excluded		13	54.17		6	25.00		1	4.17		1	4.17		1	4.17		2	8.33		24
		TOTAL				62	2.62		1275	53.84		723	30.53		24	1.01		42	1.77		242	10.22		2368
	THIRD					2	8.33		5	20.83		3	12.50			Excluded		6	25.00		8	33.33		24
		TOTAL				64	2.70		1280	54.05		726	30.66					48	2.03		250	10.56		2368
	FOURTH					13	27.08		10	20.83		20	41.67						Excluded		5	10.42		48
		TOTAL				77	3.25		1290	54.48		746	31.50								255	10.77		2368
	FIFTH						Excluded		39	50.65		25	32.47								13	16.88		77
		TOTAL							1329	56.12		771	32.56								268	11.32		2368
	SIXTH								133	49.63		135	50.37									Excluded		268
		TOTAL							1462	61.74		906	38.26											2368
									Elected															
																								
Ayr North                                                      																								
	FIRST		2	0.72		5	1.81		125	45.29		106	38.41		2	0.72		5	1.81		31	11.23		276
	SECOND			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				6	2.17		126	45.65		106	38.41		2	0.72		5	1.81		31	11.23		276
	THIRD					1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2
		TOTAL				7	2.54		126	45.65		107	38.77					5	1.81		31	11.23		276
	FOURTH					2	40.00		1	20.00		1	20.00						Excluded		1	20.00		5
		TOTAL				9	3.26		127	46.01		108	39.13								32	11.59		276
	FIFTH						Excluded		3	33.33		2	22.22								4	44.44		9
		TOTAL							130	47.10		110	39.86								36	13.04		276
	SIXTH								10	27.78		26	72.22									Excluded		36
		TOTAL							140	50.72		136	49.28											276
									Elected															
																								
Beaconsfield                                                   																								
	FIRST		2	0.27		15	2.04		317	43.19		323	44.01		13	1.77		33	4.50		31	4.22		734
	SECOND			Excluded		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL				15	2.04		318	43.32		323	44.01		14	1.91		33	4.50		31	4.22		734
	THIRD					2	14.29		3	21.43		4	28.57			Excluded		1	7.14		4	28.57		14
		TOTAL				17	2.32		321	43.73		327	44.55					34	4.63		35	4.77		734
	FOURTH					12	35.29		4	11.76		13	38.24						Excluded		5	14.71		34
		TOTAL				29	3.95		325	44.28		340	46.32								40	5.45		734
	FIFTH						Excluded		12	41.38		14	48.28								3	10.34		29
		TOTAL							337	45.91		354	48.23								43	5.86		734
	SIXTH								24	55.81		19	44.19									Excluded		43
		TOTAL							361	49.18		373	50.82											734
									Elected															
																								
Bloomsbury                                                     																								
	FIRST		3	0.80		7	1.86		238	63.30		82	21.81		7	1.86		7	1.86		32	8.51		376
	SECOND			Excluded		3	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				10	2.66		238	63.30		82	21.81		7	1.86		7	1.86		32	8.51		376
	THIRD					1	14.29		1	14.29		1	14.29			Excluded		1	14.29		3	42.86		7
		TOTAL				11	2.93		239	63.56		83	22.07					8	2.13		35	9.31		376
	FOURTH					4	50.00		2	25.00		1	12.50						Excluded		1	12.50		8
		TOTAL				15	3.99		241	64.10		84	22.34								36	9.57		376
	FIFTH						Excluded		3	20.00		9	60.00								3	20.00		15
		TOTAL							244	64.89		93	24.73								39	10.37		376
	SIXTH								26	66.67		13	33.33									Excluded		39
		TOTAL							270	71.81		106	28.19											376
									Elected															
																								
Bowen                                                          																								
	FIRST		10	0.44		33	1.47		900	39.96		1027	45.60		14	0.62		48	2.13		220	9.77		2252
	SECOND			Excluded		4	40.00		2	20.00		4	40.00		0	0.00		0	0.00		0	0.00		10
		TOTAL				37	1.64		902	40.05		1031	45.78		14	0.62		48	2.13		220	9.77		2252
	THIRD					2	14.29		4	28.57		3	21.43			Excluded		4	28.57		1	7.14		14
		TOTAL				39	1.73		906	40.23		1034	45.91					52	2.31		221	9.81		2252
	FOURTH					25	48.08		9	17.31		9	17.31						Excluded		9	17.31		52
		TOTAL				64	2.84		915	40.63		1043	46.31								230	10.21		2252
	FIFTH						Excluded		16	25.00		37	57.81								11	17.19		64
		TOTAL							931	41.34		1080	47.96								241	10.70		2252
	SIXTH								111	46.06		130	53.94									Excluded		241
		TOTAL							1042	46.27		1210	53.73											2252
									Elected															
																								
Bowen Hospital                                                 																								
	FIRST		1	0.37		7	2.61		96	35.82		130	48.51		4	1.49		6	2.24		24	8.96		268
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				8	2.99		96	35.82		130	48.51		4	1.49		6	2.24		24	8.96		268
	THIRD					0	0.00		1	25.00		1	25.00			Excluded		1	25.00		1	25.00		4
		TOTAL				8	2.99		97	36.19		131	48.88					7	2.61		25	9.33		268
	FOURTH					2	28.57		2	28.57		2	28.57						Excluded		1	14.29		7
		TOTAL				10	3.73		99	36.94		133	49.63								26	9.70		268
	FIFTH						Excluded		4	40.00		5	50.00								1	10.00		10
