Senate - 2001 Election: Queensland																																																
First Preference Votes by Group																																																
By Polling Place																																																
Herbert (90904)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aitkenvale		5	0.22		781	35.07		1	0.04		63	2.83		20	0.90		74	3.32		42	1.89		3	0.13		208	9.34		856	38.44		12	0.54		161	7.23		1	0.04		2227	96.91		71	3.09		2298	2.66
Alice River		3	0.28		304	28.60		2	0.19		68	6.40		3	0.28		27	2.54		13	1.22		1	0.09		133	12.51		459	43.18		8	0.75		38	3.57		4	0.38		1063	97.70		25	2.30		1088	1.26
Annandale		5	0.16		705	22.86		2	0.06		143	4.64		20	0.65		78	2.53		25	0.81		4	0.13		198	6.42		1663	53.92		15	0.49		222	7.20		4	0.13		3084	98.15		58	1.85		3142	3.63
Annandale East		1	0.06		434	24.94		0	0.00		84	4.83		9	0.52		36	2.07		17	0.98		2	0.11		93	5.34		944	54.25		14	0.80		104	5.98		2	0.11		1740	98.31		30	1.69		1770	2.05
Arcadia		3	0.66		121	26.71		0	0.00		9	1.99		0	0.00		36	7.95		9	1.99		1	0.22		49	10.82		170	37.53		4	0.88		49	10.82		2	0.44		453	96.59		16	3.41		469	0.54
Belgian Gardens		1	0.08		345	28.42		1	0.08		38	3.13		9	0.74		65	5.35		17	1.40		2	0.16		90	7.41		534	43.99		6	0.49		103	8.48		3	0.25		1214	97.98		25	2.02		1239	1.43
Brisbane City (Herbert)		1	1.52		17	25.76		1	1.52		6	9.09		0	0.00		3	4.55		0	0.00		0	0.00		2	3.03		31	46.97		0	0.00		5	7.58		0	0.00		66	100.00		0	0.00		66	0.08
Condon		9	0.40		890	39.43		1	0.04		74	3.28		14	0.62		34	1.51		42	1.86		1	0.04		217	9.61		821	36.38		34	1.51		114	5.05		6	0.27		2257	96.83		74	3.17		2331	2.70
