House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Griffith																										
					ROOKE			MCMAHON			WILSON			VASTA			RENDELL			GRAHAM			RUDD			
					Joseph			Edmund Gavin			Rob			Ross			David			Ann			Kevin			
								HAN			GRN			LP			DEM			NP			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Balmoral                                                       																										
	FIRST			6	0.46		37	2.83		33	2.52		446	34.12		81	6.20		16	1.22		688	52.64		1307	
	SECOND				Excluded		3	50.00		1	16.67		0	0.00		1	16.67		1	16.67		0	0.00		6	
		TOTAL					40	3.06		34	2.60		446	34.12		82	6.27		17	1.30		688	52.64		1307	
	THIRD						1	5.88		1	5.88		11	64.71		1	5.88			Excluded		3	17.65		17	
		TOTAL					41	3.14		35	2.68		457	34.97		83	6.35					691	52.87		1307	
	FOURTH							Excluded		26	63.41		8	19.51		1	2.44					6	14.63		41	
		TOTAL								61	4.67		465	35.58		84	6.43					697	53.33		1307	
	FIFTH										Excluded		7	11.48		37	60.66					17	27.87		61	
		TOTAL											472	36.11		121	9.26					714	54.63		1307	
	SIXTH												39	32.23			Excluded					82	67.77		121	
		TOTAL											511	39.10								796	60.90		1307	
																						Elected				
																										
Belmont School                                                 																										
	FIRST			32	0.53		104	1.73		110	1.83		3035	50.47		170	2.83		81	1.35		2482	41.27		6014	
	SECOND				Excluded		16	50.00		8	25.00		3	9.38		2	6.25		0	0.00		3	9.38		32	
		TOTAL					120	2.00		118	1.96		3038	50.52		172	2.86		81	1.35		2485	41.32		6014	
	THIRD						3	3.70		3	3.70		59	72.84		7	8.64			Excluded		9	11.11		81	
		TOTAL					123	2.05		121	2.01		3097	51.50		179	2.98					2494	41.47		6014	
	FOURTH							Excluded		37	30.08		55	44.72		9	7.32					22	17.89		123	
		TOTAL								158	2.63		3152	52.41		188	3.13					2516	41.84		6014	
	FIFTH										Excluded		36	22.78		76	48.10					46	29.11		158	
		TOTAL											3188	53.01		264	4.39					2562	42.60		6014	
	SIXTH												99	37.50			Excluded					165	62.50		264	
		TOTAL											3287	54.66								2727	45.34		6014	
																						Elected				
																										
Brisbane City (Griffith)                                       																										
	FIRST			5	1.15		10	2.30		34	7.82		134	30.80		44	10.11		5	1.15		203	46.67		435	
