House of Representatives - 2001 Election: Queensland																		
Distribution of Preferences 																		
By Polling Place																		
																		
																		
Bowman																		
				LAMING			MYATT			SMITH			SMITH			SCIACCA		
				Andrew			Barry Robert			Fay Mary			Chad			Con		
				LP			HAN			GRN			DEM			ALP		
	Count		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Alexandra Hills                                                																		
	FIRST		1002	36.76		106	3.89		59	2.16		122	4.48		1437	52.71		2726
	SECOND		7	11.86		8	13.56			Excluded		29	49.15		15	25.42		59
		TOTAL	1009	37.01		114	4.18					151	5.54		1452	53.26		2726
	THIRD		45	39.47			Excluded					34	29.82		35	30.70		114
		TOTAL	1054	38.66								185	6.79		1487	54.55		2726
	FOURTH		71	38.38									Excluded		114	61.62		185
		TOTAL	1125	41.27											1601	58.73		2726
															Elected			
																		
Alexandra Park                                                 																		
	FIRST		994	40.16		132	5.33		53	2.14		138	5.58		1158	46.79		2475
	SECOND		7	13.21		7	13.21			Excluded		20	37.74		19	35.85		53
		TOTAL	1001	40.44		139	5.62					158	6.38		1177	47.56		2475
	THIRD		69	49.64			Excluded					33	23.74		37	26.62		139
		TOTAL	1070	43.23								191	7.72		1214	49.05		2475
	FOURTH		59	30.89									Excluded		132	69.11		191
		TOTAL	1129	45.62											1346	54.38		2475
															Elected			
																		
Amity Point                                                    																		
	FIRST		93	35.63		18	6.90		15	5.75		8	3.07		127	48.66		261
	SECOND		3	20.00		3	20.00			Excluded		6	40.00		3	20.00		15
		TOTAL	96	36.78		21	8.05					14	5.36		130	49.81		261
	THIRD		8	38.10			Excluded					10	47.62		3	14.29		21
		TOTAL	104	39.85								24	9.20		133	50.96		261
	FOURTH		8	33.33									Excluded		16	66.67		24
		TOTAL	112	42.91											149	57.09		261
															Elected			
																		
Birkdale                                                       																		
	FIRST		1853	45.80		208	5.14		85	2.10		207	5.12		1693	41.84		4046
	SECOND		13	15.29		11	12.94			Excluded		38	44.71		23	27.06		85
		TOTAL	1866	46.12		219	5.41					245	6.06		1716	42.41		4046
	THIRD		115	52.51			Excluded					49	22.37		55	25.11		219
		TOTAL	1981	48.96								294	7.27		1771	43.77		4046
	FOURTH		106	36.05									Excluded		188	63.95		294
		TOTAL	2087	51.58											1959	48.42		4046
															Elected			
																		
Birkdale South                                                 																		
	FIRST		1479	41.60		166	4.67		81	2.28		200	5.63		1629	45.82		3555
	SECOND		12	14.81		13	16.05			Excluded		42	51.85		14	17.28		81
		TOTAL	1491	41.94		179	5.04					242	6.81		1643	46.22		3555
	THIRD		90	50.28			Excluded					45	25.14		44	24.58		179
		TOTAL	1581	44.47								287	8.07		1687	47.45		3555
	FOURTH		108	37.63									Excluded		179	62.37		287
		TOTAL	1689	47.51											1866	52.49		3555
															Elected			
																		
Brisbane City (Bowman)                                         																		
	FIRST		59	41.26		6	4.20		10	6.99		14	9.79		54	37.76		143
	SECOND		1	10.00		0	0.00			Excluded		7	70.00		2	20.00		10
		TOTAL	60	41.96		6	4.20					21	14.69		56	39.16		143
	THIRD		4	66.67			Excluded					0	0.00		2	33.33		6
		TOTAL	64	44.76								21	14.69		58	40.56		143
	FOURTH		8	38.10									Excluded		13	61.90		21
		TOTAL	72	50.35											71	49.65		143
															Elected			
																		
Capalaba                                                       																		
	FIRST		839	37.84		134	6.04		53	2.39		111	5.01		1080	48.71		2217
	SECOND		4	7.55		3	5.66			Excluded		32	60.38		14	26.42		53
		TOTAL	843	38.02		137	6.18					143	6.45		1094	49.35		2217
	THIRD		66	48.18			Excluded					37	27.01		34	24.82		137
		TOTAL	909	41.00								180	8.12		1128	50.88		2217
	FOURTH		66	36.67									Excluded		114	63.33		180
		TOTAL	975	43.98											1242	56.02		2217
															Elected			
																		
Capalaba School (Bowman)                                       																		
	FIRST		1106	37.94		152	5.21		58	1.99		136	4.67		1463	50.19		2915
	SECOND		11	18.97		8	13.79			Excluded		20	34.48		19	32.76		58
		TOTAL	1117	38.32		160	5.49					156	5.35		1482	50.84		2915
	THIRD		78	48.75			Excluded					35	21.88		47	29.38		160
		TOTAL	1195	40.99								191	6.55		1529	52.45		2915
	FOURTH		67	35.08									Excluded		124	64.92		191
		TOTAL	1262	43.29											1653	56.71		2915
															Elected			
																		
Cleveland                                                      																		
	FIRST		1111	51.67		104	4.84		54	2.51		86	4.00		795	36.98		2150
	SECOND		11	20.37		6	11.11			Excluded		21	38.89		16	29.63		54
		TOTAL	1122	52.19		110	5.12					107	4.98		811	37.72		2150
	THIRD		66	60.00			Excluded					20	18.18		24	21.82		110
		TOTAL	1188	55.26								127	5.91		835	38.84		2150
	FOURTH		34	26.77									Excluded		93	73.23		127
		TOTAL	1222	56.84											928	43.16		2150
															Elected			
																		
Cleveland School                                               																		
	FIRST		2482	58.28		169	3.97		73	1.71		164	3.85		1371	32.19		4259
	SECOND		8	10.96		2	2.74			Excluded		32	43.84		31	42.47		73
		TOTAL	2490	58.46		171	4.02					196	4.60		1402	32.92		4259
	THIRD		114	66.67			Excluded					21	12.28		36	21.05		171
		TOTAL	2604	61.14								217	5.10		1438	33.76		4259
	FOURTH		64	29.49									Excluded		153	70.51		217
		TOTAL	2668	62.64											1591	37.36		4259
															Elected			
																		
Coolnwynpin                                                    																		
	FIRST		1184	46.23		110	4.30		33	1.29		118	4.61		1116	43.58		2561
	SECOND		8	24.24		3	9.09			Excluded		10	30.30		12	36.36		33
		TOTAL	1192	46.54		113	4.41					128	5.00		1128	44.05		2561
	THIRD		63	55.75			Excluded					21	18.58		29	25.66		113
		TOTAL	1255	49.00								149	5.82		1157	45.18		2561
	FOURTH		53	35.57									Excluded		96	64.43		149
		TOTAL	1308	51.07											1253	48.93		2561
															Elected			
																		
Dunwich                                                        																		
	FIRST		148	27.87		27	5.08		14	2.64		15	2.82		327	61.58		531
	SECOND		0	0.00		0	0.00			Excluded		10	71.43		4	28.57		14
		TOTAL	148	27.87		27	5.08					25	4.71		331	62.34		531
	THIRD		11	40.74			Excluded					8	29.63		8	29.63		27
		TOTAL	159	29.94								33	6.21		339	63.84		531
	FOURTH		7	21.21									Excluded		26	78.79		33
		TOTAL	166	31.26											365	68.74		531
															Elected			
																		
Gumdale (Bowman)                                               																		
	FIRST		166	48.12		28	8.12		9	2.61		17	4.93		125	36.23		345
	SECOND		1	11.11		3	33.33			Excluded		4	44.44		1	11.11		9
		TOTAL	167	48.41		31	8.99					21	6.09		126	36.52		345
	THIRD		18	58.06			Excluded					7	22.58		6	19.35		31
		TOTAL	185	53.62								28	8.12		132	38.26		345
	FOURTH		9	32.14									Excluded		19	67.86		28
		TOTAL	194	56.23											151	43.77		345
															Elected			
																		
Hemmant                                                        																		
	FIRST		315	31.31		68	6.76		31	3.08		48	4.77		544	54.08		1006
	SECOND		3	9.68		3	9.68			Excluded		22	70.97		3	9.68		31
		TOTAL	318	31.61		71	7.06					70	6.96		547	54.37		1006
	THIRD		32	45.07			Excluded					16	22.54		23	32.39		71
		TOTAL	350	34.79								86	8.55		570	56.66		1006
	FOURTH		27	31.40									Excluded		59	68.60		86
		TOTAL	377	37.48											629	62.52		1006
															Elected			
																		
Hilliard                                                       																		
