House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences 																													
By Polling Place																													
Blair																													
						KYSON			THOMPSON			MCKENZIE			TURNER			RYAN			WENDT			JOHNSTON			COSGROVE		
						Phil			Cameron P			Neal R			Gary			Dan			Wayne			Selwyn			Lindsay David		
						GRN			LP			DEM			HAN			IND			ALP			IND			CEC		
		Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
	Amberley                                                       																												
		FIRST			11	2.03		262	48.34		33	6.09		83	15.31		5	0.92		136	25.09		9	1.66		3	0.55		542
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		1	33.33			Excluded		3
			TOTAL		11	2.03		262	48.34		33	6.09		83	15.31		5	0.92		138	25.46		10	1.85					542
		THIRD			0	0.00		1	20.00		0	0.00		1	20.00			Excluded		0	0.00		3	60.00					5
			TOTAL		11	2.03		263	48.52		33	6.09		84	15.50					138	25.46		13	2.40					542
		FOURTH			21	63.64		4	12.12			Excluded		1	3.03					6	18.18		1	3.03					33
			TOTAL		32	5.90		267	49.26					85	15.68					144	26.57		14	2.58					542
		FIFTH			7	50.00		3	21.43					2	14.29					2	14.29			Excluded					14
			TOTAL		39	7.20		270	49.82					87	16.05					146	26.94								542
		SIXTH				Excluded		21	53.85					5	12.82					13	33.33								39
			TOTAL					291	53.69					92	16.97					159	29.34								542
		SEVENTH						50	54.35						Excluded					42	45.65								92
			TOTAL					341	62.92											201	37.08								542
								Elected																					
																													
	Blackbutt                                                      																												
		FIRST			42	4.19		401	39.98		14	1.40		191	19.04		18	1.79		288	28.71		46	4.59		3	0.30		1003
		SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		3
			TOTAL		43	4.29		401	39.98		14	1.40		191	19.04		18	1.79		289	28.81		47	4.69					1003
		THIRD			3	16.67		0	0.00		0	0.00		5	27.78			Excluded		4	22.22		6	33.33					18
			TOTAL		46	4.59		401	39.98		14	1.40		196	19.54					293	29.21		53	5.28					1003
		FOURTH			7	50.00		3	21.43			Excluded		2	14.29					2	14.29		0	0.00					14
			TOTAL		53	5.28		404	40.28					198	19.74					295	29.41		53	5.28					1003
		FIFTH			8	15.09		6	11.32					29	54.72					10	18.87			Excluded					53
			TOTAL		61	6.08		410	40.88					227	22.63					305	30.41								1003
		SIXTH				Excluded		18	29.51					15	24.59					28	45.90								61
			TOTAL					428	42.67					242	24.13					333	33.20								1003
		SEVENTH						91	37.60						Excluded					151	62.40								242
			TOTAL					519	51.74											484	48.26								1003
								Elected																					
																													
	Blair School                                                   																												
		FIRST			60	3.62		610	36.84		71	4.29		168	10.14		16	0.97		700	42.27		26	1.57		5	0.30		1656
		SECOND			0	0.00		2	40.00		0	0.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded		5
			TOTAL		60	3.62		612	36.96		71	4.29		169	10.21		16	0.97		701	42.33		27	1.63					1656
		THIRD			2	12.50		3	18.75		0	0.00		3	18.75			Excluded		3	18.75		5	31.25					16
			TOTAL		62	3.74		615	37.14		71	4.29		172	10.39					704	42.51		32	1.93					1656
		FOURTH			34	47.89		12	16.90			Excluded		5	7.04					13	18.31		7	9.86					71
			TOTAL		96	5.80		627	37.86					177	10.69					717	43.30		39	2.36					1656
		FIFTH			15	38.46		8	20.51					11	28.21					5	12.82			Excluded					39
			TOTAL		111	6.70		635	38.35					188	11.35					722	43.60								1656
		SIXTH				Excluded		43	38.74					12	10.81					56	50.45								111
			TOTAL					678	40.94					200	12.08					778	46.98								1656
		SEVENTH						90	45.00						Excluded					110	55.00								200
			TOTAL					768	46.38											888	53.62								1656
								Elected																					
																													
	Blenheim                                                       																												
		FIRST			5	1.75		126	44.06		6	2.10		70	24.48		14	4.90		59	20.63		4	1.40		2	0.70		286
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2
