House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences																															
By Polling Place																															
Wide Bay																															
				WICKS			HETHERINGTON			TRUSS			DWYER			JANSEN			PITT			TREMLIN			SMITH			DALGLEISH			
				Graeme			Maurice			Warren			Jim			Paul			A R			Russ			Althea			David			
				IND			CEC			NP			HAN			GRN			IND			ALP			DEM			IND			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Baddow                                                         																															
	FIRST			85	4.19		4	0.20		879	43.34		204	10.06		42	2.07		137	6.76		603	29.73		30	1.48		44	2.17		2028
	SECOND			1	25.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		1	25.00		4
		TOTAL		86	4.24					879	43.34		204	10.06		43	2.12		137	6.76		604	29.78		30	1.48		45	2.22		2028
	THIRD			1	3.33					4	13.33		1	3.33		10	33.33		1	3.33		12	40.00			Excluded		1	3.33		30
		TOTAL		87	4.29					883	43.54		205	10.11		53	2.61		138	6.80		616	30.37					46	2.27		2028
	FOURTH			8	15.09					14	26.42		4	7.55			Excluded		6	11.32		20	37.74					1	1.89		53
		TOTAL		95	4.68					897	44.23		209	10.31					144	7.10		636	31.36					47	2.32		2028
	FIFTH			66	45.83					18	12.50		20	13.89						Excluded		14	9.72					26	18.06		144
		TOTAL		161	7.94					915	45.12		229	11.29								650	32.05					73	3.60		2028
	SIXTH			30	41.10					12	16.44		22	30.14								9	12.33						Excluded		73
		TOTAL		191	9.42					927	45.71		251	12.38								659	32.50								2028
	SEVENTH				Excluded					48	25.13		107	56.02								36	18.85								191
		TOTAL								975	48.08		358	17.65								695	34.27								2028
	EIGHTH									180	50.28			Excluded								178	49.72								358
		TOTAL								1155	56.95											873	43.05								2028
										Elected																					
																															
Banana                                                         																															
	FIRST			3	1.84		9	5.52		93	57.06		36	22.09		0	0.00		4	2.45		15	9.20		0	0.00		3	1.84		163
	SECOND			3	33.33			Excluded		0	0.00		1	11.11		1	11.11		0	0.00		0	0.00		2	22.22		2	22.22		9
		TOTAL		6	3.68					93	57.06		37	22.70		1	0.61		4	2.45		15	9.20		2	1.23		5	3.07		163
	THIRD			0	0.00					1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2
		TOTAL		6	3.68					94	57.67		37	22.70		1	0.61		4	2.45		16	9.82					5	3.07		163
	FOURTH			1	100.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1
		TOTAL		7	4.29					94	57.67		37	22.70					4	2.45		16	9.82					5	3.07		163
	FIFTH			1	25.00					1	25.00		1	25.00						Excluded		0	0.00					1	25.00		4
		TOTAL		8	4.91					95	58.28		38	23.31								16	9.82					6	3.68		163
	SIXTH			2	33.33					1	16.67		3	50.00								0	0.00						Excluded		6
		TOTAL		10	6.13					96	58.90		41	25.15								16	9.82								163
	SEVENTH				Excluded					5	50.00		4	40.00								1	10.00								10
		TOTAL								101	61.96		45	27.61								17	10.43								163
	EIGHTH									23	51.11			Excluded								22	48.89								45
		TOTAL								124	76.07											39	23.93								163
										Elected																					
																															
Bancroft                                                       																															
	FIRST			3	3.06		0	0.00		61	62.24		25	25.51		0	0.00		2	2.04		5	5.10		0	0.00		2	2.04		98
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	3.06					61	62.24		25	25.51		0	0.00		2	2.04		5	5.10		0	0.00		2	2.04		98
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		3	3.06					61	62.24		25	25.51		0	0.00		2	2.04		5	5.10					2	2.04		98
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0
		TOTAL		3	3.06					61	62.24		25	25.51					2	2.04		5	5.10					2	2.04		98
	FIFTH			0	0.00					0	0.00		0	0.00						Excluded		0	0.00					2	100.00		2
		TOTAL		3	3.06					61	62.24		25	25.51								5	5.10					4	4.08		98
	SIXTH			2	50.00					0	0.00		2	50.00								0	0.00						Excluded		4
		TOTAL		5	5.10					61	62.24		27	27.55								5	5.10								98
	SEVENTH				Excluded					3	60.00		1	20.00								1	20.00								5
		TOTAL								64	65.31		28	28.57								6	6.12								98
	EIGHTH									13	46.43			Excluded								15	53.57								28
		TOTAL								77	78.57											21	21.43								98
										Elected																					
																															
Baralaba                                                       																															
	FIRST			7	2.54		33	11.96		151	54.71		31	11.23		0	0.00		2	0.72		44	15.94		2	0.72		6	2.17		276
	SECOND			9	27.27			Excluded		13	39.39		7	21.21		0	0.00		1	3.03		1	3.03		0	0.00		2	6.06		33
		TOTAL		16	5.80					164	59.42		38	13.77		0	0.00		3	1.09		45	16.30		2	0.72		8	2.90		276
	THIRD			0	0.00					0	0.00		2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		16	5.80					164	59.42		40	14.49		0	0.00		3	1.09		45	16.30					8	2.90		276
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0
		TOTAL		16	5.80					164	59.42		40	14.49					3	1.09		45	16.30					8	2.90		276
	FIFTH			2	66.67					0	0.00		1	33.33						Excluded		0	0.00					0	0.00		3
		TOTAL		18	6.52					164	59.42		41	14.86								45	16.30					8	2.90		276
	SIXTH			5	62.50					1	12.50		2	25.00								0	0.00						Excluded		8
		TOTAL		23	8.33					165	59.78		43	15.58								45	16.30								276
	SEVENTH				Excluded					8	34.78		13	56.52								2	8.70								23
		TOTAL								173	62.68		56	20.29								47	17.03								276
	EIGHTH									35	62.50			Excluded								21	37.50								56
		TOTAL								208	75.36											68	24.64								276
										Elected																					
																															
Bauple                                                         																															
	FIRST			9	2.85		0	0.00		127	40.19		45	14.24		11	3.48		16	5.06		96	30.38		5	1.58		7	2.22		316
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		9	2.85					127	40.19		45	14.24		11	3.48		16	5.06		96	30.38		5	1.58		7	2.22		316
	THIRD			1	20.00					0	0.00		0	0.00		2	40.00		0	0.00		1	20.00			Excluded		1	20.00		5
		TOTAL		10	3.16					127	40.19		45	14.24		13	4.11		16	5.06		97	30.70					8	2.53		316
	FOURTH			3	23.08					2	15.38		1	7.69			Excluded		2	15.38		5	38.46					0	0.00		13
		TOTAL		13	4.11					129	40.82		46	14.56					18	5.70		102	32.28					8	2.53		316
