Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Petrie (89711)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aspley (Petrie)		6	0.68		244	27.63		0	0.00		34	3.85		5	0.57		18	2.04		8	0.91		2	0.23		69	7.81		442	50.06		3	0.34		52	5.89		0	0.00		883	97.68		21	2.32		904	1.06
Aspley West		13	0.36		905	24.83		3	0.08		113	3.10		21	0.58		101	2.77		27	0.74		2	0.05		153	4.20		1988	54.54		20	0.55		299	8.20		0	0.00		3645	97.72		85	2.28		3730	4.36
Bald Hills		9	0.38		987	41.56		0	0.00		78	3.28		23	0.97		54	2.27		23	0.97		2	0.08		179	7.54		771	32.46		27	1.14		221	9.31		1	0.04		2375	97.02		73	2.98		2448	2.86
Bald Hills North		3	0.48		215	34.13		0	0.00		19	3.02		7	1.11		26	4.13		6	0.95		1	0.16		39	6.19		250	39.68		8	1.27		56	8.89		0	0.00		630	97.37		17	2.63		647	0.76
Ballycara		4	0.42		250	26.40		0	0.00		35	3.70		8	0.84		18	1.90		7	0.74		0	0.00		76	8.03		483	51.00		4	0.42		62	6.55		0	0.00		947	96.14		38	3.86		985	1.15
Bracken Ridge		4	0.18		904	41.34		2	0.09		38	1.74		23	1.05		37	1.69		29	1.33		1	0.05		169	7.73		797	36.44		16	0.73		165	7.54		2	0.09		2187	96.60		77	3.40		2264	2.65
Bracken Ridge East		9	0.29		1126	36.12		2	0.06		103	3.30		21	0.67		73	2.34		34	1.09		5	0.16		165	5.29		1292	41.45		18	0.58		268	8.60		1	0.03		3117	97.44		82	2.56		3199	3.74
Bracken Ridge West		12	0.45		1006	37.91		2	0.08		69	2.60		32	1.21		66	2.49		21	0.79		3	0.11		185	6.97		1016	38.28		33	1.24		209	7.87		0	0.00		2654	97.61		65	2.39		2719	3.18
