Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Moreton (89254)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Annerley		10	0.78		442	34.42		2	0.16		46	3.58		12	0.93		69	5.37		23	1.79		0	0.00		58	4.52		463	36.06		9	0.70		149	11.60		1	0.08		1284	95.54		60	4.46		1344	1.60
Annerley Junction		8	1.13		267	37.71		0	0.00		29	4.10		7	0.99		50	7.06		13	1.84		0	0.00		27	3.81		227	32.06		4	0.56		76	10.73		0	0.00		708	95.42		34	4.58		742	0.88
Brisbane City (Moreton)		8	1.68		150	31.58		0	0.00		18	3.79		3	0.63		30	6.32		17	3.58		3	0.63		19	4.00		147	30.95		6	1.26		73	15.37		1	0.21		475	96.15		19	3.85		494	0.59
Chelmer		0	0.00		120	14.07		1	0.12		86	10.08		7	0.82		51	5.98		10	1.17		1	0.12		19	2.23		471	55.22		2	0.23		85	9.96		0	0.00		853	97.82		19	2.18		872	1.04
Coopers Plains		11	0.50		891	40.76		2	0.09		74	3.39		22	1.01		83	3.80		33	1.51		3	0.14		164	7.50		711	32.53		26	1.19		163	7.46		3	0.14		2186	96.34		83	3.66		2269	2.70
Corinda (Moreton)		0	0.00		115	31.77		0	0.00		15	4.14		2	0.55		16	4.42		4	1.10		0	0.00		24	6.63		139	38.40		0	0.00		47	12.98		0	0.00		362	98.10		7	1.90		369	0.44
Dupre St		3	0.68		150	33.78		1	0.23		21	4.73		11	2.48		8	1.80		2	0.45		0	0.00		39	8.78		179	40.32		1	0.23		28	6.31		1	0.23		444	96.73		15	3.27		459	0.55
Eight Mile Plains (Moreton)		4	0.25		592	36.82		1	0.06		41	2.55		20	1.24		31	1.93		22	1.37		3	0.19		138	8.58		658	40.92		20	1.24		78	4.85		0	0.00		1608	96.93		51	3.07		1659	1.97
