House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Moreton																							
				HARDGRAVE			LAMB			TAYLOR			BROOKES			COMANS			WEEDON				
				Gary			Andrew			Lenore			Kathleen			Tracy Anne			Barry				
				LP			IND			GRN			ALP			DEM			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Annerley                                                       																							
	FIRST			542	41.95		15	1.16		76	5.88		517	40.02		103	7.97		39	3.02		1292	
	SECOND			6	40.00			Excluded		6	40.00		1	6.67		0	0.00		2	13.33		15	
		TOTAL		548	42.41					82	6.35		518	40.09		103	7.97		41	3.17		1292	
	THIRD			16	39.02					5	12.20		8	19.51		12	29.27			Excluded		41	
		TOTAL		564	43.65					87	6.73		526	40.71		115	8.90					1292	
	FOURTH			10	11.49						Excluded		27	31.03		50	57.47					87	
		TOTAL		574	44.43								553	42.80		165	12.77					1292	
	FIFTH			43	26.06								122	73.94			Excluded					165	
		TOTAL		617	47.76								675	52.24								1292	
				Elected																			
																							
Annerley Junction                                              																							
	FIRST			265	38.02		19	2.73		60	8.61		290	41.61		50	7.17		13	1.87		697	
	SECOND			6	31.58			Excluded		3	15.79		3	15.79		3	15.79		4	21.05		19	
		TOTAL		271	38.88					63	9.04		293	42.04		53	7.60		17	2.44		697	
	THIRD			6	35.29					3	17.65		1	5.88		7	41.18			Excluded		17	
		TOTAL		277	39.74					66	9.47		294	42.18		60	8.61					697	
	FOURTH			8	12.12						Excluded		20	30.30		38	57.58					66	
		TOTAL		285	40.89								314	45.05		98	14.06					697	
	FIFTH			32	32.65								66	67.35			Excluded					98	
		TOTAL		317	45.48								380	54.52								697	
				Elected																			
																							
Brisbane City (Moreton)                                        																							
	FIRST			187	41.19		10	2.20		45	9.91		143	31.50		60	13.22		9	1.98		454	
	SECOND			3	30.00			Excluded		0	0.00		3	30.00		3	30.00		1	10.00		10	
		TOTAL		190	41.85					45	9.91		146	32.16		63	13.88		10	2.20		454	
	THIRD			4	40.00					3	30.00		1	10.00		2	20.00			Excluded		10	
		TOTAL		194	42.73					48	10.57		147	32.38		65	14.32					454	
	FOURTH			7	14.58						Excluded		12	25.00		29	60.42					48	
		TOTAL		201	44.27								159	35.02		94	20.70					454	
	FIFTH			31	32.98								63	67.02			Excluded					94	
		TOTAL		232	51.10								222	48.90								454	
				Elected																			
																							
Chelmer                                                        																							
