Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Ryan (88171)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Brisbane City (Ryan)		2	0.45		111	25.00		1	0.23		27	6.08		3	0.68		37	8.33		15	3.38		2	0.45		9	2.03		150	33.78		3	0.68		84	18.92		0	0.00		444	97.58		11	2.42		455	0.54
Brookfield		4	0.21		300	15.47		1	0.05		194	10.01		14	0.72		90	4.64		22	1.13		2	0.10		68	3.51		1081	55.75		3	0.15		159	8.20		1	0.05		1939	98.43		31	1.57		1970	2.34
Chapel Hill		4	0.19		463	21.62		0	0.00		154	7.19		12	0.56		108	5.04		23	1.07		3	0.14		60	2.80		1088	50.79		5	0.23		219	10.22		3	0.14		2142	98.76		27	1.24		2169	2.57
Chapel Hill South		7	0.34		430	20.73		0	0.00		178	8.58		26	1.25		125	6.03		22	1.06		4	0.19		67	3.23		1001	48.26		5	0.24		206	9.93		3	0.14		2074	97.74		48	2.26		2122	2.52
Corinda (Ryan)		6	0.34		542	30.36		0	0.00		100	5.60		9	0.50		107	5.99		13	0.73		1	0.06		81	4.54		721	40.39		3	0.17		199	11.15		3	0.17		1785	97.92		38	2.08		1823	2.16
Corinda South		4	0.34		391	33.08		0	0.00		50	4.23		15	1.27		53	4.48		19	1.61		1	0.08		44	3.72		460	38.92		11	0.93		134	11.34		0	0.00		1182	96.57		42	3.43		1224	1.45
Darra		11	0.65		981	58.25		0	0.00		53	3.15		13	0.77		35	2.08		25	1.48		1	0.06		69	4.10		392	23.28		15	0.89		88	5.23		1	0.06		1684	94.82		92	5.18		1776	2.11
Fig Tree Pocket		0	0.00		281	15.58		0	0.00		163	9.04		12	0.67		105	5.82		22	1.22		2	0.11		61	3.38		939	52.05		9	0.50		209	11.59		1	0.06		1804	98.31		31	1.69		1835	2.18
