House of Representatives - 2001 Election: Queensland																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										
Ryan (88171)																																										
		GILLIES			# JOHNSON			LANGENAUER			STASSE			DREW			SHORT			BRAZIER			ALLEN-ANKINS			FORMAL			INFORMAL			TOTAL										
		Stewart			Michael			Jason			Mike			John			Leonie			Clive			Stephen												Two Candidate Preferred							
		NP			LP			DEM			GRN			HAN			ALP			HMP			IND												# JOHNSON LP			 SHORT ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Brisbane City (Ryan)	19	4.34		170	38.81		51	11.64		35	7.99		6	1.37		134	30.59		17	3.88		6	1.37		438	96.05		18	3.95		456	0.54		229	52.28		209	47.72			
	Brookfield	227	11.70		1113	57.37		79	4.07		80	4.12		17	0.88		390	20.10		15	0.77		19	0.98		1940	98.38		32	1.62		1972	2.34		1395	71.91		545	28.09			
	Chapel Hill	157	7.40		1115	52.54		103	4.85		76	3.58		16	0.75		599	28.23		20	0.94		36	1.70		2122	97.79		48	2.21		2170	2.58		1367	64.42		755	35.58			
	Chapel Hill South	163	7.90		1022	49.52		110	5.33		106	5.14		33	1.60		571	27.66		26	1.26		33	1.60		2064	97.13		61	2.87		2125	2.52		1299	62.94		765	37.06			
	Corinda (Ryan)	100	5.68		710	40.34		116	6.59		107	6.08		51	2.90		635	36.08		19	1.08		22	1.25		1760	96.54		63	3.46		1823	2.17		917	52.10		843	47.90			
	Corinda South	45	3.80		475	40.08		72	6.08		52	4.39		17	1.43		488	41.18		19	1.60		17	1.43		1185	96.81		39	3.19		1224	1.45		577	48.69		608	51.31			
	Darra	55	3.31		393	23.65		58	3.49		31	1.87		49	2.95		1038	62.45		28	1.68		10	0.60		1662	93.48		116	6.52		1778	2.11		510	30.69		1152	69.31			
	Fig Tree Pocket	158	8.75		938	51.97		103	5.71		92	5.10		31	1.72		406	22.49		18	1.00		59	3.27		1805	98.20		33	1.80		1838	2.18		1210	67.04		595	32.96			
	Indooroopilly	103	5.34		798	41.37		187	9.69		132	6.84		10	0.52		633	32.81		32	1.66		34	1.76		1929	97.28		54	2.72		1983	2.36		1014	52.57		915	47.43
	Indooroopilly East	183	8.34		1064	48.47		147	6.70		150	6.83		13	0.59		593	27.02		27	1.23		18	0.82		2195	98.08		43	1.92		2238	2.66		1346	61.32		849	38.68
	Indooroopilly West	177	6.96		1234	48.53		159	6.25		166	6.53		31	1.22		694	27.29		41	1.61		41	1.61		2543	96.84		83	3.16		2626	3.12		1545	60.76		998	39.24
	Ironside	276	9.42		1386	47.32		232	7.92		199	6.79		21	0.72		739	25.23		46	1.57		30	1.02		2929	98.22		53	1.78		2982	3.54		1790	61.11		1139	38.89
	Jamboree Heights	158	3.25		2439	50.14		226	4.65		126	2.59		83	1.71		1733	35.63		50	1.03		49	1.01		4864	96.37		183	3.63		5047	6.00		2817	57.92		2047	42.08
	Jindalee	162	4.98		1689	51.97		161	4.95		121	3.72		63	1.94		993	30.55		27	0.83		34	1.05		3250	96.30		125	3.70		3375	4.01		1989	61.20		1261	38.80
	Jindalee South	96	5.78		926	55.72		53	3.19		38	2.29		26	1.56		488	29.36		15	0.90		20	1.20		1662	96.97		52	3.03		1714	2.04		1065	64.08		597	35.92
	Kenmore	245	7.86		1599	51.27		159	5.10		154	4.94		32	1.03		839	26.90		47	1.51		44	1.41		3119	97.10		93	2.90		3212	3.82		1983	63.58		1136	36.42
	Kenmore South	293	9.10		1633	50.71		179	5.56		150	4.66		29	0.90		873	27.11		31	0.96		32	0.99		3220	97.22		92	2.78		3312	3.94		2060	63.98		1160	36.02
	Middle Park	142	3.87		1900	51.74		170	4.63		113	3.08		67	1.82		1199	32.65		51	1.39		30	0.82		3672	97.79		83	2.21		3755	4.46		2206	60.08		1466	39.92
	Moggill	221	6.97		1659	52.35		178	5.62		103	3.25		49	1.55		902	28.46		29	0.92		28	0.88		3169	97.18		92	2.82		3261	3.87		2011	63.46		1158	36.54
	Oxley	81	4.16		656	33.71		97	4.98		66	3.39		86	4.42		896	46.04		32	1.64		32	1.64		1946	96.38		73	3.62		2019	2.40		853	43.83		1093	56.17
