House of Representatives - 2001 Election: Queensland																																	
First Preference Votes and TCP 																																	
By Candidate by Polling Place																																	
Rankin (85204)																																	
		# EMERSON			WOOD			MACKENZIE			LLOYD			DOBSON			FORMAL			INFORMAL			TOTAL										
		Craig			Paul John			Mark			Daniel			Darryl												Two Candidate Preferred							
		ALP			LP			HAN			GRN			DEM												# EMERSON ALP			 WOOD LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Algester	2145	41.98		2383	46.63		195	3.82		98	1.92		289	5.66		5110	94.52		296	5.48		5406	6.77		2442	47.79		2668	52.21			
	Berrinba East	1022	59.28		467	27.09		144	8.35		27	1.57		64	3.71		1724	91.07		169	8.93		1893	2.37		1153	66.88		571	33.12			
	Boronia Heights	1845	50.60		1254	34.39		253	6.94		80	2.19		214	5.87		3646	92.75		285	7.25		3931	4.92		2118	58.09		1528	41.91			
	Brisbane City (Rankin)	65	39.39		63	38.18		7	4.24		14	8.48		16	9.70		165	93.22		12	6.78		177	0.22		90	54.55		75	45.45			
	Browns Plains	1553	52.18		1006	33.80		210	7.06		72	2.42		135	4.54		2976	93.61		203	6.39		3179	3.98		1775	59.64		1201	40.36			
	Burrowes	1106	54.81		595	29.48		196	9.71		49	2.43		72	3.57		2018	92.48		164	7.52		2182	2.73		1280	63.43		738	36.57			
	Calamvale (Rankin)	2040	40.32		2536	50.13		150	2.97		93	1.84		240	4.74		5059	94.40		300	5.60		5359	6.71		2306	45.58		2753	54.42			
	Crestmead	1895	58.69		900	27.87		189	5.85		80	2.48		165	5.11		3229	91.81		288	8.19		3517	4.41		2117	65.56		1112	34.44			
	Harris Fields	1657	60.76		701	25.71		202	7.41		57	2.09		110	4.03		2727	89.70		313	10.30		3040	3.81		1863	68.32		864	31.68
	Kingston	1712	61.87		649	23.46		237	8.57		84	3.04		85	3.07		2767	92.85		213	7.15		2980	3.73		1952	70.55		815	29.45
	Kuraby (Rankin)	417	45.72		375	41.12		45	4.93		28	3.07		47	5.15		912	93.44		64	6.56		976	1.22		489	53.62		423	46.38
	Loganholme (Rankin)	765	38.00		950	47.19		135	6.71		63	3.13		100	4.97		2013	94.02		128	5.98		2141	2.68		906	45.01		1107	54.99
	Mabel Park	1873	55.86		989	29.50		260	7.75		105	3.13		126	3.76		3353	90.92		335	9.08		3688	4.62		2133	63.61		1220	36.39
	Marsden (Rankin)	1111	55.97		523	26.35		223	11.23		56	2.82		72	3.63		1985	92.97		150	7.03		2135	2.67		1277	64.33		708	35.67
	Park Ridge (Rankin)	707	40.52		734	42.06		183	10.49		36	2.06		85	4.87		1745	94.79		96	5.21		1841	2.31		825	47.28		920	52.72
	Regents Park	1211	49.77		951	39.09		144	5.92		47	1.93		80	3.29		2433	93.08		181	6.92		2614	3.27		1338	54.99		1095	45.01
	Runcorn (Rankin)	1331	45.07		1250	42.33		111	3.76		106	3.59		155	5.25		2953	94.04		187	5.96		3140	3.93		1572	53.23		1381	46.77
	Runcorn Heights	1923	45.45		1780	42.07		164	3.88		98	2.32		266	6.29		4231	94.38		252	5.62		4483	5.62		2228	52.66		2003	47.34
	Slacks Creek (Rankin)	157	37.92		184	44.44		29	7.00		20	4.83		24	5.80		414	93.45		29	6.55		443	0.55		191	46.14		223	53.86
	Sunnybank (Rankin)	142	43.43		141	43.12		14	4.28		16	4.89		14	4.28		327	96.18		13	3.82		340	0.43		164	50.15		163	49.85
	Sunnybank Hills	2113	42.13		2437	48.59		134	2.67		106	2.11		225	4.49		5015	94.57		288	5.43		5303	6.64		2379	47.44		2636	52.56
	Woodridge	1381	61.68		518	23.14		207	9.25		46	2.05		87	3.89		2239	90.72		229	9.28		2468	3.09		1541	68.83		698	31.17
	Woodridge North	1214	61.94		471	24.03		163	8.32		34	1.73		78	3.98		1960	92.15		167	7.85		2127	2.66		1374	70.10		586	29.90
	Yugumbir	1838	49.41		1344	36.13		228	6.13		80	2.15		230	6.18		3720	92.88		285	7.12		4005	5.02		2143	57.61		1577	42.39
	Special Hospitals	165	46.88		169	48.01		13	3.69		3	0.85		2	0.57		352	94.88		19	5.12		371	0.46		173	49.15		179	50.85			
	Total Ordinary	31388	49.76		23370	37.05		3836	6.08		1498	2.38		2981	4.73		63073	93.11		4666	6.89		67739	84.84		35829	56.81		27244	43.19			
	ABSENT	2146	43.14		1882	37.84		381	7.66		239	4.80		326	6.55		4974	93.78		330	6.22		5304	6.64		2659	53.46		2315	46.54			
	POSTAL	1760	51.84		1179	34.73		297	8.75		52	1.53		107	3.15		3395	97.64		82	2.36		3477	4.36		1973	58.11		1422	41.89			
	PRE_POLL	1324	49.26		984	36.61		176	6.55		66	2.46		138	5.13		2688	94.88		145	5.12		2833	3.55		1516	56.40		1172	43.60			
	PROVISIONAL	257	58.41		109	24.77		34	7.73		20	4.55		20	4.55		440	90.53		46	9.47		486	0.61		290	65.91		150	34.09			
	Division Summary	36875	49.45		27524	36.91		4724	6.33		1875	2.51		3572	4.79		74570	93.40		5269	6.60		79839	93.70		42267	56.68		32303	43.32			
																																	
																																	
																																	
																																	
																																	
