Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Moncrieff (89483)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aquinas		2	0.53		83	21.96		0	0.00		29	7.67		6	1.59		21	5.56		5	1.32		0	0.00		21	5.56		180	47.62		4	1.06		27	7.14		0	0.00		378	97.42		10	2.58		388	0.46
Arundel		14	0.25		1241	22.53		4	0.07		166	3.01		38	0.69		115	2.09		45	0.82		3	0.05		369	6.70		3121	56.67		56	1.02		334	6.07		1	0.02		5507	96.89		177	3.11		5684	6.78
Arundel East		0	0.00		343	31.21		2	0.18		53	4.82		3	0.27		18	1.64		11	1.00		2	0.18		97	8.83		491	44.68		12	1.09		66	6.01		1	0.09		1099	95.90		47	4.10		1146	1.37
Ashmore		10	0.25		861	21.83		1	0.03		201	5.10		26	0.66		134	3.40		51	1.29		2	0.05		305	7.73		2034	51.56		39	0.99		280	7.10		1	0.03		3945	96.62		138	3.38		4083	4.87
Ashmore West		11	0.44		651	25.76		1	0.04		114	4.51		27	1.07		88	3.48		39	1.54		5	0.20		213	8.43		1200	47.49		31	1.23		146	5.78		1	0.04		2527	97.79		57	2.21		2584	3.08
Benowa		9	0.22		799	19.47		2	0.05		208	5.07		11	0.27		138	3.36		38	0.93		4	0.10		284	6.92		2382	58.04		24	0.58		205	5.00		0	0.00		4104	95.75		182	4.25		4286	5.11
Brisbane City (Moncrieff)		0	0.00		12	21.43		0	0.00		4	7.14		0	0.00		3	5.36		0	0.00		0	0.00		2	3.57		27	48.21		1	1.79		7	12.50		0	0.00		56	91.80		5	8.20		61	0.07
Broadbeach (Moncrieff)		5	0.30		324	19.62		1	0.06		65	3.94		13	0.79		78	4.72		37	2.24		0	0.00		100	6.06		912	55.24		8	0.48		106	6.42		2	0.12		1651	97.29		46	2.71		1697	2.02
