Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
McPherson (94653)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bonogin		1	0.05		363	18.67		0	0.00		84	4.32		27	1.39		77	3.96		14	0.72		1	0.05		164	8.44		1082	55.66		14	0.72		117	6.02		0	0.00		1944	98.23		35	1.77		1979	2.22
Brisbane City (McPherson)		0	0.00		11	21.15		0	0.00		2	3.85		1	1.92		4	7.69		0	0.00		1	1.92		3	5.77		21	40.38		1	1.92		8	15.38		0	0.00		52	98.11		1	1.89		53	0.06
Broadbeach (McPherson)		4	0.25		355	22.37		1	0.06		40	2.52		6	0.38		84	5.29		48	3.02		1	0.06		76	4.79		833	52.49		6	0.38		133	8.38		0	0.00		1587	97.24		45	2.76		1632	1.83
Burleigh Heads		15	0.37		1065	26.13		2	0.05		153	3.75		31	0.76		252	6.18		69	1.69		3	0.07		316	7.75		1864	45.73		31	0.76		274	6.72		1	0.02		4076	96.52		147	3.48		4223	4.73
Burleigh North		1	0.15		203	30.57		0	0.00		35	5.27		2	0.30		22	3.31		4	0.60		0	0.00		49	7.38		316	47.59		4	0.60		28	4.22		0	0.00		664	94.59		38	5.41		702	0.79
Burleigh Waters		7	0.15		1478	30.90		2	0.04		105	2.20		22	0.46		184	3.85		45	0.94		4	0.08		406	8.49		2227	46.56		45	0.94		256	5.35		2	0.04		4783	96.88		154	3.12		4937	5.53
Burleigh West		7	0.48		371	25.34		0	0.00		68	4.64		12	0.82		66	4.51		18	1.23		2	0.14		102	6.97		719	49.11		12	0.82		87	5.94		0	0.00		1464	96.70		50	3.30		1514	1.70
Coolangatta		2	0.21		300	30.83		0	0.00		24	2.47		4	0.41		37	3.80		13	1.34		1	0.10		86	8.84		434	44.60		10	1.03		61	6.27		1	0.10		973	95.49		46	4.51		1019	1.14
