Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Longman (83408)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Banksia Beach		6	0.24		776	30.72		1	0.04		72	2.85		13	0.51		42	1.66		16	0.63		5	0.20		276	10.93		1181	46.75		22	0.87		116	4.59		0	0.00		2526	97.34		69	2.66		2595	3.26
Beachmere		12	0.68		627	35.28		2	0.11		65	3.66		13	0.73		37	2.08		22	1.24		2	0.11		248	13.96		639	35.96		16	0.90		91	5.12		3	0.17		1777	96.52		64	3.48		1841	2.31
Beerburrum		0	0.00		88	32.00		0	0.00		21	7.64		3	1.09		13	4.73		11	4.00		0	0.00		27	9.82		90	32.73		1	0.36		21	7.64		0	0.00		275	97.52		7	2.48		282	0.35
Beerwah		6	0.30		558	27.89		2	0.10		188	9.40		17	0.85		91	4.55		30	1.50		2	0.10		275	13.74		663	33.13		20	1.00		147	7.35		2	0.10		2001	96.43		74	3.57		2075	2.61
Bellara		16	0.58		992	36.20		0	0.00		74	2.70		21	0.77		49	1.79		20	0.73		2	0.07		325	11.86		1111	40.55		19	0.69		110	4.01		1	0.04		2740	95.37		133	4.63		2873	3.61
Bongaree		12	0.46		922	35.26		2	0.08		79	3.02		13	0.50		47	1.80		18	0.69		1	0.04		306	11.70		1084	41.45		30	1.15		101	3.86		0	0.00		2615	95.30		129	4.70		2744	3.45
Brisbane City (Longman)		0	0.00		29	29.29		2	2.02		4	4.04		2	2.02		5	5.05		1	1.01		1	1.01		4	4.04		37	37.37		0	0.00		14	14.14		0	0.00		99	99.00		1	1.00		100	0.13
Burpengary		9	0.32		934	32.95		2	0.07		90	3.17		27	0.95		58	2.05		34	1.20		2	0.07		347	12.24		1055	37.21		37	1.31		239	8.43		1	0.04		2835	96.20		112	3.80		2947	3.70
