House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences																													
By Polling Place																													
Ryan																													
				GILLIES			JOHNSON			LANGENAUER			STASSE			DREW			SHORT			BRAZIER			ALLEN-ANKINS				
				Stewart			Michael			Jason			Mike			John			Leonie			Clive			Stephen				
				NP			LP			DEM			GRN			HAN			ALP			HMP			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Brisbane City (Ryan)                                           																													
	FIRST			19	4.34		170	38.81		51	11.64		35	7.99		6	1.37		134	30.59		17	3.88		6	1.37		438	
	SECOND			0	0.00		2	33.33		0	0.00		2	33.33		0	0.00		0	0.00		2	33.33			Excluded		6	
		TOTAL		19	4.34		172	39.27		51	11.64		37	8.45		6	1.37		134	30.59		19	4.34					438	
	THIRD			1	5.26		1	5.26		3	15.79		8	42.11		2	10.53		4	21.05			Excluded					19	
		TOTAL		20	4.57		173	39.50		54	12.33		45	10.27		8	1.83		138	31.51								438	
	FOURTH			0	0.00		6	75.00		1	12.50		0	0.00			Excluded		1	12.50								8	
		TOTAL		20	4.57		179	40.87		55	12.56		45	10.27					139	31.74								438	
	FIFTH			3	6.67		6	13.33		26	57.78			Excluded					10	22.22								45	
		TOTAL		23	5.25		185	42.24		81	18.49								149	34.02								438	
	SIXTH				Excluded		18	78.26		2	8.70								3	13.04								23	
		TOTAL					203	46.35		83	18.95								152	34.70								438	
	SEVENTH						26	31.33			Excluded								57	68.67								83	
		TOTAL					229	52.28											209	47.72								438	
							Elected																						
																													
Brookfield                                                     																													
	FIRST			227	11.70		1113	57.37		79	4.07		80	4.12		17	0.88		390	20.10		15	0.77		19	0.98		1940	
	SECOND			5	26.32		2	10.53		3	15.79		3	15.79		2	10.53		1	5.26		3	15.79			Excluded		19	
		TOTAL		232	11.96		1115	57.47		82	4.23		83	4.28		19	0.98		391	20.15		18	0.93					1940	
	THIRD			0	0.00		4	22.22		2	11.11		5	27.78		3	16.67		4	22.22			Excluded					18	
		TOTAL		232	11.96		1119	57.68		84	4.33		88	4.54		22	1.13		395	20.36								1940	
	FOURTH			6	27.27		3	13.64		4	18.18		6	27.27			Excluded		3	13.64								22	
		TOTAL		238	12.27		1122	57.84		88	4.54		94	4.85					398	20.52								1940	
	FIFTH			7	7.45		5	5.32		52	55.32			Excluded					30	31.91								94	
		TOTAL		245	12.63		1127	58.09		140	7.22								428	22.06								1940	
	SIXTH				Excluded		207	84.49		24	9.80								14	5.71								245	
		TOTAL					1334	68.76		164	8.45								442	22.78								1940	
	SEVENTH						61	37.20			Excluded								103	62.80								164	
		TOTAL					1395	71.91											545	28.09								1940	
							Elected																						
																													
Chapel Hill                                                    																													
	FIRST			157	7.40		1115	52.54		103	4.85		76	3.58		16	0.75		599	28.23		20	0.94		36	1.70		2122	
	SECOND			5	13.89		12	33.33		4	11.11		6	16.67		2	5.56		6	16.67		1	2.78			Excluded		36	
		TOTAL		162	7.63		1127	53.11		107	5.04		82	3.86		18	0.85		605	28.51		21	0.99					2122	
	THIRD			0	0.00		8	38.10		1	4.76		4	19.05		1	4.76		7	33.33			Excluded					21	
		TOTAL		162	7.63		1135	53.49		108	5.09		86	4.05		19	0.90		612	28.84								2122	
	FOURTH			2	10.53		9	47.37		0	0.00		5	26.32			Excluded		3	15.79								19	
		TOTAL		164	7.73		1144	53.91		108	5.09		91	4.29					615	28.98								2122	
	FIFTH			5	5.49		15	16.48		40	43.96			Excluded					31	34.07								91	
		TOTAL		169	7.96		1159	54.62		148	6.97								646	30.44								2122	
	SIXTH				Excluded		150	88.76		13	7.69								6	3.55								169	
		TOTAL					1309	61.69		161	7.59								652	30.73								2122	
	SEVENTH						58	36.02			Excluded								103	63.98								161	
		TOTAL					1367	64.42											755	35.58								2122	
							Elected																						
																													
Chapel Hill South                                              																													
	FIRST			163	7.90		1022	49.52		110	5.33		106	5.14		33	1.60		571	27.66		26	1.26		33	1.60		2064	
	SECOND			6	18.18		11	33.33		5	15.15		3	9.09		1	3.03		6	18.18		1	3.03			Excluded		33	
		TOTAL		169	8.19		1033	50.05		115	5.57		109	5.28		34	1.65		577	27.96		27	1.31					2064	
	THIRD			1	3.70		3	11.11		1	3.70		15	55.56		0	0.00		7	25.93			Excluded					27	
		TOTAL		170	8.24		1036	50.19		116	5.62		124	6.01		34	1.65		584	28.29								2064	
	FOURTH			6	17.65		16	47.06		1	2.94		7	20.59			Excluded		4	11.76								34	
		TOTAL		176	8.53		1052	50.97		117	5.67		131	6.35					588	28.49								2064	
	FIFTH			7	5.34		13	9.92		73	55.73			Excluded					38	29.01								131	
		TOTAL		183	8.87		1065	51.60		190	9.21								626	30.33								2064	
	SIXTH				Excluded		162	88.52		12	6.56								9	4.92								183	
		TOTAL					1227	59.45		202	9.79								635	30.77								2064	
	SEVENTH						72	35.64			Excluded								130	64.36								202	
		TOTAL					1299	62.94											765	37.06								2064	
							Elected																						
																													
Corinda (Ryan)                                                 																													
	FIRST			100	5.68		710	40.34		116	6.59		107	6.08		51	2.90		635	36.08		19	1.08		22	1.25		1760	
	SECOND			4	18.18		5	22.73		2	9.09		3	13.64		3	13.64		2	9.09		3	13.64			Excluded		22	
		TOTAL		104	5.91		715	40.63		118	6.70		110	6.25		54	3.07		637	36.19		22	1.25					1760	
	THIRD			2	9.09		4	18.18		2	9.09		6	27.27		2	9.09		6	27.27			Excluded					22	
		TOTAL		106	6.02		719	40.85		120	6.82		116	6.59		56	3.18		643	36.53								1760	
	FOURTH			20	35.71		6	10.71		1	1.79		10	17.86			Excluded		19	33.93								56	
		TOTAL		126	7.16		725	41.19		121	6.88		126	7.16					662	37.61								1760	
	FIFTH			6	4.76		21	16.67		54	42.86			Excluded					45	35.71								126	
		TOTAL		132	7.50		746	42.39		175	9.94								707	40.17								1760	
	SIXTH				Excluded		115	87.12		11	8.33								6	4.55								132	
		TOTAL					861	48.92		186	10.57								713	40.51								1760	
	SEVENTH						56	30.11			Excluded								130	69.89								186	
		TOTAL					917	52.10											843	47.90								1760	
							Elected																						
																													
Corinda South                                                  																													
	FIRST			45	3.80		475	40.08		72	6.08		52	4.39		17	1.43		488	41.18		19	1.60		17	1.43		1185	
	SECOND			3	17.65		3	17.65		4	23.53		0	0.00		0	0.00		4	23.53		3	17.65			Excluded		17	
		TOTAL		48	4.05		478	40.34		76	6.41		52	4.39		17	1.43		492	41.52		22	1.86					1185	
	THIRD			0	0.00		4	18.18		2	9.09		6	27.27		4	18.18		6	27.27			Excluded					22	
		TOTAL		48	4.05		482	40.68		78	6.58		58	4.89		21	1.77		498	42.03								1185	
	FOURTH			3	14.29		2	9.52		6	28.57		7	33.33			Excluded		3	14.29								21	
		TOTAL		51	4.30		484	40.84		84	7.09		65	5.49					501	42.28								1185	
	FIFTH			3	4.62		9	13.85		34	52.31			Excluded					19	29.23								65	
		TOTAL		54	4.56		493	41.60		118	9.96								520	43.88								1185	
	SIXTH				Excluded		44	81.48		5	9.26								5	9.26								54	
		TOTAL					537	45.32		123	10.38								525	44.30								1185	
	SEVENTH						40	32.52			Excluded								83	67.48								123	
		TOTAL					577	48.69											608	51.31								1185	
							Elected																						
																													
Darra                                                          																													
	FIRST			55	3.31		393	23.65		58	3.49		31	1.87		49	2.95		1038	62.45		28	1.68		10	0.60		1662	
	SECOND			3	30.00		0	0.00		4	40.00		0	0.00		1	10.00		1	10.00		1	10.00			Excluded		10	
		TOTAL		58	3.49		393	23.65		62	3.73		31	1.87		50	3.01		1039	62.52		29	1.74					1662	
	THIRD			1	3.45		6	20.69		3	10.34		6	20.69		2	6.90		11	37.93			Excluded					29	
		TOTAL		59	3.55		399	24.01		65	3.91		37	2.23		52	3.13		1050	63.18								1662	
	FOURTH			7	13.46		13	25.00		5	9.62		10	19.23			Excluded		17	32.69								52	
		TOTAL		66	3.97		412	24.79		70	4.21		47	2.83					1067	64.20								1662	
	FIFTH			4	8.51		6	12.77		20	42.55			Excluded					17	36.17								47	
		TOTAL		70	4.21		418	25.15		90	5.42								1084	65.22								1662	
	SIXTH				Excluded		59	84.29		4	5.71								7	10.00								70	
		TOTAL					477	28.70		94	5.66								1091	65.64								1662	
	SEVENTH						33	35.11			Excluded								61	64.89								94	
		TOTAL					510	30.69											1152	69.31								1662	
							Elected																						
																													
Fig Tree Pocket                                                																													
	FIRST			158	8.75		938	51.97		103	5.71		92	5.10		31	1.72		406	22.49		18	1.00		59	3.27		1805	
	SECOND			3	5.08		21	35.59		8	13.56		5	8.47		3	5.08		15	25.42		4	6.78			Excluded		59	
		TOTAL		161	8.92		959	53.13		111	6.15		97	5.37		34	1.88		421	23.32		22	1.22					1805	
	THIRD			0	0.00		7	31.82		3	13.64		7	31.82		3	13.64		2	9.09			Excluded					22	
		TOTAL		161	8.92		966	53.52		114	6.32		104	5.76		37	2.05		423	23.43								1805	
	FOURTH			7	18.92		9	24.32		3	8.11		12	32.43			Excluded		6	16.22								37	
		TOTAL		168	9.31		975	54.02		117	6.48		116	6.43					429	23.77								1805	
	FIFTH			5	4.31		14	12.07		56	48.28			Excluded					41	35.34								116	
		TOTAL		173	9.58		989	54.79		173	9.58								470	26.04								1805	
	SIXTH				Excluded		144	83.24		18	10.40								11	6.36								173	
		TOTAL					1133	62.77		191	10.58								481	26.65								1805	
	SEVENTH						77	40.31			Excluded								114	59.69								191	
		TOTAL					1210	67.04											595	32.96								1805	
							Elected																						
																													
Indooroopilly                                                  																													
