House of Representatives - 2001 Election: Queensland																																	
First Preference Votes and TCP																																	
By Candidate by Polling Place																																	
Bowman (87122)																																	
		LAMING			MYATT			SMITH			SMITH			# SCIACCA			FORMAL			INFORMAL			TOTAL										
		Andrew			Barry Robert			Fay Mary			Chad			Con												Two Candidate Preferred							
		LP			HAN			GRN			DEM			ALP												 LAMING LP			# SCIACCA ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Alexandra Hills	1002	36.76		106	3.89		59	2.16		122	4.48		1437	52.71		2726	94.65		154	5.35		2880	3.46		1125	41.27		1601	58.73			
	Alexandra Park	994	40.16		132	5.33		53	2.14		138	5.58		1158	46.79		2475	94.11		155	5.89		2630	3.16		1129	45.62		1346	54.38			
	Amity Point	93	35.63		18	6.90		15	5.75		8	3.07		127	48.66		261	94.57		15	5.43		276	0.33		112	42.91		149	57.09			
	Birkdale	1853	45.80		208	5.14		85	2.10		207	5.12		1693	41.84		4046	93.92		262	6.08		4308	5.18		2087	51.58		1959	48.42			
	Birkdale South	1479	41.60		166	4.67		81	2.28		200	5.63		1629	45.82		3555	93.63		242	6.37		3797	4.56		1689	47.51		1866	52.49			
	Brisbane City (Bowman)	59	41.26		6	4.20		10	6.99		14	9.79		54	37.76		143	93.46		10	6.54		153	0.18		72	50.35		71	49.65			
	Capalaba	839	37.84		134	6.04		53	2.39		111	5.01		1080	48.71		2217	92.99		167	7.01		2384	2.87		975	43.98		1242	56.02			
	Capalaba School (Bowman)	1106	37.94		152	5.21		58	1.99		136	4.67		1463	50.19		2915	94.58		167	5.42		3082	3.70		1262	43.29		1653	56.71			
	Cleveland	1111	51.67		104	4.84		54	2.51		86	4.00		795	36.98		2150	95.09		111	4.91		2261	2.72		1222	56.84		928	43.16
	Cleveland School	2482	58.28		169	3.97		73	1.71		164	3.85		1371	32.19		4259	95.62		195	4.38		4454	5.35		2668	62.64		1591	37.36
	Coolnwynpin	1184	46.23		110	4.30		33	1.29		118	4.61		1116	43.58		2561	94.85		139	5.15		2700	3.25		1308	51.07		1253	48.93
	Dunwich	148	27.87		27	5.08		14	2.64		15	2.82		327	61.58		531	96.72		18	3.28		549	0.66		166	31.26		365	68.74
	Gumdale (Bowman)	166	48.12		28	8.12		9	2.61		17	4.93		125	36.23		345	93.75		23	6.25		368	0.44		194	56.23		151	43.77
	Hemmant	315	31.31		68	6.76		31	3.08		48	4.77		544	54.08		1006	96.36		38	3.64		1044	1.26		377	37.48		629	62.52
	Hilliard	932	49.08		85	4.48		35	1.84		84	4.42		763	40.18		1899	94.81		104	5.19		2003	2.41		1045	55.03		854	44.97
	Lake Sherrin	296	54.92		43	7.98		10	1.86		20	3.71		170	31.54		539	96.59		19	3.41		558	0.67		339	62.89		200	37.11
	Lindum	311	32.74		43	4.53		28	2.95		49	5.16		519	54.63		950	95.19		48	4.81		998	1.20		360	37.89		590	62.11
	Lota	518	34.28		90	5.96		48	3.18		91	6.02		764	50.56		1511	95.57		70	4.43		1581	1.90		610	40.37		901	59.63
	Manly	469	48.10		30	3.08		37	3.79		49	5.03		390	40.00		975	96.06		40	3.94		1015	1.22		513	52.62		462	47.38
	Manly School	630	43.42		67	4.62		71	4.89		68	4.69		615	42.38		1451	96.54		52	3.46		1503	1.81		723	49.83		728	50.17
	Manly West	954	44.81		90	4.23		53	2.49		95	4.46		937	44.01		2129	96.47		78	3.53		2207	2.65		1057	49.65		1072	50.35
	Ormiston	1451	54.61		91	3.42		69	2.60		137	5.16		909	34.21		2657	94.69		149	5.31		2806	3.37		1578	59.39		1079	40.61
	Point Lookout	179	35.03		18	3.52		32	6.26		31	6.07		251	49.12		511	93.93		33	6.07		544	0.65		207	40.51		304	59.49
	Roles Hill	578	38.15		73	4.82		40	2.64		61	4.03		763	50.36		1515	95.10		78	4.90		1593	1.91		651	42.97		864	57.03
	Tangalooma	20	39.22		5	9.80		1	1.96		5	9.80		20	39.22		51	89.47		6	10.53		57	0.07		28	54.90		23	45.10			
	Thorneside	486	36.46		83	6.23		48	3.60		56	4.20		660	49.51		1333	96.52		48	3.48		1381	1.66		562	42.16		771	57.84			
	Thornlands	1934	49.73		168	4.32		90	2.31		229	5.89		1468	37.75		3889	94.83		212	5.17		4101	4.93		2145	55.16		1744	44.84			
	Vienna Woods	870	38.26		118	5.19		58	2.55		116	5.10		1112	48.90		2274	93.97		146	6.03		2420	2.91		1010	44.42		1264	55.58			
	Wellington Point	1648	47.37		126	3.62		97	2.79		184	5.29		1424	40.93		3479	95.81		152	4.19		3631	4.36		1811	52.06		1668	47.94			
	Wellington Point High	491	50.88		30	3.11		21	2.18		60	6.22		363	37.62		965	96.40		36	3.60		1001	1.20		546	56.58		419	43.42			
	Wondall Heights (Bowman)	1056	40.24		118	4.50		74	2.82		152	5.79		1224	46.65		2624	96.29		101	3.71		2725	3.28		1214	46.27		1410	53.73			
	Wynnum	636	38.06		75	4.49		66	3.95		71	4.25		823	49.25		1671	95.49		79	4.51		1750	2.10		716	42.85		955	57.15			
	Wynnum Central	511	33.44		98	6.41		43	2.81		48	3.14		828	54.19		1528	95.68		69	4.32		1597	1.92		597	39.07		931	60.93			
	Wynnum North	772	36.36		137	6.45		69	3.25		125	5.89		1020	48.05		2123	95.98		89	4.02		2212	2.66		907	42.72		1216	57.28			
	Wynnum North High	441	35.88		63	5.13		41	3.34		80	6.51		604	49.15		1229	95.35		60	4.65		1289	1.55		506	41.17		723	58.83			
	Wynnum West	948	33.52		158	5.59		92	3.25		163	5.76		1467	51.87		2828	94.93		151	5.07		2979	3.58		1131	39.99		1697	60.01			
	Special Hospitals	237	48.07		14	2.84		0	0.00		3	0.61		239	48.48		493	93.55		34	6.45		527	0.63		246	49.90		247	50.10			
	Total Ordinary	29199	43.06		3251	4.79		1751	2.58		3361	4.96		30252	44.61		67814	95.03		3550	4.97		71364	85.79		32888	48.50		34926	51.50			
	ABSENT	1474	40.72		238	6.57		205	5.66		232	6.41		1471	40.64		3620	95.34		177	4.66		3797	4.56		1777	49.09		1843	50.91			
	POSTAL	1655	42.41		169	4.33		77	1.97		99	2.54		1902	48.74		3902	97.57		97	2.43		3999	4.81		1815	46.51		2087	53.49			
	PRE_POLL	1637	47.95		179	5.24		109	3.19		148	4.34		1341	39.28		3414	97.32		94	2.68		3508	4.22		1824	53.43		1590	46.57			
	PROVISIONAL	156	32.30		25	5.18		22	4.55		33	6.83		247	51.14		483	93.06		36	6.94		519	0.62		187	38.72		296	61.28			
	Division Summary	34121	43.06		3862	4.87		2164	2.73		3873	4.89		35213	44.44		79233	95.25		3954	4.75		83187	95.48		38491	48.58		40742	51.42			
																																	
																																	
																																	
																																	
																																	
