House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Longman																										
				BECKETT			SCOPES			PATRICK			BROUGH			HALLAM			HARDWICK			BOWDEN				
				Stephen			Eve			Bronwyn			Mal			Brian			Leslie Vernon			Bert				
				ALP			GRN			DEM			LP			IND			CEC			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Banksia Beach                                                  																										
	FIRST			850	34.12		38	1.53		61	2.45		1323	53.11		28	1.12		3	0.12		188	7.55		2491	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3	
		TOTAL		850	34.12		38	1.53		61	2.45		1324	53.15		29	1.16					189	7.59		2491	
	THIRD			5	17.24		3	10.34		6	20.69		6	20.69			Excluded					9	31.03		29	
		TOTAL		855	34.32		41	1.65		67	2.69		1330	53.39								198	7.95		2491	
	FOURTH			16	39.02			Excluded		17	41.46		5	12.20								3	7.32		41	
		TOTAL		871	34.97					84	3.37		1335	53.59								201	8.07		2491	
	FIFTH			56	66.67						Excluded		19	22.62								9	10.71		84	
		TOTAL		927	37.21								1354	54.36								210	8.43		2491	
	SIXTH			122	58.10								88	41.90									Excluded		210	
		TOTAL		1049	42.11								1442	57.89											2491	
													Elected													
																										
Beachmere                                                      																										
	FIRST			671	39.01		31	1.80		53	3.08		746	43.37		42	2.44		2	0.12		175	10.17		1720	
	SECOND			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		671	39.01		33	1.92		53	3.08		746	43.37		42	2.44					175	10.17		1720	
	THIRD			3	7.14		5	11.90		5	11.90		11	26.19			Excluded					18	42.86		42	
		TOTAL		674	39.19		38	2.21		58	3.37		757	44.01								193	11.22		1720	
	FOURTH			11	28.95			Excluded		14	36.84		6	15.79								7	18.42		38	
		TOTAL		685	39.83					72	4.19		763	44.36								200	11.63		1720	
	FIFTH			39	54.17						Excluded		26	36.11								7	9.72		72	
		TOTAL		724	42.09								789	45.87								207	12.03		1720	
	SIXTH			106	51.21								101	48.79									Excluded		207	
		TOTAL		830	48.26								890	51.74											1720	
													Elected													
																										
Beerburrum                                                     																										
	FIRST			106	39.41		7	2.60		11	4.09		121	44.98		5	1.86		0	0.00		19	7.06		269	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		106	39.41		7	2.60		11	4.09		121	44.98		5	1.86					19	7.06		269	
	THIRD			1	20.00		0	0.00		2	40.00		1	20.00			Excluded					1	20.00		5	
		TOTAL		107	39.78		7	2.60		13	4.83		122	45.35								20	7.43		269	
	FOURTH			0	0.00			Excluded		6	85.71		0	0.00								1	14.29		7	
		TOTAL		107	39.78					19	7.06		122	45.35								21	7.81		269	
	FIFTH			15	78.95						Excluded		3	15.79								1	5.26		19	
		TOTAL		122	45.35								125	46.47								22	8.18		269	
	SIXTH			11	50.00								11	50.00									Excluded		22	
		TOTAL		133	49.44								136	50.56											269	
													Elected													
																										
Beerwah                                                        																										
	FIRST			615	31.03		94	4.74		78	3.94		958	48.34		59	2.98		0	0.00		178	8.98		1982	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		615	31.03		94	4.74		78	3.94		958	48.34		59	2.98					178	8.98		1982	
	THIRD			7	11.86		7	11.86		9	15.25		15	25.42			Excluded					21	35.59		59	
		TOTAL		622	31.38		101	5.10		87	4.39		973	49.09								199	10.04		1982	
	FOURTH			23	22.77			Excluded		51	50.50		10	9.90								17	16.83		101	
		TOTAL		645	32.54					138	6.96		983	49.60								216	10.90		1982	
	FIFTH			81	58.70						Excluded		33	23.91								24	17.39		138	
		TOTAL		726	36.63								1016	51.26								240	12.11		1982	
	SIXTH			117	48.75								123	51.25									Excluded		240	
		TOTAL		843	42.53								1139	57.47											1982	
													Elected													
																										
Bellara                                                        																										
	FIRST			1108	40.75		44	1.62		58	2.13		1301	47.85		31	1.14		3	0.11		174	6.40		2719	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		1	33.33		3	
		TOTAL		1108	40.75		44	1.62		58	2.13		1301	47.85		33	1.21					175	6.44		2719	
	THIRD			5	15.15		7	21.21		3	9.09		6	18.18			Excluded					12	36.36		33	
		TOTAL		1113	40.93		51	1.88		61	2.24		1307	48.07								187	6.88		2719	
	FOURTH			18	35.29			Excluded		24	47.06		4	7.84								5	9.80		51	
