House of Representatives - 2001 Election: Queensland																			
Distribution of Preferences 																			
By Polling Place																			
Forde																			
					SMITH			ELSON			DICKSON			NGAHOORO			CLYNE		
					Val			Kay			Alan			Alice			Rose		
					ALP			LP			DEM			HAN			GRN		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Aratula                                                        																			
	FIRST			63	14.65		267	62.09		8	1.86		81	18.84		11	2.56		430
	SECOND			5	45.45		0	0.00		3	27.27		3	27.27			Excluded		11
		TOTAL		68	15.81		267	62.09		11	2.56		84	19.53					430
	THIRD			5	45.45		3	27.27			Excluded		3	27.27					11
		TOTAL		73	16.98		270	62.79					87	20.23					430
	FOURTH			56	64.37		31	35.63						Excluded					87
		TOTAL		129	30.00		301	70.00											430
							Elected												
																			
Beaudesert                                                     																			
	FIRST			918	27.39		1840	54.89		138	4.12		382	11.40		74	2.21		3352
	SECOND			18	24.32		11	14.86		32	43.24		13	17.57			Excluded		74
		TOTAL		936	27.92		1851	55.22		170	5.07		395	11.78					3352
	THIRD			81	47.65		63	37.06			Excluded		26	15.29					170
		TOTAL		1017	30.34		1914	57.10					421	12.56					3352
	FOURTH			201	47.74		220	52.26						Excluded					421
		TOTAL		1218	36.34		2134	63.66											3352
							Elected												
																			
Beechmont                                                      																			
	FIRST			106	28.12		182	48.28		30	7.96		14	3.71		45	11.94		377
	SECOND			11	24.44		7	15.56		26	57.78		1	2.22			Excluded		45
		TOTAL		117	31.03		189	50.13		56	14.85		15	3.98					377
	THIRD			40	71.43		11	19.64			Excluded		5	8.93					56
		TOTAL		157	41.64		200	53.05					20	5.31					377
	FOURTH			9	45.00		11	55.00						Excluded					20
		TOTAL		166	44.03		211	55.97											377
							Elected												
																			
Beenleigh                                                      																			
	FIRST			1345	41.87		1388	43.21		150	4.67		226	7.04		103	3.21		3212
	SECOND			29	28.16		18	17.48		38	36.89		18	17.48			Excluded		103
		TOTAL		1374	42.78		1406	43.77		188	5.85		244	7.60					3212
	THIRD			105	55.85		62	32.98			Excluded		21	11.17					188
		TOTAL		1479	46.05		1468	45.70					265	8.25					3212
	FOURTH			125	47.17		140	52.83						Excluded					265
		TOTAL		1604	49.94		1608	50.06											3212
							Elected												
																			
Beenleigh Central                                              																			
	FIRST			421	45.07		410	43.90		23	2.46		60	6.42		20	2.14		934
	SECOND			7	35.00		5	25.00		7	35.00		1	5.00			Excluded		20
		TOTAL		428	45.82		415	44.43		30	3.21		61	6.53					934
	THIRD			17	56.67		9	30.00			Excluded		4	13.33					30
		TOTAL		445	47.64		424	45.40					65	6.96					934
	FOURTH			37	56.92		28	43.08						Excluded					65
		TOTAL		482	51.61		452	48.39											934
							Elected												
																			
Bethania                                                       																			
	FIRST			855	39.97		987	46.14		63	2.95		187	8.74		47	2.20		2139
	SECOND			12	25.53		9	19.15		18	38.30		8	17.02			Excluded		47
		TOTAL		867	40.53		996	46.56		81	3.79		195	9.12					2139
	THIRD			45	55.56		22	27.16			Excluded		14	17.28					81
		TOTAL		912	42.64		1018	47.59					209	9.77					2139
	FOURTH			128	61.24		81	38.76						Excluded					209
		TOTAL		1040	48.62		1099	51.38											2139
							Elected												
																			
Boonah                                                         																			
	FIRST			419	21.44		1187	60.75		55	2.81		242	12.38		51	2.61		1954
