House of Representatives - 2001 Election: Queensland																														
Distribution of Preferences 																														
By Polling Place																														
Capricornia																														
				GILLHAM			CLARKE			LEVER			SCHUBACK			MURPHY			JOHNS			TAYLOR			MUIR			LIVERMORE		
				Ray			Herb			John			Peter			John Joseph			Naomi			Lea			Bob			Kirsten		
				CEC			HAN			NP			IND			IND			DEM			LP			GRN			ALP		
	Count		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Allenstown                                                     																														
	FIRST		14	0.63		146	6.57		468	21.07		12	0.54		4	0.18		42	1.89		382	17.20		26	1.17		1127	50.74		2221
	SECOND		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		0	0.00		1	25.00		1	25.00		4
		TOTAL	14	0.63		146	6.57		469	21.12		13	0.59					42	1.89		382	17.20		27	1.22		1128	50.79		2221
	THIRD			Excluded		9	64.29		2	14.29		1	7.14					1	7.14		0	0.00		1	7.14		0	0.00		14
		TOTAL				155	6.98		471	21.21		14	0.63					43	1.94		382	17.20		28	1.26		1128	50.79		2221
	FOURTH					3	21.43		2	14.29			Excluded					3	21.43		2	14.29		1	7.14		3	21.43		14
		TOTAL				158	7.11		473	21.30								46	2.07		384	17.29		29	1.31		1131	50.92		2221
	FIFTH					2	6.90		0	0.00								11	37.93		3	10.34			Excluded		13	44.83		29
		TOTAL				160	7.20		473	21.30								57	2.57		387	17.42					1144	51.51		2221
	SIXTH					3	5.26		10	17.54									Excluded		8	14.04					36	63.16		57
		TOTAL				163	7.34		483	21.75											395	17.78					1180	53.13		2221
	SEVENTH						Excluded		71	43.56											48	29.45					44	26.99		163
		TOTAL							554	24.94											443	19.95					1224	55.11		2221
	EIGHTH								383	86.46												Excluded					60	13.54		443
		TOTAL							937	42.19																	1284	57.81		2221
																											Elected			
																														
Alpha                                                          																														
	FIRST		3	0.92		46	14.11		125	38.34		4	1.23		5	1.53		2	0.61		42	12.88		2	0.61		97	29.75		326
	SECOND		0	0.00		1	20.00		0	0.00		3	60.00			Excluded		1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL	3	0.92		47	14.42		125	38.34		7	2.15					3	0.92		42	12.88		2	0.61		97	29.75		326
	THIRD			Excluded		3	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				50	15.34		125	38.34		7	2.15					3	0.92		42	12.88		2	0.61		97	29.75		326
	FOURTH					2	28.57		2	28.57			Excluded					1	14.29		0	0.00		0	0.00		2	28.57		7
		TOTAL				52	15.95		127	38.96								4	1.23		42	12.88		2	0.61		99	30.37		326
	FIFTH					0	0.00		0	0.00								1	50.00		0	0.00			Excluded		1	50.00		2
		TOTAL				52	15.95		127	38.96								5	1.53		42	12.88					100	30.67		326
	SIXTH					2	40.00		0	0.00									Excluded		1	20.00					2	40.00		5
		TOTAL				54	16.56		127	38.96											43	13.19					102	31.29		326
	SEVENTH						Excluded		17	31.48											27	50.00					10	18.52		54
		TOTAL							144	44.17											70	21.47					112	34.36		326
	EIGHTH								62	88.57												Excluded					8	11.43		70
		TOTAL							206	63.19																	120	36.81		326
																											Elected			
																														
Alton Downs                                                    																														
	FIRST		2	0.42		46	9.66		163	34.24		3	0.63		0	0.00		7	1.47		83	17.44		1	0.21		171	35.92		476
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	2	0.42		46	9.66		163	34.24		3	0.63					7	1.47		83	17.44		1	0.21		171	35.92		476
	THIRD			Excluded		0	0.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL				46	9.66		164	34.45		3	0.63					7	1.47		83	17.44		1	0.21		172	36.13		476
	FOURTH					3	100.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				49	10.29		164	34.45								7	1.47		83	17.44		1	0.21		172	36.13		476
	FIFTH					0	0.00		0	0.00								1	100.00		0	0.00			Excluded		0	0.00		1
		TOTAL				49	10.29		164	34.45								8	1.68		83	17.44					172	36.13		476
	SIXTH					0	0.00		2	25.00									Excluded		0	0.00					6	75.00		8
		TOTAL				49	10.29		166	34.87											83	17.44					178	37.39		476
	SEVENTH						Excluded		21	42.86											14	28.57					14	28.57		49
		TOTAL							187	39.29											97	20.38					192	40.34		476
	EIGHTH								89	91.75												Excluded					8	8.25		97
		TOTAL							276	57.98																	200	42.02		476
																											Elected			
																														
Applegarth                                                     																														
	FIRST		0	0.00		11	6.47		37	21.76		1	0.59		0	0.00		0	0.00		27	15.88		2	1.18		92	54.12		170
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	0	0.00		11	6.47		37	21.76		1	0.59					0	0.00		27	15.88		2	1.18		92	54.12		170
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				11	6.47		37	21.76		1	0.59					0	0.00		27	15.88		2	1.18		92	54.12		170
	FOURTH					0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				11	6.47		37	21.76								1	0.59		27	15.88		2	1.18		92	54.12		170
	FIFTH					0	0.00		1	50.00								0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL				11	6.47		38	22.35								1	0.59		27	15.88					93	54.71		170
	SIXTH					0	0.00		0	0.00									Excluded		1	100.00					0	0.00		1
		TOTAL				11	6.47		38	22.35											28	16.47					93	54.71		170
	SEVENTH						Excluded		5	45.45											3	27.27					3	27.27		11
		TOTAL							43	25.29											31	18.24					96	56.47		170
	EIGHTH								23	74.19												Excluded					8	25.81		31
		TOTAL							66	38.82																	104	61.18		170
																											Elected			
																														
Aramac                                                         																														
	FIRST		5	2.03		34	13.82		62	25.20		1	0.41		0	0.00		1	0.41		41	16.67		4	1.63		98	39.84		246
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	5	2.03		34	13.82		62	25.20		1	0.41					1	0.41		41	16.67		4	1.63		98	39.84		246
	THIRD			Excluded		5	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL				39	15.85		62	25.20		1	0.41					1	0.41		41	16.67		4	1.63		98	39.84		246
	FOURTH					0	0.00		1	100.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				39	15.85		63	25.61								1	0.41		41	16.67		4	1.63		98	39.84		246
	FIFTH					0	0.00		1	25.00								2	50.00		1	25.00			Excluded		0	0.00		4
		TOTAL				39	15.85		64	26.02								3	1.22		42	17.07					98	39.84		246
	SIXTH					0	0.00		1	33.33									Excluded		0	0.00					2	66.67		3
		TOTAL				39	15.85		65	26.42											42	17.07					100	40.65		246
	SEVENTH						Excluded		24	61.54											9	23.08					6	15.38		39
		TOTAL							89	36.18											51	20.73					106	43.09		246
	EIGHTH								39	76.47												Excluded					12	23.53		51
		TOTAL							128	52.03																	118	47.97		246
																											Elected			
																														
Archer Park                                                    																														
	FIRST		3	0.45		66	9.92		116	17.44		3	0.45		6	0.90		7	1.05		97	14.59		5	0.75		362	54.44		665
	SECOND		1	16.67		0	0.00		2	33.33		2	33.33			Excluded		0	0.00		1	16.67		0	0.00		0	0.00		6
		TOTAL	4	0.60		66	9.92		118	17.74		5	0.75					7	1.05		98	14.74		5	0.75		362	54.44		665
	THIRD			Excluded		2	50.00		1	25.00		1	25.00					0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL				68	10.23		119	17.89		6	0.90					7	1.05		98	14.74		5	0.75		362	54.44		665
	FOURTH					0	0.00		2	33.33			Excluded					1	16.67		1	16.67		2	33.33		0	0.00		6
		TOTAL				68	10.23		121	18.20								8	1.20		99	14.89		7	1.05		362	54.44		665
	FIFTH					0	0.00		1	14.29								2	28.57		3	42.86			Excluded		1	14.29		7
		TOTAL				68	10.23		122	18.35								10	1.50		102	15.34					363	54.59		665
	SIXTH					1	10.00		1	10.00									Excluded		3	30.00					5	50.00		10
		TOTAL				69	10.38		123	18.50											105	15.79					368	55.34		665
	SEVENTH						Excluded		18	26.09											29	42.03					22	31.88		69
		TOTAL							141	21.20											134	20.15					390	58.65		665
	EIGHTH								111	82.84												Excluded					23	17.16		134
		TOTAL							252	37.89																	413	62.11		665
																											Elected			
																														
Barcaldine                                                     																														
	FIRST		4	0.50		54	6.74		130	16.23		3	0.37		5	0.62		7	0.87		117	14.61		10	1.25		471	58.80		801
	SECOND		0	0.00		0	0.00		0	0.00		4	80.00			Excluded		1	20.00		0	0.00		0	0.00		0	0.00		5
