Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Kennedy (84739)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abergowrie		2	1.02		23	11.68		0	0.00		75	38.07		0	0.00		3	1.52		1	0.51		0	0.00		50	25.38		36	18.27		3	1.52		4	2.03		0	0.00		197	96.57		7	3.43		204	0.26
Aloomba		0	0.00		64	23.97		0	0.00		73	27.34		4	1.50		5	1.87		2	0.75		0	0.00		62	23.22		43	16.10		2	0.75		12	4.49		0	0.00		267	96.74		9	3.26		276	0.35
Atherton		11	0.47		572	24.69		5	0.22		319	13.77		34	1.47		60	2.59		26	1.12		7	0.30		528	22.79		614	26.50		21	0.91		115	4.96		5	0.22		2317	95.39		112	4.61		2429	3.06
Atherton North		4	0.38		237	22.70		1	0.10		196	18.77		16	1.53		18	1.72		11	1.05		0	0.00		215	20.59		272	26.05		9	0.86		63	6.03		2	0.19		1044	96.67		36	3.33		1080	1.36
Babinda		4	0.48		275	33.29		3	0.36		105	12.71		12	1.45		27	3.27		12	1.45		0	0.00		214	25.91		132	15.98		9	1.09		33	4.00		0	0.00		826	94.72		46	5.28		872	1.10
Bambaroo		4	1.90		40	19.05		3	1.43		48	22.86		1	0.48		2	0.95		0	0.00		1	0.48		62	29.52		35	16.67		7	3.33		7	3.33		0	0.00		210	95.89		9	4.11		219	0.28
Bellenden Ker		0	0.00		17	14.53		0	0.00		26	22.22		1	0.85		3	2.56		1	0.85		2	1.71		42	35.90		19	16.24		0	0.00		6	5.13		0	0.00		117	99.15		1	0.85		118	0.15
Biboohra		1	0.37		50	18.52		2	0.74		49	18.15		1	0.37		8	2.96		0	0.00		1	0.37		89	32.96		54	20.00		4	1.48		10	3.70		1	0.37		270	95.74		12	4.26		282	0.35
