House of Representatives - 2001 Election: Queensland																				
Distribution of Preferences																				
By Polling Place																				
Rankin																				
				EMERSON			WOOD			MACKENZIE			LLOYD			DOBSON				
				Craig			Paul John			Mark			Daniel			Darryl				
				ALP			LP			HAN			GRN			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Algester                                                       																				
	FIRST			2145	41.98		2383	46.63		195	3.82		98	1.92		289	5.66		5110	
	SECOND			16	16.33		21	21.43		11	11.22			Excluded		50	51.02		98	
		TOTAL		2161	42.29		2404	47.05		206	4.03					339	6.63		5110	
	THIRD			182	53.69		109	32.15		48	14.16						Excluded		339	
		TOTAL		2343	45.85		2513	49.18		254	4.97								5110	
	FOURTH			99	38.98		155	61.02			Excluded								254	
		TOTAL		2442	47.79		2668	52.21											5110	
				Elected																
																				
Berrinba East                                                  																				
	FIRST			1022	59.28		467	27.09		144	8.35		27	1.57		64	3.71		1724	
	SECOND			2	7.41		7	25.93		5	18.52			Excluded		13	48.15		27	
		TOTAL		1024	59.40		474	27.49		149	8.64					77	4.47		1724	
	THIRD			46	59.74		12	15.58		19	24.68						Excluded		77	
		TOTAL		1070	62.06		486	28.19		168	9.74								1724	
	FOURTH			83	49.40		85	50.60			Excluded								168	
		TOTAL		1153	66.88		571	33.12											1724	
				Elected																
																				
Boronia Heights                                                																				
	FIRST			1845	50.60		1254	34.39		253	6.94		80	2.19		214	5.87		3646	
	SECOND			16	20.00		4	5.00		20	25.00			Excluded		40	50.00		80	
		TOTAL		1861	51.04		1258	34.50		273	7.49					254	6.97		3646	
	THIRD			127	50.00		79	31.10		48	18.90						Excluded		254	
		TOTAL		1988	54.53		1337	36.67		321	8.80								3646	
	FOURTH			130	40.50		191	59.50			Excluded								321	
		TOTAL		2118	58.09		1528	41.91											3646	
				Elected																
																				
Brisbane City (Rankin)                                         																				
	FIRST			65	39.39		63	38.18		7	4.24		14	8.48		16	9.70		165	
	SECOND			2	14.29		3	21.43		2	14.29			Excluded		7	50.00		14	
		TOTAL		67	40.61		66	40.00		9	5.45					23	13.94		165	
	THIRD			18	78.26		3	13.04		2	8.70						Excluded		23	
		TOTAL		85	51.52		69	41.82		11	6.67								165	
	FOURTH			5	45.45		6	54.55			Excluded								11	
		TOTAL		90	54.55		75	45.45											165	
				Elected																
																				
Browns Plains                                                  																				
	FIRST			1553	52.18		1006	33.80		210	7.06		72	2.42		135	4.54		2976	
	SECOND			20	27.78		10	13.89		14	19.44			Excluded		28	38.89		72	
		TOTAL		1573	52.86		1016	34.14		224	7.53					163	5.48		2976	
	THIRD			78	47.85		44	26.99		41	25.15						Excluded		163	
		TOTAL		1651	55.48		1060	35.62		265	8.90								2976	
	FOURTH			124	46.79		141	53.21			Excluded								265	
		TOTAL		1775	59.64		1201	40.36											2976	
				Elected																
																				
Burrowes                                                       																				
	FIRST			1106	54.81		595	29.48		196	9.71		49	2.43		72	3.57		2018	
	SECOND			12	24.49		3	6.12		7	14.29			Excluded		27	55.10		49	
		TOTAL		1118	55.40		598	29.63		203	10.06					99	4.91		2018	
	THIRD			45	45.45		35	35.35		19	19.19						Excluded		99	
		TOTAL		1163	57.63		633	31.37		222	11.00								2018	
	FOURTH			117	52.70		105	47.30			Excluded								222	
		TOTAL		1280	63.43		738	36.57											2018	
				Elected																
																				
Calamvale (Rankin)                                             																				
	FIRST			2040	40.32		2536	50.13		150	2.97		93	1.84		240	4.74		5059	
	SECOND			22	23.66		12	12.90		11	11.83			Excluded		48	51.61		93	
		TOTAL		2062	40.76		2548	50.37		161	3.18					288	5.69		5059	
	THIRD			171	59.38		92	31.94		25	8.68						Excluded		288	
		TOTAL		2233	44.14		2640	52.18		186	3.68								5059	
	FOURTH			73	39.25		113	60.75			Excluded								186	
		TOTAL		2306	45.58		2753	54.42											5059	
				Elected																
																				
Crestmead                                                      																				
	FIRST			1895	58.69		900	27.87		189	5.85		80	2.48		165	5.11		3229	
	SECOND			21	26.25		14	17.50		14	17.50			Excluded		31	38.75		80	
		TOTAL		1916	59.34		914	28.31		203	6.29					196	6.07		3229	
	THIRD			93	47.45		53	27.04		50	25.51						Excluded		196	
		TOTAL		2009	62.22		967	29.95		253	7.84								3229	
	FOURTH			108	42.69		145	57.31			Excluded								253	
		TOTAL		2117	65.56		1112	34.44											3229	
				Elected																
																				
Harris Fields                                                  																				
	FIRST			1657	60.76		701	25.71		202	7.41		57	2.09		110	4.03		2727	
	SECOND			17	29.82		6	10.53		7	12.28			Excluded		27	47.37		57	
		TOTAL		1674	61.39		707	25.93		209	7.66					137	5.02		2727	
	THIRD			65	47.45		36	26.28		36	26.28						Excluded		137	
		TOTAL		1739	63.77		743	27.25		245	8.98								2727	
	FOURTH			124	50.61		121	49.39			Excluded								245	
		TOTAL		1863	68.32		864	31.68											2727	
				Elected																
																				
Kingston                                                       																				
	FIRST			1712	61.87		649	23.46		237	8.57		84	3.04		85	3.07		2767	
	SECOND			20	23.81		11	13.10		14	16.67			Excluded		39	46.43		84	
		TOTAL		1732	62.59		660	23.85		251	9.07					124	4.48		2767	
	THIRD			64	51.61		23	18.55		37	29.84						Excluded		124	
		TOTAL		1796	64.91		683	24.68		288	10.41								2767	
	FOURTH			156	54.17		132	45.83			Excluded								288	
		TOTAL		1952	70.55		815	29.45											2767	
				Elected																
																				
Kuraby (Rankin)                                                																				
	FIRST			417	45.72		375	41.12		45	4.93		28	3.07		47	5.15		912	
	SECOND			10	35.71		3	10.71		3	10.71			Excluded		12	42.86		28	
		TOTAL		427	46.82		378	41.45		48	5.26					59	6.47		912	
	THIRD			35	59.32		14	23.73		10	16.95						Excluded		59	
		TOTAL		462	50.66		392	42.98		58	6.36								912	
	FOURTH			27	46.55		31	53.45			Excluded								58	
		TOTAL		489	53.62		423	46.38											912	
				Elected																
																				
Loganholme (Rankin)                                            																				
	FIRST			765	38.00		950	47.19		135	6.71		63	3.13		100	4.97		2013	
	SECOND			18	28.57		4	6.35		14	22.22			Excluded		27	42.86		63	
		TOTAL		783	38.90		954	47.39		149	7.40					127	6.31		2013	
	THIRD			63	49.61		28	22.05		36	28.35						Excluded		127	
		TOTAL		846	42.03		982	48.78		185	9.19								2013	
	FOURTH			60	32.43		125	67.57			Excluded								185	
		TOTAL		906	45.01		1107	54.99											2013	
				Elected																
																				
Mabel Park                                                     																				
	FIRST			1873	55.86		989	29.50		260	7.75		105	3.13		126	3.76		3353	
	SECOND			21	20.00		15	14.29		16	15.24			Excluded		53	50.48		105	
		TOTAL		1894	56.49		1004	29.94		276	8.23					179	5.34		3353	
	THIRD			98	54.75		39	21.79		42	23.46						Excluded		179	
		TOTAL		1992	59.41		1043	31.11		318	9.48								3353	
	FOURTH			141	44.34		177	55.66			Excluded								318	
		TOTAL		2133	63.61		1220	36.39											3353	
				Elected																
																				
Marsden (Rankin)                                               																				
	FIRST			1111	55.97		523	26.35		223	11.23		56	2.82		72	3.63		1985	
	SECOND			12	21.43		8	14.29		11	19.64			Excluded		25	44.64		56	
		TOTAL		1123	56.57		531	26.75		234	11.79					97	4.89		1985	
	THIRD			45	46.39		24	24.74		28	28.87						Excluded		97	
		TOTAL		1168	58.84		555	27.96		262	13.20								1985	
	FOURTH			109	41.60		153	58.40			Excluded								262	
		TOTAL		1277	64.33		708	35.67											1985	
				Elected																
																				
Park Ridge (Rankin)                                            																				
	FIRST			707	40.52		734	42.06		183	10.49		36	2.06		85	4.87		1745	
	SECOND			8	22.22		8	22.22		3	8.33			Excluded		17	47.22		36	
		TOTAL		715	40.97		742	42.52		186	10.66					102	5.85		1745	
	THIRD			53	51.96		26	25.49		23	22.55						Excluded		102	
		TOTAL		768	44.01		768	44.01		209	11.98								1745	
	FOURTH			57	27.27		152	72.73			Excluded								209	
		TOTAL		825	47.28		920	52.72											1745	
				Elected																
																				
Regents Park                                                   																				
	FIRST			1211	49.77		951	39.09		144	5.92		47	1.93		80	3.29		2433	
	SECOND			13	27.66		7	14.89		7	14.89			Excluded		20	42.55		47	
		TOTAL		1224	50.31		958	39.38		151	6.21					100	4.11		2433	
	THIRD			42	42.00		28	28.00		30	30.00						Excluded		100	
		TOTAL		1266	52.03		986	40.53		181	7.44								2433	
	FOURTH			72	39.78		109	60.22			Excluded								181	
		TOTAL		1338	54.99		1095	45.01											2433	
				Elected																
																				
Runcorn (Rankin)                                               																				
	FIRST			1331	45.07		1250	42.33		111	3.76		106	3.59		155	5.25		2953	
	SECOND			25	23.58		8	7.55		4	3.77			Excluded		69	65.09		106	
		TOTAL		1356	45.92		1258	42.60		115	3.89					224	7.59		2953	
	THIRD			143	63.84		47	20.98		34	15.18						Excluded		224	
		TOTAL		1499	50.76		1305	44.19		149	5.05								2953	
	FOURTH			73	48.99		76	51.01			Excluded								149	
		TOTAL		1572	53.23		1381	46.77											2953	
				Elected																
																				
Runcorn Heights                                                																				
	FIRST			1923	45.45		1780	42.07		164	3.88		98	2.32		266	6.29		4231	
	SECOND			23	23.47		5	5.10		16	16.33			Excluded		54	55.10		98	
		TOTAL		1946	45.99		1785	42.19		180	4.25					320	7.56		4231	
	THIRD			195	60.94		85	26.56		40	12.50						Excluded		320	
		TOTAL		2141	50.60		1870	44.20		220	5.20								4231	
	FOURTH			87	39.55		133	60.45			Excluded								220	
		TOTAL		2228	52.66		2003	47.34											4231	
				Elected																
																				
Slacks Creek (Rankin)                                          																				
	FIRST			157	37.92		184	44.44		29	7.00		20	4.83		24	5.80		414	
	SECOND			4	20.00		5	25.00		0	0.00			Excluded		11	55.00		20	
		TOTAL		161	38.89		189	45.65		29	7.00					35	8.45		414	
	THIRD			13	37.14		12	34.29		10	28.57						Excluded		35	
		TOTAL		174	42.03		201	48.55		39	9.42								414	
	FOURTH			17	43.59		22	56.41			Excluded								39	
		TOTAL		191	46.14		223	53.86											414	
				Elected																
																				
Sunnybank (Rankin)                                             																				
	FIRST			142	43.43		141	43.12		14	4.28		16	4.89		14	4.28		327	
	SECOND			3	18.75		4	25.00		3	18.75			Excluded		6	37.50		16	
		TOTAL		145	44.34		145	44.34		17	5.20					20	6.12		327	
	THIRD			12	60.00		5	25.00		3	15.00						Excluded		20	
		TOTAL		157	48.01		150	45.87		20	6.12								327	
	FOURTH			7	35.00		13	65.00			Excluded								20	
		TOTAL		164	50.15		163	49.85											327	
				Elected																
																				
Sunnybank Hills                                                																				
	FIRST			2113	42.13		2437	48.59		134	2.67		106	2.11		225	4.49		5015	
	SECOND			19	17.92		17	16.04		7	6.60			Excluded		63	59.43		106	
		TOTAL		2132	42.51		2454	48.93		141	2.81					288	5.74		5015	
	THIRD			187	64.93		80	27.78		21	7.29						Excluded		288	
		TOTAL		2319	46.24		2534	50.53		162	3.23								5015	
	FOURTH			60	37.04		102	62.96			Excluded								162	
		TOTAL		2379	47.44		2636	52.56											5015	
				Elected																
																				
Woodridge                                                      																				
	FIRST			1381	61.68		518	23.14		207	9.25		46	2.05		87	3.89		2239	
	SECOND			6	13.04		8	17.39		10	21.74			Excluded		22	47.83		46	
		TOTAL		1387	61.95		526	23.49		217	9.69					109	4.87		2239	
	THIRD			56	51.38		17	15.60		36	33.03						Excluded		109	
		TOTAL		1443	64.45		543	24.25		253	11.30								2239	
	FOURTH			98	38.74		155	61.26			Excluded								253	
		TOTAL		1541	68.83		698	31.17											2239	
				Elected																
																				
Woodridge North                                                																				
	FIRST			1214	61.94		471	24.03		163	8.32		34	1.73		78	3.98		1960	
	SECOND			10	29.41		2	5.88		3	8.82			Excluded		19	55.88		34	
		TOTAL		1224	62.45		473	24.13		166	8.47					97	4.95		1960	
	THIRD			54	55.67		23	23.71		20	20.62						Excluded		97	
		TOTAL		1278	65.20		496	25.31		186	9.49								1960	
	FOURTH			96	51.61		90	48.39			Excluded								186	
		TOTAL		1374	70.10		586	29.90											1960	
				Elected																
																				
Yugumbir                                                       																				
	FIRST			1838	49.41		1344	36.13		228	6.13		80	2.15		230	6.18		3720	
	SECOND			23	28.75		12	15.00		12	15.00			Excluded		33	41.25		80	
		TOTAL		1861	50.03		1356	36.45		240	6.45					263	7.07		3720	
	THIRD			144	54.75		78	29.66		41	15.59						Excluded		263	
		TOTAL		2005	53.90		1434	38.55		281	7.55								3720	
	FOURTH			138	49.11		143	50.89			Excluded								281	
		TOTAL		2143	57.61		1577	42.39											3720	
				Elected																
																				
Special Hospital Team 1                                        																				
	FIRST			86	51.81		77	46.39		2	1.20		0	0.00		1	0.60		166	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		86	51.81		77	46.39		2	1.20					1	0.60		166	
	THIRD			0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		86	51.81		77	46.39		3	1.81								166	
