House of Representatives - 2001 Election: Queensland																						
Distribution of Preferences																						
By Polling Place																						
Fairfax																						
					SOMLYAY			JACKSON			MACKELLAR			RINGROSE			HENDERSON			PAULGER		
					Alex			Karen			Jim			Joy			John			Shane Peter Stanley		
					LP			DEM			HAN			GRN			ALP			IND		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Amamoor                                                        																						
	FIRST			184	44.44		8	1.93		67	16.18		7	1.69		70	16.91		78	18.84		414
	SECOND			2	25.00			Excluded		0	0.00		2	25.00		4	50.00		0	0.00		8
		TOTAL		186	44.93					67	16.18		9	2.17		74	17.87		78	18.84		414
	THIRD			2	22.22					0	0.00			Excluded		4	44.44		3	33.33		9
		TOTAL		188	45.41					67	16.18					78	18.84		81	19.57		414
	FOURTH			24	35.82						Excluded					9	13.43		34	50.75		67
		TOTAL		212	51.21											87	21.01		115	27.78		414
	FIFTH			63	54.78											52	45.22			Excluded		115
		TOTAL		275	66.43											139	33.57					414
				Elected																		
																						
Bli Bli                                                        																						
	FIRST			1375	50.05		119	4.33		207	7.54		70	2.55		724	26.36		252	9.17		2747
	SECOND			18	15.13			Excluded		4	3.36		59	49.58		25	21.01		13	10.92		119
		TOTAL		1393	50.71					211	7.68		129	4.70		749	27.27		265	9.65		2747
	THIRD			19	14.73					12	9.30			Excluded		40	31.01		58	44.96		129
		TOTAL		1412	51.40					223	8.12					789	28.72		323	11.76		2747
	FOURTH			53	23.77						Excluded					30	13.45		140	62.78		223
		TOTAL		1465	53.33											819	29.81		463	16.85		2747
	FIFTH			205	44.28											258	55.72			Excluded		463
		TOTAL		1670	60.79											1077	39.21					2747
				Elected																		
																						
Boreen Point                                                   																						
	FIRST			108	32.93		15	4.57		37	11.28		38	11.59		98	29.88		32	9.76		328
	SECOND			4	26.67			Excluded		1	6.67		9	60.00		1	6.67		0	0.00		15
		TOTAL		112	34.15					38	11.59		47	14.33		99	30.18		32	9.76		328
	THIRD			5	10.64					4	8.51			Excluded		30	63.83		8	17.02		47
		TOTAL		117	35.67					42	12.80					129	39.33		40	12.20		328
	FOURTH			9	21.43						Excluded					10	23.81		23	54.76		42
		TOTAL		126	38.41											139	42.38		63	19.21		328
	FIFTH			24	38.10											39	61.90			Excluded		63
		TOTAL		150	45.73											178	54.27					328
				Elected																		
																						
Brisbane City (Fairfax)                                        																						
	FIRST			53	61.63		1	1.16		4	4.65		8	9.30		15	17.44		5	5.81		86
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		54	62.79					4	4.65		8	9.30		15	17.44		5	5.81		86
	THIRD			1	12.50					1	12.50			Excluded		4	50.00		2	25.00		8
		TOTAL		55	63.95					5	5.81					19	22.09		7	8.14		86
	FOURTH			3	60.00						Excluded					0	0.00		2	40.00		5
		TOTAL		58	67.44											19	22.09		9	10.47		86
	FIFTH			4	44.44											5	55.56			Excluded		9
		TOTAL		62	72.09											24	27.91					86
				Elected																		
																						
Burnside                                                       																						
	FIRST			935	45.02		93	4.48		168	8.09		85	4.09		470	22.63		326	15.70		2077
	SECOND			10	10.75			Excluded		1	1.08		49	52.69		18	19.35		15	16.13		93
		TOTAL		945	45.50					169	8.14		134	6.45		488	23.50		341	16.42		2077
	THIRD			14	10.45					10	7.46			Excluded		44	32.84		66	49.25		134
		TOTAL		959	46.17					179	8.62					532	25.61		407	19.60		2077
	FOURTH			50	27.93						Excluded					25	13.97		104	58.10		179
		TOTAL		1009	48.58											557	26.82		511	24.60		2077
	FIFTH			212	41.49											299	58.51			Excluded		511
		TOTAL		1221	58.79											856	41.21					2077
				Elected																		
																						
Chatsworth                                                     																						
	FIRST			232	48.84		11	2.32		88	18.53		15	3.16		77	16.21		52	10.95		475
	SECOND			5	45.45			Excluded		0	0.00		4	36.36		2	18.18		0	0.00		11
		TOTAL		237	49.89					88	18.53		19	4.00		79	16.63		52	10.95		475
	THIRD			3	15.79					1	5.26			Excluded		6	31.58		9	47.37		19
		TOTAL		240	50.53					89	18.74					85	17.89		61	12.84		475
	FOURTH			13	14.61						Excluded					9	10.11		67	75.28		89
		TOTAL		253	53.26											94	19.79		128	26.95		475
	FIFTH			62	48.44											66	51.56			Excluded		128
		TOTAL		315	66.32											160	33.68					475
				Elected																		
																						
Coolum Beach                                                   																						
	FIRST			1534	40.40		307	8.09		208	5.48		321	8.45		1166	30.71		261	6.87		3797
	SECOND			46	14.98			Excluded		15	4.89		167	54.40		57	18.57		22	7.17		307
		TOTAL		1580	41.61					223	5.87		488	12.85		1223	32.21		283	7.45		3797
	THIRD			69	14.14					18	3.69			Excluded		199	40.78		202	41.39		488
		TOTAL		1649	43.43					241	6.35					1422	37.45		485	12.77		3797
	FOURTH			52	21.58						Excluded					56	23.24		133	55.19		241
		TOTAL		1701	44.80											1478	38.93		618	16.28		3797
	FIFTH			233	37.70											385	62.30			Excluded		618
		TOTAL		1934	50.93											1863	49.07					3797
				Elected																		
																						
Coolum Beach North                                             																						
	FIRST			191	43.12		31	7.00		15	3.39		27	6.09		149	33.63		30	6.77		443
	SECOND			3	9.68			Excluded		0	0.00		11	35.48		13	41.94		4	12.90		31
		TOTAL		194	43.79					15	3.39		38	8.58		162	36.57		34	7.67		443
