House of Representatives - 2001 Election: Queensland																				
Distribution of Preferences																				
By Polling Place																				
Oxley																				
				ARMSTRONG			KUNZELMANN			MCKEON			PARER			RIPOLL				
				Thomas John			Kate			John			Kevin			Bernie				
				HAN			DEM			GRN			LP			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Acacia Ridge                                                   																				
	FIRST			109	8.60		43	3.39		37	2.92		388	30.62		690	54.46		1267	
	SECOND			4	10.81		14	37.84			Excluded		6	16.22		13	35.14		37	
		TOTAL		113	8.92		57	4.50					394	31.10		703	55.49		1267	
	THIRD			15	26.32			Excluded					12	21.05		30	52.63		57	
		TOTAL		128	10.10								406	32.04		733	57.85		1267	
	FOURTH				Excluded								71	55.47		57	44.53		128	
		TOTAL											477	37.65		790	62.35		1267	
																Elected				
																				
Acacia Ridge South                                             																				
	FIRST			201	9.27		105	4.84		57	2.63		569	26.25		1236	57.01		2168	
	SECOND			9	15.79		23	40.35			Excluded		4	7.02		21	36.84		57	
		TOTAL		210	9.69		128	5.90					573	26.43		1257	57.98		2168	
	THIRD			25	19.53			Excluded					28	21.88		75	58.59		128	
		TOTAL		235	10.84								601	27.72		1332	61.44		2168	
	FOURTH				Excluded								150	63.83		85	36.17		235	
		TOTAL											751	34.64		1417	65.36		2168	
																Elected				
																				
Blackstone                                                     																				
	FIRST			91	16.55		35	6.36		18	3.27		136	24.73		270	49.09		550	
	SECOND			4	22.22		8	44.44			Excluded		1	5.56		5	27.78		18	
		TOTAL		95	17.27		43	7.82					137	24.91		275	50.00		550	
	THIRD			8	18.60			Excluded					12	27.91		23	53.49		43	
		TOTAL		103	18.73								149	27.09		298	54.18		550	
	FOURTH				Excluded								66	64.08		37	35.92		103	
		TOTAL											215	39.09		335	60.91		550	
																Elected				
																				
Brisbane City (Oxley)                                          																				
	FIRST			10	7.81		18	14.06		14	10.94		43	33.59		43	33.59		128	
	SECOND			1	7.14		5	35.71			Excluded		3	21.43		5	35.71		14	
		TOTAL		11	8.59		23	17.97					46	35.94		48	37.50		128	
	THIRD			3	13.04			Excluded					5	21.74		15	65.22		23	
		TOTAL		14	10.94								51	39.84		63	49.22		128	
	FOURTH				Excluded								10	71.43		4	28.57		14	
		TOTAL											61	47.66		67	52.34		128	
																Elected				
																				
Bundamba                                                       																				
	FIRST			213	14.60		64	4.39		45	3.08		462	31.67		675	46.26		1459	
	SECOND			4	8.89		22	48.89			Excluded		6	13.33		13	28.89		45	
		TOTAL		217	14.87		86	5.89					468	32.08		688	47.16		1459	
	THIRD			23	26.74			Excluded					22	25.58		41	47.67		86	
		TOTAL		240	16.45								490	33.58		729	49.97		1459	
	FOURTH				Excluded								156	65.00		84	35.00		240	
		TOTAL											646	44.28		813	55.72		1459	
																Elected				
																				
Bundamba School                                                																				
	FIRST			273	13.14		131	6.31		69	3.32		528	25.42		1076	51.81		2077	
	SECOND			5	7.25		32	46.38			Excluded		11	15.94		21	30.43		69	
		TOTAL		278	13.38		163	7.85					539	25.95		1097	52.82		2077	
	THIRD			30	18.40			Excluded					46	28.22		87	53.37		163	
		TOTAL		308	14.83								585	28.17		1184	57.01		2077	
	FOURTH				Excluded								212	68.83		96	31.17		308	
		TOTAL											797	38.37		1280	61.63		2077	
																Elected				
																				
Calamvale (Oxley)                                              																				
	FIRST			38	5.78		43	6.53		15	2.28		373	56.69		189	28.72		658	
	SECOND			1	6.67		7	46.67			Excluded		2	13.33		5	33.33		15	
		TOTAL		39	5.93		50	7.60					375	56.99		194	29.48		658	
	THIRD			4	8.00			Excluded					14	28.00		32	64.00		50	
		TOTAL		43	6.53								389	59.12		226	34.35		658	
	FOURTH				Excluded								33	76.74		10	23.26		43	
		TOTAL											422	64.13		236	35.87		658	
																Elected				
																				
Camira                                                         																				
	FIRST			352	11.56		236	7.75		155	5.09		989	32.49		1312	43.10		3044	
	SECOND			28	18.06		67	43.23			Excluded		29	18.71		31	20.00		155	
		TOTAL		380	12.48		303	9.95					1018	33.44		1343	44.12		3044	
	THIRD			58	19.14			Excluded					97	32.01		148	48.84		303	
		TOTAL		438	14.39								1115	36.63		1491	48.98		3044	
	FOURTH				Excluded								296	67.58		142	32.42		438	
		TOTAL											1411	46.35		1633	53.65		3044	
																Elected				
																				
Carole Park                                                    																				
	FIRST			101	9.28		46	4.23		31	2.85		221	20.31		689	63.33		1088	
	SECOND			4	12.90		16	51.61			Excluded		5	16.13		6	19.35		31	
		TOTAL		105	9.65		62	5.70					226	20.77		695	63.88		1088	
	THIRD			16	25.81			Excluded					24	38.71		22	35.48		62	
		TOTAL		121	11.12								250	22.98		717	65.90		1088	
	FOURTH				Excluded								68	56.20		53	43.80		121	
		TOTAL											318	29.23		770	70.77		1088	
																Elected				
																				
Central School                                                 																				
	FIRST			149	13.68		59	5.42		31	2.85		396	36.36		454	41.69		1089	
	SECOND			9	29.03		11	35.48			Excluded		3	9.68		8	25.81		31	
		TOTAL		158	14.51		70	6.43					399	36.64		462	42.42		1089	
	THIRD			8	11.43			Excluded					18	25.71		44	62.86		70	
		TOTAL		166	15.24								417	38.29		506	46.46		1089	
	FOURTH				Excluded								129	77.71		37	22.29		166	
		TOTAL											546	50.14		543	49.86		1089	
																Elected				
																				
Churchill (Oxley)                                              																				
	FIRST			229	11.65		132	6.71		41	2.09		831	42.27		733	37.28		1966	
	SECOND			7	17.07		21	51.22			Excluded		9	21.95		4	9.76		41	
		TOTAL		236	12.00		153	7.78					840	42.73		737	37.49		1966	
	THIRD			25	16.34			Excluded					58	37.91		70	45.75		153	
		TOTAL		261	13.28								898	45.68		807	41.05		1966	
	FOURTH				Excluded								160	61.30		101	38.70		261	
		TOTAL											1058	53.81		908	46.19		1966	
																Elected				
																				
Collingwood Park                                               																				
	FIRST			160	9.47		78	4.62		50	2.96		597	35.33		805	47.63		1690	
	SECOND			12	24.00		19	38.00			Excluded		9	18.00		10	20.00		50	
		TOTAL		172	10.18		97	5.74					606	35.86		815	48.22		1690	
	THIRD			25	25.77			Excluded					34	35.05		38	39.18		97	
		TOTAL		197	11.66								640	37.87		853	50.47		1690	
	FOURTH				Excluded								127	64.47		70	35.53		197	
		TOTAL											767	45.38		923	54.62		1690	
																Elected				
																				
Dinmore                                                        																				
	FIRST			112	14.05		35	4.39		24	3.01		171	21.46		455	57.09		797	
	SECOND			2	8.33		12	50.00			Excluded		5	20.83		5	20.83		24	
		TOTAL		114	14.30		47	5.90					176	22.08		460	57.72		797	
	THIRD			20	42.55			Excluded					9	19.15		18	38.30		47	
		TOTAL		134	16.81								185	23.21		478	59.97		797	
	FOURTH				Excluded								81	60.45		53	39.55		134	
		TOTAL											266	33.38		531	66.62		797	
																Elected				
																				
Durack                                                         																				
	FIRST			122	6.88		86	4.85		29	1.64		335	18.91		1200	67.72		1772	
	SECOND			2	6.90		12	41.38			Excluded		6	20.69		9	31.03		29	
		TOTAL		124	7.00		98	5.53					341	19.24		1209	68.23		1772	
	THIRD			26	26.53			Excluded					29	29.59		43	43.88		98	
		TOTAL		150	8.47								370	20.88		1252	70.65		1772	
	FOURTH				Excluded								102	68.00		48	32.00		150	
		TOTAL											472	26.64		1300	73.36		1772	
																Elected				
																				
East Ipswich School                                            																				
	FIRST			182	13.16		91	6.58		43	3.11		365	26.39		702	50.76		1383	
	SECOND			10	23.26		20	46.51			Excluded		5	11.63		8	18.60		43	
		TOTAL		192	13.88		111	8.03					370	26.75		710	51.34		1383	
	THIRD			28	25.23			Excluded					40	36.04		43	38.74		111	
		TOTAL		220	15.91								410	29.65		753	54.45		1383	
	FOURTH				Excluded								145	65.91		75	34.09		220	
		TOTAL											555	40.13		828	59.87		1383	
																Elected				
																				
Eastern Heights                                                																				
	FIRST			206	12.95		58	3.65		29	1.82		554	34.82		744	46.76		1591	
	SECOND			6	20.69		15	51.72			Excluded		1	3.45		7	24.14		29	
		TOTAL		212	13.32		73	4.59					555	34.88		751	47.20		1591	
	THIRD			22	30.14			Excluded					20	27.40		31	42.47		73	
		TOTAL		234	14.71								575	36.14		782	49.15		1591	
	FOURTH				Excluded								159	67.95		75	32.05		234	
		TOTAL											734	46.13		857	53.87		1591	
																Elected				
																				
Flinders View                                                  																				
	FIRST			272	12.95		124	5.90		44	2.10		847	40.33		813	38.71		2100	
	SECOND			10	22.73		17	38.64			Excluded		6	13.64		11	25.00		44	
		TOTAL		282	13.43		141	6.71					853	40.62		824	39.24		2100	
	THIRD			22	15.60			Excluded					49	34.75		70	49.65		141	
		TOTAL		304	14.48								902	42.95		894	42.57		2100	
	FOURTH				Excluded								227	74.67		77	25.33		304	
		TOTAL											1129	53.76		971	46.24		2100	
																Elected				
																				
Forest Lake                                                    																				
	FIRST			186	5.08		295	8.06		87	2.38		1663	45.41		1431	39.08		3662	
	SECOND			6	6.90		41	47.13			Excluded		18	20.69		22	25.29		87	
		TOTAL		192	5.24		336	9.18					1681	45.90		1453	39.68		3662	
	THIRD			33	9.82			Excluded					123	36.61		180	53.57		336	
		TOTAL		225	6.14								1804	49.26		1633	44.59		3662	
	FOURTH				Excluded								151	67.11		74	32.89		225	
		TOTAL											1955	53.39		1707	46.61		3662	
																Elected				
																				
Forest Lake East                                               																				
	FIRST			79	4.59		135	7.85		45	2.62		776	45.12		685	39.83		1720	
	SECOND			5	11.11		24	53.33			Excluded		7	15.56		9	20.00		45	
		TOTAL		84	4.88		159	9.24					783	45.52		694	40.35		1720	
	THIRD			18	11.32			Excluded					49	30.82		92	57.86		159	
		TOTAL		102	5.93								832	48.37		786	45.70		1720	
	FOURTH				Excluded								69	67.65		33	32.35		102	
		TOTAL											901	52.38		819	47.62		1720	
																Elected				
																				
Forest Place Retirement Village                                																				
	FIRST			17	2.92		12	2.06		8	1.37		360	61.86		185	31.79		582	
	SECOND			0	0.00		5	62.50			Excluded		2	25.00		1	12.50		8	
		TOTAL		17	2.92		17	2.92					362	62.20		186	31.96		582	
	THIRD			2	11.76			Excluded					4	23.53		11	64.71		17	
		TOTAL		19	3.26								366	62.89		197	33.85		582	
	FOURTH				Excluded								13	68.42		6	31.58		19	
		TOTAL											379	65.12		203	34.88		582	
																Elected				
																				
Gailes                                                         																				
	FIRST			132	12.41		35	3.29		38	3.57		202	18.98		657	61.75		1064	
	SECOND			6	15.79		14	36.84			Excluded		5	13.16		13	34.21		38	
		TOTAL		138	12.97		49	4.61					207	19.45		670	62.97		1064	
	THIRD			10	20.41			Excluded					14	28.57		25	51.02		49	
		TOTAL		148	13.91								221	20.77		695	65.32		1064	
	FOURTH				Excluded								93	62.84		55	37.16		148	
		TOTAL											314	29.51		750	70.49		1064	
																Elected				
																				
Goodna                                                         																				
	FIRST			346	10.58		179	5.47		151	4.62		731	22.35		1863	56.97		3270	
