Senate - 2001 Election: Queensland																																																
First Preference Votes by Group																																																
By Polling Place																																																
Dickson (88001)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Albany Creek		13	0.32		1184	28.79		0	0.00		167	4.06		49	1.19		91	2.21		49	1.19		1	0.02		252	6.13		1923	46.75		50	1.22		332	8.07		2	0.05		4113	97.49		106	2.51		4219	4.98
Albany Creek South		10	0.23		1094	24.92		2	0.05		166	3.78		71	1.62		89	2.03		32	0.73		7	0.16		186	4.24		2215	50.46		25	0.57		492	11.21		1	0.02		4390	97.73		102	2.27		4492	5.30
Arana Hills		11	0.63		577	32.95		0	0.00		77	4.40		23	1.31		61	3.48		27	1.54		0	0.00		104	5.94		654	37.35		19	1.09		195	11.14		3	0.17		1751	97.93		37	2.07		1788	2.11
Bray Park		10	0.23		1886	42.63		4	0.09		97	2.19		38	0.86		103	2.33		69	1.56		3	0.07		306	6.92		1476	33.36		61	1.38		367	8.30		4	0.09		4424	97.06		134	2.94		4558	5.38
Brisbane City (Dickson)		1	0.47		62	29.25		0	0.00		5	2.36		3	1.42		13	6.13		7	3.30		1	0.47		7	3.30		89	41.98		1	0.47		21	9.91		2	0.94		212	97.25		6	2.75		218	0.26
Closeburn		2	0.30		131	19.61		1	0.15		60	8.98		9	1.35		59	8.83		3	0.45		1	0.15		53	7.93		291	43.56		3	0.45		55	8.23		0	0.00		668	97.52		17	2.48		685	0.81
Dakabin		2	0.23		304	34.55		0	0.00		37	4.20		17	1.93		29	3.30		15	1.70		1	0.11		67	7.61		321	36.48		9	1.02		78	8.86		0	0.00		880	97.45		23	2.55		903	1.07
Dayboro		7	0.44		379	23.96		2	0.13		186	11.76		9	0.57		123	7.77		19	1.20		3	0.19		115	7.27		630	39.82		20	1.26		89	5.63		0	0.00		1582	97.17		46	2.83		1628	1.92
