Senate - 2001 Election: Queensland 																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Rankin (85204)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Algester		14	0.27		1850	35.37		2	0.04		154	2.94		56	1.07		95	1.82		59	1.13		6	0.11		303	5.79		2231	42.66		41	0.78		417	7.97		2	0.04		5230	96.83		171	3.17		5401	6.74
Berrinba East		13	0.71		957	52.61		3	0.16		56	3.08		30	1.65		34	1.87		24	1.32		0	0.00		183	10.06		404	22.21		38	2.09		75	4.12		2	0.11		1819	96.09		74	3.91		1893	2.36
Boronia Heights		21	0.56		1624	42.93		1	0.03		83	2.19		54	1.43		72	1.90		57	1.51		7	0.19		326	8.62		1224	32.36		64	1.69		250	6.61		0	0.00		3783	96.28		146	3.72		3929	4.90
Brisbane City (Rankin)		2	1.18		58	34.32		0	0.00		3	1.78		2	1.18		9	5.33		5	2.96		1	0.59		5	2.96		65	38.46		0	0.00		18	10.65		1	0.59		169	96.02		7	3.98		176	0.22
Browns Plains		13	0.42		1381	45.13		1	0.03		90	2.94		44	1.44		72	2.35		62	2.03		4	0.13		234	7.65		934	30.52		59	1.93		166	5.42		0	0.00		3060	96.29		118	3.71		3178	3.97
Burrowes		4	0.19		1005	47.95		1	0.05		32	1.53		15	0.72		42	2.00		32	1.53		2	0.10		225	10.73		588	28.05		48	2.29		101	4.82		1	0.05		2096	96.01		87	3.99		2183	2.72
Calamvale (Rankin)		13	0.25		1817	34.96		7	0.13		134	2.58		52	1.00		86	1.65		45	0.87		3	0.06		208	4.00		2404	46.26		45	0.87		382	7.35		1	0.02		5197	96.90		166	3.10		5363	6.69
Crestmead		28	0.83		1749	51.76		1	0.03		66	1.95		34	1.01		69	2.04		47	1.39		4	0.12		240	7.10		873	25.84		73	2.16		195	5.77		0	0.00		3379	95.94		143	4.06		3522	4.40
