House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Groom																										
					KANE			WUERSCHING			HOY			MACFARLANE			KING			BERRY			EYRES			
					Michael			Barbara			David			Ian			Leeann			Rob			Stephen			
					GRN			NP			HAN			LP			ALP			IND			DEM			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Acland                                                         																										
	FIRST			3	1.63		40	21.74		34	18.48		63	34.24		28	15.22		14	7.61		2	1.09		184	
	SECOND			2	14.29		4	28.57		4	28.57		0	0.00		2	14.29			Excluded		2	14.29		14	
		TOTAL		5	2.72		44	23.91		38	20.65		63	34.24		30	16.30					4	2.17		184	
	THIRD			0	0.00		0	0.00		1	25.00		0	0.00		3	75.00						Excluded		4	
		TOTAL		5	2.72		44	23.91		39	21.20		63	34.24		33	17.93								184	
	FOURTH				Excluded		1	20.00		3	60.00		0	0.00		1	20.00								5	
		TOTAL					45	24.46		42	22.83		63	34.24		34	18.48								184	
	FIFTH						25	59.52			Excluded		6	14.29		11	26.19								42	
		TOTAL					70	38.04					69	37.50		45	24.46								184	
	SIXTH							Excluded					51	72.86		19	27.14								70	
		TOTAL											120	65.22		64	34.78								184	
													Elected													
																										
Baker Street                                                   																										
	FIRST			29	6.18		36	7.68		20	4.26		234	49.89		123	26.23		6	1.28		21	4.48		469	
	SECOND			1	16.67		2	33.33		0	0.00		0	0.00		1	16.67			Excluded		2	33.33		6	
		TOTAL		30	6.40		38	8.10		20	4.26		234	49.89		124	26.44					23	4.90		469	
	THIRD			5	21.74		2	8.70		1	4.35		1	4.35		14	60.87						Excluded		23	
		TOTAL		35	7.46		40	8.53		21	4.48		235	50.11		138	29.42								469	
	FOURTH				Excluded		7	20.00		4	11.43		3	8.57		21	60.00								35	
		TOTAL					47	10.02		25	5.33		238	50.75		159	33.90								469	
	FIFTH						8	32.00			Excluded		11	44.00		6	24.00								25	
		TOTAL					55	11.73					249	53.09		165	35.18								469	
	SIXTH							Excluded					43	78.18		12	21.82								55	
		TOTAL											292	62.26		177	37.74								469	
													Elected													
																										
Biddeston                                                      																										
	FIRST			4	1.12		87	24.44		36	10.11		165	46.35		37	10.39		25	7.02		2	0.56		356	
	SECOND			0	0.00		5	20.00		14	56.00		2	8.00		2	8.00			Excluded		2	8.00		25	
		TOTAL		4	1.12		92	25.84		50	14.04		167	46.91		39	10.96					4	1.12		356	
	THIRD			2	50.00		0	0.00		0	0.00		1	25.00		1	25.00						Excluded		4	
		TOTAL		6	1.69		92	25.84		50	14.04		168	47.19		40	11.24								356	
	FOURTH				Excluded		2	33.33		1	16.67		1	16.67		2	33.33								6	
		TOTAL					94	26.40		51	14.33		169	47.47		42	11.80								356	
	FIFTH						30	58.82			Excluded		11	21.57		10	19.61								51	
		TOTAL					124	34.83					180	50.56		52	14.61								356	
	SIXTH							Excluded					101	81.45		23	18.55								124	
		TOTAL											281	78.93		75	21.07								356	
													Elected													
																										
Bongeen                                                        																										
	FIRST			0	0.00		49	42.98		13	11.40		40	35.09		3	2.63		8	7.02		1	0.88		114	
	SECOND			0	0.00		7	87.50		1	12.50		0	0.00		0	0.00			Excluded		0	0.00		8	
		TOTAL		0	0.00		56	49.12		14	12.28		40	35.09		3	2.63					1	0.88		114	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		0	0.00		57	50.00		14	12.28		40	35.09		3	2.63								114	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00								0	
		TOTAL					57	50.00		14	12.28		40	35.09		3	2.63								114	
	FIFTH						11	78.57			Excluded		3	21.43		0	0.00								14	
		TOTAL					68	59.65					43	37.72		3	2.63								114	
	SIXTH							Excluded					66	97.06		2	2.94								68	
		TOTAL											109	95.61		5	4.39								114	
													Elected													
																										
Bowenville                                                     																										
	FIRST			4	2.31		46	26.59		22	12.72		72	41.62		13	7.51		15	8.67		1	0.58		173	
	SECOND			0	0.00		6	40.00		5	33.33		2	13.33		0	0.00			Excluded		2	13.33		15	
		TOTAL		4	2.31		52	30.06		27	15.61		74	42.77		13	7.51					3	1.73		173	
	THIRD			3	100.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		3	
		TOTAL		7	4.05		52	30.06		27	15.61		74	42.77		13	7.51								173	
	FOURTH				Excluded		3	42.86		1	14.29		1	14.29		2	28.57								7	
		TOTAL					55	31.79		28	16.18		75	43.35		15	8.67								173	
	FIFTH						18	64.29			Excluded		7	25.00		3	10.71								28	
		TOTAL					73	42.20					82	47.40		18	10.40								173	
	SIXTH							Excluded					61	83.56		12	16.44								73	
		TOTAL											143	82.66		30	17.34								173	
													Elected													
																										
Brisbane City (Groom)                                          																										
	FIRST			5	6.10		10	12.20		5	6.10		32	39.02		18	21.95		1	1.22		11	13.41		82	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	6.10		10	12.20		5	6.10		33	40.24		18	21.95					11	13.41		82	
	THIRD			7	63.64		0	0.00		0	0.00		1	9.09		3	27.27						Excluded		11	
		TOTAL		12	14.63		10	12.20		5	6.10		34	41.46		21	25.61								82	
	FOURTH				Excluded		4	33.33		1	8.33		1	8.33		6	50.00								12	
		TOTAL					14	17.07		6	7.32		35	42.68		27	32.93								82	
	FIFTH						2	33.33			Excluded		3	50.00		1	16.67								6	
		TOTAL					16	19.51					38	46.34		28	34.15								82	
	SIXTH							Excluded					14	87.50		2	12.50								16	
		TOTAL											52	63.41		30	36.59								82	
													Elected													
																										
Brookstead                                                     																										
	FIRST			3	2.01		55	36.91		22	14.77		55	36.91		14	9.40		0	0.00		0	0.00		149	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	2.01		55	36.91		22	14.77		55	36.91		14	9.40					0	0.00		149	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		3	2.01		55	36.91		22	14.77		55	36.91		14	9.40								149	
	FOURTH				Excluded		2	66.67		1	33.33		0	0.00		0	0.00								3	
		TOTAL					57	38.26		23	15.44		55	36.91		14	9.40								149	
	FIFTH						12	52.17			Excluded		3	13.04		8	34.78								23	
		TOTAL					69	46.31					58	38.93		22	14.77								149	
	SIXTH							Excluded					63	91.30		6	8.70								69	
		TOTAL											121	81.21		28	18.79								149	
													Elected													
																										
Cambooya                                                       																										
	FIRST			16	2.35		92	13.49		115	16.86		315	46.19		115	16.86		15	2.20		14	2.05		682	
	SECOND			1	6.67		1	6.67		4	26.67		4	26.67		3	20.00			Excluded		2	13.33		15	
		TOTAL		17	2.49		93	13.64		119	17.45		319	46.77		118	17.30					16	2.35		682	
	THIRD			3	18.75		4	25.00		3	18.75		4	25.00		2	12.50						Excluded		16	
		TOTAL		20	2.93		97	14.22		122	17.89		323	47.36		120	17.60								682	
	FOURTH				Excluded		5	25.00		6	30.00		1	5.00		8	40.00								20	
		TOTAL					102	14.96		128	18.77		324	47.51		128	18.77								682	
	FIFTH						42	32.81			Excluded		39	30.47		47	36.72								128	
		TOTAL					144	21.11					363	53.23		175	25.66								682	
	SIXTH							Excluded					125	86.81		19	13.19								144	
