House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
McPherson																										
				LIGHT			LEWIS			MAY			BRADLEY			TRIGGER			GOODWIN			WHITE				
				Inge			Paul			Margaret			Ronald			Kellie			Kevin Patrick			Russell V				
				GRN			HAN			LP			IND			ALP			IND			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Bonogin                                                        																										
	FIRST			81	4.25		119	6.24		1218	63.84		11	0.58		390	20.44		7	0.37		82	4.30		1908	
	SECOND			0	0.00		0	0.00		0	0.00		3	42.86		1	14.29			Excluded		3	42.86		7	
		TOTAL		81	4.25		119	6.24		1218	63.84		14	0.73		391	20.49					85	4.45		1908	
	THIRD			3	21.43		2	14.29		6	42.86			Excluded		0	0.00					3	21.43		14	
		TOTAL		84	4.40		121	6.34		1224	64.15					391	20.49					88	4.61		1908	
	FOURTH			37	42.05		5	5.68		13	14.77					33	37.50						Excluded		88	
		TOTAL		121	6.34		126	6.60		1237	64.83					424	22.22								1908	
	FIFTH			64	50.79			Excluded		42	33.33					20	15.87								126	
		TOTAL		185	9.70					1279	67.03					444	23.27								1908	
	SIXTH				Excluded					63	34.05					122	65.95								185	
		TOTAL								1342	70.34					566	29.66								1908	
										Elected																
																										
Brisbane City (McPherson)                                      																										
	FIRST			3	5.77		2	3.85		30	57.69		3	5.77		12	23.08		0	0.00		2	3.85		52	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	5.77		2	3.85		30	57.69		3	5.77		12	23.08					2	3.85		52	
	THIRD			1	33.33		0	0.00		1	33.33			Excluded		1	33.33					0	0.00		3	
		TOTAL		4	7.69		2	3.85		31	59.62					13	25.00					2	3.85		52	
	FOURTH			2	100.00		0	0.00		0	0.00					0	0.00						Excluded		2	
		TOTAL		6	11.54		2	3.85		31	59.62					13	25.00								52	
	FIFTH			0	0.00			Excluded		0	0.00					2	100.00								2	
		TOTAL		6	11.54					31	59.62					15	28.85								52	
	SIXTH				Excluded					4	66.67					2	33.33								6	
		TOTAL								35	67.31					17	32.69								52	
										Elected																
																										
Broadbeach (McPherson)                                         																										
	FIRST			121	7.86		53	3.44		866	56.23		10	0.65		359	23.31		13	0.84		118	7.66		1540	
