House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Franklin (67119)												
												
		Candidate		                  	"QUICK, Harry"		               	"HODGMAN, Peter"		             	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
	Adventure Bay											
			1st Prefs		71	57.26		53	42.74		124	
		"BASTICK, Patricia (GRN)"	33		31	93.94		2	6.06		33	
		"MANSKEY, Karen (DEM)"	3		2	66.67		1	33.33		3	
		"MULLOY, Art (HAN)"	2		2	100.00		0	0.00		2	
		Total	38		106	65.43		56	34.57		162	

	Alonnah											
			1st Prefs		83	65.87		43	34.13		126	
		"BASTICK, Patricia (GRN)"	43		38	88.37		5	11.63		43	
		"MANSKEY, Karen (DEM)"	8		8	100.00		0	0.00		8	
		"MULLOY, Art (HAN)"	12		8	66.67		4	33.33		12	
		Total	63		137	72.49		52	27.51		189	

	Barnes Bay											
			1st Prefs		43	58.11		31	41.89		74	
		"BASTICK, Patricia (GRN)"	40		36	90.00		4	10.00		40	
		"MANSKEY, Karen (DEM)"	8		6	75.00		2	25.00		8	
		"MULLOY, Art (HAN)"	2		0	0.00		2	100.00		2	
		Total	50		85	68.55		39	31.45		124	

	Bellerive											
			1st Prefs		1229	51.06		1178	48.94		2407	
		"BASTICK, Patricia (GRN)"	257		197	76.65		60	23.35		257	
		"MANSKEY, Karen (DEM)"	133		83	62.41		50	37.59		133	
		"MULLOY, Art (HAN)"	48		26	54.17		22	45.83		48	
		Total	438		1535	53.95		1310	46.05		2845	

	Blackmans Bay											
			1st Prefs		1060	46.70		1210	53.30		2270	
		"BASTICK, Patricia (GRN)"	258		195	75.58		63	24.42		258	
		"MANSKEY, Karen (DEM)"	158		106	67.09		52	32.91		158	
		"MULLOY, Art (HAN)"	41		24	58.54		17	41.46		41	
		Total	457		1385	50.79		1342	49.21		2727	

	Bligh											
			1st Prefs		675	78.76		182	21.24		857	
		"BASTICK, Patricia (GRN)"	47		34	72.34		13	27.66		47	
		"MANSKEY, Karen (DEM)"	34		26	76.47		8	23.53		34	
		"MULLOY, Art (HAN)"	27		20	74.07		7	25.93		27	
		Total	108		755	78.24		210	21.76		965	

	Bridgewater											
			1st Prefs		1696	80.42		413	19.58		2109	
		"BASTICK, Patricia (GRN)"	74		60	81.08		14	18.92		74	
		"MANSKEY, Karen (DEM)"	57		42	73.68		15	26.32		57	
		"MULLOY, Art (HAN)"	50		36	72.00		14	28.00		50	
		Total	181		1834	80.09		456	19.91		2290	

	Cambridge											
			1st Prefs		347	45.01		424	54.99		771	
		"BASTICK, Patricia (GRN)"	83		64	77.11		19	22.89		83	
		"MANSKEY, Karen (DEM)"	55		29	52.73		26	47.27		55	
		"MULLOY, Art (HAN)"	28		12	42.86		16	57.14		28	
		Total	166		452	48.24		485	51.76		937	

	Clarendon Vale											
			1st Prefs		499	85.01		88	14.99		587	
		"BASTICK, Patricia (GRN)"	30		25	83.33		5	16.67		30	
		"MANSKEY, Karen (DEM)"	23		18	78.26		5	21.74		23	
		"MULLOY, Art (HAN)"	13		9	69.23		4	30.77		13	
		Total	66		551	84.38		102	15.62		653	

	Cradoc											
			1st Prefs		94	44.34		118	55.66		212	
		"BASTICK, Patricia (GRN)"	48		40	83.33		8	16.67		48	
		"MANSKEY, Karen (DEM)"	10		8	80.00		2	20.00		10	
