Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Braddon (67749)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abbotsham		1	0.74		0	0.00		10	7.41		2	1.48		12	8.89		69	51.11		0	0.00		4	2.96		32	23.70		3	2.22		0	0.00		2	1.48		135	96.43		5	3.57		140	0.21
Acton		42	2.32		2	0.11		83	4.59		2	0.11		90	4.98		430	23.77		2	0.11		65	3.59		1074	59.37		13	0.72		2	0.11		4	0.22		1809	94.07		114	5.93		1923	2.94
Addison Street		11	1.34		1	0.12		24	2.93		0	0.00		52	6.36		314	38.39		0	0.00		30	3.67		382	46.70		3	0.37		1	0.12		0	0.00		818	94.46		48	5.54		866	1.32
Ambleside		6	1.11		0	0.00		16	2.96		3	0.56		50	9.26		277	51.30		0	0.00		13	2.41		171	31.67		2	0.37		0	0.00		2	0.37		540	95.58		25	4.42		565	0.86
Blythe Heads		2	0.92		1	0.46		34	15.67		0	0.00		21	9.68		53	24.42		0	0.00		5	2.30		98	45.16		2	0.92		0	0.00		1	0.46		217	95.59		10	4.41		227	0.35
Boat Harbour		2	0.64		0	0.00		12	3.83		0	0.00		56	17.89		172	54.95		0	0.00		11	3.51		54	17.25		3	0.96		0	0.00		3	0.96		313	98.12		6	1.88		319	0.49
Brooklyn		6	0.99		0	0.00		27	4.43		1	0.16		42	6.90		218	35.80		1	0.16		17	2.79		287	47.13		8	1.31		0	0.00		2	0.33		609	96.67		21	3.33		630	0.96
Burnie		8	0.59		1	0.07		42	3.12		1	0.07		170	12.62		553	41.05		0	0.00		53	3.93		504	37.42		8	0.59		0	0.00		7	0.52		1347	98.18		25	1.82		1372	2.10
Calder		1	1.11		0	0.00		4	4.44		0	0.00		14	15.56		43	47.78		0	0.00		7	7.78		19	21.11		2	2.22		0	0.00		0	0.00		90	94.74		5	5.26		95	0.15
Cooee		9	1.02		2	0.23		27	3.05		0	0.00		81	9.16		413	46.72		1	0.11		46	5.20		295	33.37		9	1.02		0	0.00		1	0.11		884	96.93		28	3.07		912	1.39
