Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Denison (67938)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abbotsfield		20	1.18		4	0.24		49	2.89		1	0.06		130	7.66		430	25.34		0	0.00		69	4.07		982	57.87		8	0.47		0	0.00		4	0.24		1697	97.47		44	2.53		1741	2.68
Albuera		2	0.33		0	0.00		5	0.81		2	0.33		240	39.02		191	31.06		3	0.49		48	7.80		116	18.86		5	0.81		1	0.16		2	0.33		615	98.87		7	1.13		622	0.96
Austins Ferry		16	1.07		1	0.07		38	2.54		2	0.13		127	8.48		561	37.47		1	0.07		63	4.21		678	45.29		5	0.33		3	0.20		2	0.13		1497	96.83		49	3.17		1546	2.38
Battery Point		5	0.41		0	0.00		7	0.57		1	0.08		455	37.02		482	39.22		0	0.00		67	5.45		202	16.44		5	0.41		0	0.00		5	0.41		1229	98.01		25	1.99		1254	1.93
Bowen Road		26	1.61		0	0.00		45	2.79		3	0.19		209	12.97		383	23.76		1	0.06		82	5.09		847	52.54		11	0.68		1	0.06		4	0.25		1612	95.67		73	4.33		1685	2.59
Brent Street		14	1.59		2	0.23		30	3.40		0	0.00		78	8.83		295	33.41		0	0.00		33	3.74		423	47.90		5	0.57		0	0.00		3	0.34		883	95.98		37	4.02		920	1.41
Cascades		9	1.49		0	0.00		8	1.32		0	0.00		205	33.94		163	26.99		1	0.17		41	6.79		169	27.98		5	0.83		2	0.33		1	0.17		604	97.89		13	2.11		617	0.95
Chigwell		24	1.33		2	0.11		78	4.32		1	0.06		111	6.15		507	28.07		4	0.22		59	3.27		1004	55.59		9	0.50		2	0.11		5	0.28		1806	96.01		75	3.99		1881	2.89
Claremont		21	1.50		2	0.14		51	3.64		0	0.00		91	6.49		461	32.86		0	0.00		63	4.49		696	49.61		8	0.57		4	0.29		6	0.43		1403	95.05		73	4.95		1476	2.27
Collinsvale		7	1.98		1	0.28		10	2.83		0	0.00		84	23.80		71	20.11		1	0.28		19	5.38		157	44.48		3	0.85		0	0.00		0	0.00		353	96.71		12	3.29		365	0.56
Cornelian Bay		6	1.07		1	0.18		5	0.89		0	0.00		150	26.83		206	36.85		1	0.18		26	4.65		159	28.44		2	0.36		0	0.00		3	0.54		559	97.56		14	2.44		573	0.88
Cosgrove		3	0.38		1	0.13		22	2.77		2	0.25		101	12.72		214	26.95		0	0.00		30	3.78		415	52.27		1	0.13		0	0.00		5	0.63		794	96.24		31	3.76		825	1.27
Creek Road		13	0.99		0	0.00		16	1.22		0	0.00		271	20.61		514	39.09		0	0.00		77	5.86		412	31.33		7	0.53		1	0.08		4	0.30		1315	96.83		43	3.17		1358	2.09
Cross Street		12	0.69		2	0.11		23	1.32		7	0.40		391	22.45		545	31.29		2	0.11		95	5.45		653	37.49		7	0.40		1	0.06		4	0.23		1742	95.04		91	4.96		1833	2.82
Dynnyrne		4	0.35		0	0.00		10	0.89		2	0.18		419	37.15		367	32.54		1	0.09		84	7.45		229	20.30		4	0.35		2	0.18		6	0.53		1128	98.77		14	1.23		1142	1.76
Elizabeth Street		10	1.26		0	0.00		8	1.01		1	0.13		310	38.99		179	22.52		2	0.25		61	7.67		214	26.92		5	0.63		1	0.13		4	0.50		795	97.31		22	2.69		817	1.26
Elwick		4	1.05		1	0.26		4	1.05		2	0.53		30	7.89		90	23.68		1	0.26		12	3.16		233	61.32		2	0.53		0	0.00		1	0.26		380	95.48		18	4.52		398	0.61
Fern Tree		1	0.23		0	0.00		6	1.36		0	0.00		232	52.61		79	17.91		1	0.23		25	5.67		91	20.63		4	0.91		0	0.00		2	0.45		441	98.88		5	1.12		446	0.69
Glenorchy		31	1.13		1	0.04		102	3.71		4	0.15		183	6.65		857	31.15		1	0.04		117	4.25		1429	51.94		16	0.58		4	0.15		6	0.22		2751	96.05		113	3.95		2864	4.40
Glenorchy East		25	1.24		2	0.10		58	2.88		1	0.05		197	9.80		558	27.75		10	0.50		83	4.13		1060	52.71		14	0.70		0	0.00		3	0.15		2011	94.55		116	5.45		2127	3.27
Goodwood		15	1.69		4	0.45		28	3.15		1	0.11		65	7.32		190	21.40		1	0.11		32	3.60		548	61.71		3	0.34		0	0.00		1	0.11		888	94.37		53	5.63		941	1.45
Hill Street		3	0.45		0	0.00		5	0.74		0	0.00		313	46.44		119	17.66		2	0.30		40	5.93		185	27.45		2	0.30		1	0.15		4	0.59		674	97.40		18	2.60		692	1.06
Hobart		5	0.71		1	0.14		11	1.56		1	0.14		284	40.40		176	25.04		1	0.14		40	5.69		179	25.46		1	0.14		0	0.00		4	0.57		703	98.18		13	1.82		716	1.10
Hobart Central		3	1.27		0	0.00		3	1.27		0	0.00		90	37.97		66	27.85		1	0.42		11	4.64		62	26.16		1	0.42		0	0.00		0	0.00		237	96.73		8	3.27		245	0.38
Hobart North		3	0.48		0	0.00		8	1.29		1	0.16		168	27.10		163	26.29		2	0.32		41	6.61		231	37.26		1	0.16		2	0.32		0	0.00		620	97.18		18	2.82		638	0.98
Hobart South		19	1.14		0	0.00		16	0.96		0	0.00		684	40.96		448	26.83		5	0.30		92	5.51		381	22.81		13	0.78		3	0.18		9	0.54		1670	97.38		45	2.62		1715	2.64
Hobart West		4	0.45		0	0.00		13	1.47		2	0.23		378	42.71		186	21.02		1	0.11		58	6.55		235	26.55		3	0.34		1	0.11		4	0.45		885	98.66		12	1.34		897	1.38
Lansdowne Crescent		3	0.36		0	0.00		6	0.72		0	0.00		309	37.32		230	27.78		6	0.72		62	7.49		204	24.64		5	0.60		1	0.12		2	0.24		828	98.81		10	1.19		838	1.29
Lenah Valley		16	0.97		5	0.30		21	1.27		4	0.24		302	18.30		626	37.94		6	0.36		125	7.58		534	32.36		7	0.42		0	0.00		4	0.24		1650	98.21		30	1.79		1680	2.58
Lower Sandy Bay		5	0.24		1	0.05		15	0.71		5	0.24		460	21.90		1155	55.00		3	0.14		108	5.14		319	15.19		13	0.62		5	0.24		11	0.52		2100	97.22		60	2.78		2160	3.32
Lutana		12	1.23		1	0.10		28	2.86		1	0.10		104	10.63		279	28.53		2	0.20		33	3.37		512	52.35		6	0.61		0	0.00		0	0.00		978	96.54		35	3.46		1013	1.56
Montrose		3	0.63		0	0.00		13	2.75		0	0.00		40	8.46		163	34.46		1	0.21		24	5.07		223	47.15		1	0.21		1	0.21		4	0.85		473	97.13		14	2.87		487	0.75
Moonah		22	1.08		0	0.00		43	2.12		17	0.84		248	12.21		666	32.79		1	0.05		108	5.32		906	44.61		10	0.49		6	0.30		4	0.20		2031	95.13		104	4.87		2135	3.28
Moonah North		19	1.95		1	0.10		29	2.98		2	0.21		118	12.11		302	31.01		1	0.10		48	4.93		441	45.28		6	0.62		3	0.31		4	0.41		974	95.49		46	4.51		1020	1.57
Mount Nelson		4	0.34		0	0.00		15	1.26		5	0.42		369	30.93		457	38.31		2	0.17		78	6.54		247	20.70		9	0.75		2	0.17		5	0.42		1193	98.68		16	1.32		1209	1.86
Mount Stuart		3	0.38		1	0.13		8	1.02		1	0.13		240	30.53		282	35.88		1	0.13		43	5.47		201	25.57		4	0.51		0	0.00		2	0.25		786	97.52		20	2.48		806	1.24
Newdegate		13	1.08		0	0.00		22	1.82		1	0.08		358	29.66		343	28.42		2	0.17		81	6.71		368	30.49		8	0.66		3	0.25		8	0.66		1207	96.33		46	3.67		1253	1.93
New Town		4	0.47		0	0.00		4	0.47		0	0.00		266	31.37		263	31.01		0	0.00		61	7.19		233	27.48		5	0.59		5	0.59		7	0.83		848	97.70		20	2.30		868	1.33
Queenborough		5	0.99		0	0.00		8	1.58		1	0.20		162	31.95		153	30.18		1	0.20		23	4.54		146	28.80		6	1.18		2	0.39		0	0.00		507	97.69		12	2.31		519	0.80
Roseneath		5	1.48		0	0.00		13	3.85		0	0.00		16	4.73		75	22.19		0	0.00		7	2.07		221	65.38		1	0.30		0	0.00		0	0.00		338	97.13		10	2.87		348	0.54
Rosetta		2	0.24		1	0.12		14	1.71		2	0.24		97	11.86		340	41.56		1	0.12		41	5.01		314	38.39		2	0.24		1	0.12		3	0.37		818	95.90		35	4.10		853	1.31
St Johns Park		2	0.57		2	0.57		7	1.99		0	0.00		63	17.95		107	30.48		1	0.28		32	9.12		132	37.61		0	0.00		0	0.00		5	1.42		351	99.15		3	0.85		354	0.54
St Peters		2	0.47		1	0.24		8	1.90		0	0.00		159	37.68		104	24.64		1	0.24		31	7.35		116	27.49		0	0.00		0	0.00		0	0.00		422	98.37		7	1.63		429	0.66
Sandy Bay		1	0.06		0	0.00		8	0.47		2	0.12		503	29.69		716	42.27		3	0.18		97	5.73		346	20.43		9	0.53		2	0.12		7	0.41		1694	97.75		39	2.25		1733	2.67
Sandy Bay Beach		1	0.10		0	0.00		4	0.42		2	0.21		209	21.70		530	55.04		0	0.00		48	4.98		159	16.51		5	0.52		1	0.10		4	0.42		963	97.47		25	2.53		988	1.52
Swan		6	1.00		1	0.17		5	0.83		1	0.17		212	35.39		136	22.70		2	0.33		35	5.84		195	32.55		4	0.67		0	0.00		2	0.33		599	95.53		28	4.47		627	0.96
Taroona		8	0.53		0	0.00		6	0.40		2	0.13		537	35.45		549	36.24		1	0.07		97	6.40		299	19.74		7	0.46		1	0.07		8	0.53		1515	98.70		20	1.30		1535	2.36
Tolosa		34	2.14		0	0.00		47	2.96		2	0.13		109	6.86		463	29.12		3	0.19		82	5.16		839	52.77		7	0.44		2	0.13		2	0.13		1590	96.01		66	3.99		1656	2.55
Waimea Heights		3	0.43		0	0.00		11	1.56		0	0.00		172	24.47		375	53.34		0	0.00		31	4.41		106	15.08		4	0.57		0	0.00		1	0.14		703	98.05		14	1.95		717	1.10
Windermere		20	1.82		1	0.09		24	2.18		1	0.09		96	8.72		347	31.52		2	0.18		34	3.09		569	51.68		3	0.27		1	0.09		3	0.27		1101	96.58		39	3.42		1140	1.75
Special Hospitals		15	3.03		0	0.00		6	1.21		0	0.00		21	4.24		223	45.05		1	0.20		7	1.41		213	43.03		9	1.82		0	0.00		0	0.00		495	97.25		14	2.75		509	0.78
Total Ordinary		513	0.96		40	0.07		1024	1.92		83	0.16		11166	20.89		17385	32.52		84	0.16		2804	5.25		19833	37.10		281	0.53		65	0.12		178	0.33		53456	96.82		1755	3.18		55211	84.91
ABSENT		37	1.18		4	0.13		83	2.64		3	0.10		689	21.93		998	31.76		6	0.19		180	5.73		1105	35.17		20	0.64		7	0.22		10	0.32		3142	98.50		48	1.50		3190	4.91
POSTAL		30	1.02		2	0.07		59	2.01		2	0.07		382	13.02		1114	37.97		4	0.14		130	4.43		1178	40.15		22	0.75		9	0.31		2	0.07		2934	98.39		48	1.61		2982	4.59
PRE_POLL		38	1.32		4	0.14		56	1.94		3	0.10		689	23.87		1011	35.03		3	0.10		220	7.62		826	28.62		20	0.69		11	0.38		5	0.17		2886	98.70		38	1.30		2924	4.50
PROVISIONAL		10	1.45		2	0.29		9	1.30		2	0.29		167	24.13		147	21.24		3	0.43		42	6.07		300	43.35		5	0.72		3	0.43		2	0.29		692	96.78		23	3.22		715	1.10
Division Summary		628	1		52	0.08		1231	1.95		93	0.15		13093	20.75		20655	32.73		100	0.16		3376	5.35		23242	36.83		348	0.55		95	0.15		197	0.31		63110	97.06		1912	2.94		65022	95.71
