House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result 												
By Polling Place												
												
Denison (67938)												
		Candidate		                  	"KERR, Duncan"		               	"STEVEN, Tony"		               	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
	Abbotsfield											
			1st Prefs		1165	75.75		373	24.25		1538	
		"EDWARDS, Penny (DEM)"	77		54	70.13		23	29.87		77	
		"HAMPSON, Brenda (GRN)"	66		48	72.73		18	27.27		66	
		Total	143		1267	75.37		414	24.63		1681	

	Albuera											
			1st Prefs		215	52.44		195	47.56		410	
		"EDWARDS, Penny (DEM)"	61		39	63.93		22	36.07		61	
		"HAMPSON, Brenda (GRN)"	145		117	80.69		28	19.31		145	
		Total	206		371	60.23		245	39.77		616	

	Austins Ferry											
			1st Prefs		882	63.59		505	36.41		1387	
		"EDWARDS, Penny (DEM)"	61		36	59.02		25	40.98		61	
		"HAMPSON, Brenda (GRN)"	50		38	76.00		12	24.00		50	
		Total	111		956	63.82		542	36.18		1498	

	Battery Point											
			1st Prefs		400	44.05		508	55.95		908	
		"EDWARDS, Penny (DEM)"	100		70	70.00		30	30.00		100	
		"HAMPSON, Brenda (GRN)"	219		183	83.56		36	16.44		219	
		Total	319		653	53.22		574	46.78		1227	

	Bowen Road											
			1st Prefs		1027	74.64		349	25.36		1376	
		"EDWARDS, Penny (DEM)"	109		77	70.64		32	29.36		109	
		"HAMPSON, Brenda (GRN)"	123		94	76.42		29	23.58		123	
		Total	232		1198	74.50		410	25.50		1608	

	Brent Street											
			1st Prefs		534	66.83		265	33.17		799	
		"EDWARDS, Penny (DEM)"	46		29	63.04		17	36.96		46	
		"HAMPSON, Brenda (GRN)"	43		34	79.07		9	20.93		43	
		Total	89		597	67.23		291	32.77		888	

	Cascades											
			1st Prefs		284	65.29		151	34.71		435	
		"EDWARDS, Penny (DEM)"	50		41	82.00		9	18.00		50	
		"HAMPSON, Brenda (GRN)"	114		100	87.72		14	12.28		114	
		Total	164		425	70.95		174	29.05		599	

	Chigwell											
			1st Prefs		1210	72.98		448	27.02		1658	
		"EDWARDS, Penny (DEM)"	65		40	61.54		25	38.46		65	
		"HAMPSON, Brenda (GRN)"	79		59	74.68		20	25.32		79	
		Total	144		1309	72.64		493	27.36		1802	

	Claremont											
			1st Prefs		915	70.01		392	29.99		1307	
		"EDWARDS, Penny (DEM)"	57		33	57.89		24	42.11		57	
		"HAMPSON, Brenda (GRN)"	55		40	72.73		15	27.27		55	
		Total	112		988	69.63		431	30.37		1419	

	Collinsvale											
			1st Prefs		224	76.45		69	23.55		293	
		"EDWARDS, Penny (DEM)"	18		15	83.33		3	16.67		18	
		"HAMPSON, Brenda (GRN)"	43		36	83.72		7	16.28		43	
		Total	61		275	77.68		79	22.32		354	

	Cornelian Bay											
			1st Prefs		269	56.16		210	43.84		479	
		"EDWARDS, Penny (DEM)"	29		23	79.31		6	20.69		29	
		"HAMPSON, Brenda (GRN)"	58		44	75.86		14	24.14		58	
		Total	87		336	59.36		230	40.64		566	

	Cosgrove											
			1st Prefs		499	70.98		204	29.02		703	
		"EDWARDS, Penny (DEM)"	41		30	73.17		11	26.83		41	
		"HAMPSON, Brenda (GRN)"	53		39	73.58		14	26.42		53	
		Total	94		568	71.27		229	28.73		797	

	Creek Road											
			1st Prefs		630	55.36		508	44.64		1138	
