House of Representatives - 2001 Election: Tasmania																			
Distribution of Preferences 																			
By Polling Place																			
																			
Braddon																			
				SIDEBOTTOM			PATTISON			THOMPSON			COOPER			PICKFORD			
				Sid			Alan			Clare			Craig			Steve			
				ALP			LP			GRN			DEM			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Abbotsham                                                      																			
	FIRST			48	35.29		66	48.53		9	6.62		4	2.94		9	6.62		136
	SECOND			1	25.00		1	25.00		0	0.00			Excluded		2	50.00		4
		TOTAL		49	36.03		67	49.26		9	6.62					11	8.09		136
	THIRD			5	45.45		4	36.36		2	18.18						Excluded		11
		TOTAL		54	39.71		71	52.21		11	8.09								136
	FOURTH			7	63.64		4	36.36			Excluded								11
		TOTAL		61	44.85		75	55.15											136
				Elected															
																			
Acton                                                          																			
	FIRST			1292	71.11		343	18.88		72	3.96		49	2.70		61	3.36		1817
	SECOND			23	46.94		6	12.24		13	26.53			Excluded		7	14.29		49
		TOTAL		1315	72.37		349	19.21		85	4.68					68	3.74		1817
	THIRD			35	51.47		14	20.59		19	27.94						Excluded		68
		TOTAL		1350	74.30		363	19.98		104	5.72								1817
	FOURTH			57	54.81		47	45.19			Excluded								104
		TOTAL		1407	77.44		410	22.56											1817
				Elected															
																			
Addison Street                                                 																			
	FIRST			467	56.40		278	33.57		37	4.47		24	2.90		22	2.66		828
	SECOND			10	41.67		6	25.00		7	29.17			Excluded		1	4.17		24
		TOTAL		477	57.61		284	34.30		44	5.31					23	2.78		828
	THIRD			10	43.48		5	21.74		8	34.78						Excluded		23
		TOTAL		487	58.82		289	34.90		52	6.28								828
	FOURTH			32	61.54		20	38.46			Excluded								52
		TOTAL		519	62.68		309	37.32											828
				Elected															
																			
Ambleside                                                      																			
	FIRST			226	41.77		271	50.09		19	3.51		10	1.85		15	2.77		541
	SECOND			2	20.00		4	40.00		4	40.00			Excluded		0	0.00		10
		TOTAL		228	42.14		275	50.83		23	4.25					15	2.77		541
	THIRD			3	20.00		3	20.00		9	60.00						Excluded		15
		TOTAL		231	42.70		278	51.39		32	5.91								541
	FOURTH			19	59.38		13	40.63			Excluded								32
		TOTAL		250	46.21		291	53.79											541
				Elected															
																			
Blythe Heads                                                   																			
	FIRST			118	54.88		49	22.79		15	6.98		4	1.86		29	13.49		215
	SECOND			0	0.00		1	25.00		2	50.00			Excluded		1	25.00		4
		TOTAL		118	54.88		50	23.26		17	7.91					30	13.95		215
	THIRD			13	43.33		12	40.00		5	16.67						Excluded		30
		TOTAL		131	60.93		62	28.84		22	10.23								215
	FOURTH			20	90.91		2	9.09			Excluded								22
		TOTAL		151	70.23		64	29.77											215
				Elected															
																			
Boat Harbour                                                   																			
	FIRST			89	28.53		168	53.85		39	12.50		7	2.24		9	2.88		312
	SECOND			1	14.29		3	42.86		3	42.86			Excluded		0	0.00		7
		TOTAL		90	28.85		171	54.81		42	13.46					9	2.88		312
	THIRD			6	66.67		2	22.22		1	11.11						Excluded		9
		TOTAL		96	30.77		173	55.45		43	13.78								312
	FOURTH			31	72.09		12	27.91			Excluded								43
		TOTAL		127	40.71		185	59.29											312
				Elected															
																			
Brooklyn                                                       																			
	FIRST			344	56.49		194	31.86		33	5.42		14	2.30		24	3.94		609
	SECOND			4	28.57		5	35.71		4	28.57			Excluded		1	7.14		14
		TOTAL		348	57.14		199	32.68		37	6.08					25	4.11		609
	THIRD			3	12.00		15	60.00		7	28.00						Excluded		25
		TOTAL		351	57.64		214	35.14		44	7.22								609
	FOURTH			28	63.64		16	36.36			Excluded								44
		TOTAL		379	62.23		230	37.77											609
				Elected															
