House of Representatives - 2001 Election: Tasmania																				
Distribution of Preferences																				
By Polling Place																				
																				
Lyons																				
				BATCHELOR			ADAMS			MORRIS			PAGE			ANDERSON				
				Neil			Dick			Tim			Geoff			Sonia				
				HAN			ALP			GRN			LP			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Avoca                                                          																				
	FIRST			13	6.19		136	64.76		5	2.38		51	24.29		5	2.38		210	
	SECOND			0	0.00		0	0.00		1	20.00		4	80.00			Excluded		5	
		TOTAL		13	6.19		136	64.76		6	2.86		55	26.19					210	
	THIRD				Excluded		5	38.46		4	30.77		4	30.77					13	
		TOTAL					141	67.14		10	4.76		59	28.10					210	
	FOURTH						5	50.00			Excluded		5	50.00					10	
		TOTAL					146	69.52					64	30.48					210	
							Elected													
																				
Bagdad                                                         																				
	FIRST			46	7.28		329	52.06		30	4.75		183	28.96		44	6.96		632	
	SECOND			4	9.09		16	36.36		13	29.55		11	25.00			Excluded		44	
		TOTAL		50	7.91		345	54.59		43	6.80		194	30.70					632	
	THIRD				Excluded		25	50.00		9	18.00		16	32.00					50	
		TOTAL					370	58.54		52	8.23		210	33.23					632	
	FOURTH						33	63.46			Excluded		19	36.54					52	
		TOTAL					403	63.77					229	36.23					632	
							Elected													
																				
Beaconsfield                                                   																				
	FIRST			47	5.16		528	57.96		58	6.37		241	26.45		37	4.06		911	
	SECOND			2	5.41		13	35.14		12	32.43		10	27.03			Excluded		37	
		TOTAL		49	5.38		541	59.39		70	7.68		251	27.55					911	
	THIRD				Excluded		20	40.82		8	16.33		21	42.86					49	
		TOTAL					561	61.58		78	8.56		272	29.86					911	
	FOURTH						62	79.49			Excluded		16	20.51					78	
		TOTAL					623	68.39					288	31.61					911	
							Elected													
																				
Beauty Point                                                   																				
	FIRST			30	4.35		378	54.86		25	3.63		215	31.20		41	5.95		689	
	SECOND			4	9.76		14	34.15		11	26.83		12	29.27			Excluded		41	
		TOTAL		34	4.93		392	56.89		36	5.22		227	32.95					689	
	THIRD				Excluded		16	47.06		8	23.53		10	29.41					34	
		TOTAL					408	59.22		44	6.39		237	34.40					689	
	FOURTH						29	65.91			Excluded		15	34.09					44	
		TOTAL					437	63.43					252	36.57					689	
							Elected													
																				
Bicheno                                                        																				
	FIRST			33	5.82		236	41.62		40	7.05		229	40.39		29	5.11		567	
	SECOND			4	13.79		11	37.93		7	24.14		7	24.14			Excluded		29	
		TOTAL		37	6.53		247	43.56		47	8.29		236	41.62					567	
	THIRD				Excluded		14	37.84		11	29.73		12	32.43					37	
		TOTAL					261	46.03		58	10.23		248	43.74					567	
	FOURTH						46	79.31			Excluded		12	20.69					58	
		TOTAL					307	54.14					260	45.86					567	
							Elected													
																				
Bishopsbourne                                                  																				
	FIRST			4	4.35		26	28.26		0	0.00		56	60.87		6	6.52		92	
	SECOND			0	0.00		1	16.67		3	50.00		2	33.33			Excluded		6	
		TOTAL		4	4.35		27	29.35		3	3.26		58	63.04					92	
	THIRD				Excluded		0	0.00		1	25.00		3	75.00					4	
		TOTAL					27	29.35		4	4.35		61	66.30					92	
	FOURTH						1	25.00			Excluded		3	75.00					4	
		TOTAL					28	30.43					64	69.57					92	
							Elected													
																				
Bothwell                                                       																				
	FIRST			29	8.50		164	48.09		6	1.76		133	39.00		9	2.64		341	
	SECOND			1	11.11		4	44.44		2	22.22		2	22.22			Excluded		9	
		TOTAL		30	8.80		168	49.27		8	2.35		135	39.59					341	
	THIRD				Excluded		11	36.67		6	20.00		13	43.33					30	
		TOTAL					179	52.49		14	4.11		148	43.40					341	
	FOURTH						8	57.14			Excluded		6	42.86					14	
		TOTAL					187	54.84					154	45.16					341	
							Elected													
																				
Bracknell                                                      																				
	FIRST			22	5.29		168	40.38		46	11.06		167	40.14		13	3.13		416	
	SECOND			2	15.38		3	23.08		1	7.69		7	53.85			Excluded		13	
		TOTAL		24	5.77		171	41.11		47	11.30		174	41.83					416	
	THIRD				Excluded		10	41.67		5	20.83		9	37.50					24	
		TOTAL					181	43.51		52	12.50		183	43.99					416	
	FOURTH						39	75.00			Excluded		13	25.00					52	
		TOTAL					220	52.88					196	47.12					416	
							Elected													
																				
Brighton                                                       																				
