Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group  																																													
By Polling Place																																													

Bass (65927)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Blessington Upper		4	5.97		0	0.00		6	8.96		1	1.49		9	13.43		26	38.81		0	0.00		4	5.97		17	25.37		0	0.00		0	0.00		0	0.00		67	91.78		6	8.22		73	0.12
Branxholm		2	0.97		0	0.00		14	6.80		0	0.00		15	7.28		75	36.41		0	0.00		7	3.40		90	43.69		2	0.97		0	0.00		1	0.49		206	98.56		3	1.44		209	0.33
Bridport		21	1.82		0	0.00		42	3.63		3	0.26		130	11.24		575	49.70		1	0.09		36	3.11		341	29.47		5	0.43		1	0.09		2	0.17		1157	95.94		49	4.06		1206	1.90
Cape Barren Island		1	3.13		1	3.13		1	3.13		0	0.00		5	15.63		7	21.88		0	0.00		0	0.00		17	53.13		0	0.00		0	0.00		0	0.00		32	96.97		1	3.03		33	0.05
Cosgrove Park		4	1.16		0	0.00		6	1.74		0	0.00		27	7.85		167	48.55		0	0.00		12	3.49		122	35.47		4	1.16		0	0.00		2	0.58		344	95.82		15	4.18		359	0.57
Derby		1	0.75		0	0.00		7	5.26		0	0.00		14	10.53		59	44.36		0	0.00		2	1.50		48	36.09		2	1.50		0	0.00		0	0.00		133	95.00		7	5.00		140	0.22
Dilston		10	1.47		2	0.29		25	3.68		1	0.15		136	20.00		303	44.56		2	0.29		26	3.82		167	24.56		3	0.44		2	0.29		3	0.44		680	97.84		15	2.16		695	1.10
East Launceston		11	0.84		0	0.00		13	1.00		1	0.08		299	22.96		598	45.93		0	0.00		77	5.91		298	22.89		3	0.23		1	0.08		1	0.08		1302	97.38		35	2.62		1337	2.11
Elphin		7	1.13		0	0.00		18	2.91		3	0.49		100	16.18		243	39.32		1	0.16		36	5.83		205	33.17		3	0.49		1	0.16		1	0.16		618	96.71		21	3.29		639	1.01
Emita		1	2.17		0	0.00		4	8.70		0	0.00		8	17.39		25	54.35		0	0.00		3	6.52		5	10.87		0	0.00		0	0.00		0	0.00		46	97.87		1	2.13		47	0.07
Five Ways		28	1.68		2	0.12		42	2.52		1	0.06		193	11.56		685	41.04		0	0.00		92	5.51		618	37.03		6	0.36		1	0.06		1	0.06		1669	95.92		71	4.08		1740	2.74
General Hospital		5	0.98		1	0.20		12	2.36		1	0.20		106	20.87		180	35.43		1	0.20		29	5.71		170	33.46		2	0.39		0	0.00		1	0.20		508	97.50		13	2.50		521	0.82
George Town		28	1.45		2	0.10		87	4.49		1	0.05		138	7.13		532	27.48		0	0.00		70	3.62		1062	54.86		10	0.52		3	0.15		3	0.15		1936	94.90		104	5.10		2040	3.22
George Town South		11	1.23		1	0.11		25	2.80		0	0.00		76	8.52		276	30.94		0	0.00		34	3.81		462	51.79		5	0.56		2	0.22		0	0.00		892	96.12		36	3.88		928	1.46
Gladstone		11	6.55		0	0.00		11	6.55		1	0.60		8	4.76		53	31.55		0	0.00		4	2.38		76	45.24		3	1.79		0	0.00		1	0.60		168	96.55		6	3.45		174	0.27
Hillwood		9	2.37		0	0.00		14	3.69		0	0.00		47	12.40		164	43.27		1	0.26		18	4.75		119	31.40		2	0.53		0	0.00		5	1.32		379	95.95		16	4.05		395	0.62
Inveresk		20	1.87		2	0.19		29	2.71		0	0.00		132	12.31		259	24.16		0	0.00		47	4.38		576	53.73		5	0.47		1	0.09		1	0.09		1072	93.30		77	6.70		1149	1.81
Invermay		15	1.69		1	0.11		32	3.60		1	0.11		102	11.46		291	32.70		0	0.00		40	4.49		393	44.16		6	0.67		6	0.67		3	0.34		890	94.68		50	5.32		940	1.48
Karoola		3	1.13		0	0.00		8	3.02		0	0.00		34	12.83		118	44.53		0	0.00		9	3.40		88	33.21		5	1.89		0	0.00		0	0.00		265	96.01		11	3.99		276	0.44
Kings Meadows		16	1.00		1	0.06		39	2.44		0	0.00		134	8.38		686	42.90		0	0.00		80	5.00		634	39.65		4	0.25		1	0.06		4	0.25		1599	95.63		73	4.37		1672	2.64
Lady Barron		0	0.00		0	0.00		15	11.72		0	0.00		13	10.16		59	46.09		0	0.00		1	0.78		39	30.47		1	0.78		0	0.00		0	0.00		128	98.46		2	1.54		130	0.20
Launceston		13	1.78		1	0.14		15	2.05		1	0.14		174	23.77		255	34.84		2	0.27		64	8.74		201	27.46		2	0.27		0	0.00		4	0.55		732	97.34		20	2.66		752	1.19
Launceston Central		8	0.78		4	0.39		12	1.17		0	0.00		286	27.79		426	41.40		2	0.19		66	6.41		212	20.60		7	0.68		4	0.39		2	0.19		1029	97.44		27	2.56		1056	1.67
Lebrina		7	3.23		1	0.46		9	4.15		0	0.00		37	17.05		87	40.09		0	0.00		7	3.23		66	30.41		2	0.92		0	0.00		1	0.46		217	99.09		2	0.91		219	0.35
Legana (Bass)		17	1.26		0	0.00		32	2.37		0	0.00		155	11.46		685	50.63		2	0.15		89	6.58		363	26.83		4	0.30		2	0.15		4	0.30		1353	96.85		44	3.15		1397	2.20
Lilydale		13	2.02		2	0.31		40	6.23		1	0.16		127	19.78		223	34.74		0	0.00		33	5.14		187	29.13		16	2.49		0	0.00		0	0.00		642	96.25		25	3.75		667	1.05
Mowbray		20	1.27		4	0.25		38	2.40		1	0.06		156	9.87		499	31.56		2	0.13		83	5.25		765	48.39		10	0.63		1	0.06		2	0.13		1581	95.47		75	4.53		1656	2.61
Myrtle Park		1	2.00		0	0.00		4	8.00		0	0.00		7	14.00		15	30.00		0	0.00		3	6.00		19	38.00		0	0.00		0	0.00		1	2.00		50	96.15		2	3.85		52	0.08
Nabowla		1	1.20		0	0.00		6	7.23		0	0.00		20	24.10		34	40.96		0	0.00		2	2.41		20	24.10		0	0.00		0	0.00		0	0.00		83	98.81		1	1.19		84	0.13
Newnham		27	1.01		4	0.15		67	2.50		2	0.07		218	8.13		946	35.26		4	0.15		134	4.99		1257	46.85		19	0.71		0	0.00		5	0.19		2683	96.23		105	3.77		2788	4.40
Newstead		14	0.83		0	0.00		29	1.73		1	0.06		223	13.28		849	50.57		1	0.06		86	5.12		465	27.70		9	0.54		0	0.00		2	0.12		1679	97.00		52	3.00		1731	2.73
Norwood		25	1.05		1	0.04		49	2.06		1	0.04		242	10.16		1350	56.65		2	0.08		103	4.32		589	24.72		11	0.46		2	0.08		8	0.34		2383	97.42		63	2.58		2446	3.86
Nunamara		7	3.10		0	0.00		6	2.65		1	0.44		43	19.03		78	34.51		0	0.00		9	3.98		76	33.63		3	1.33		0	0.00		3	1.33		226	97.41		6	2.59		232	0.37
Pioneer		3	4.69		0	0.00		8	12.50		0	0.00		5	7.81		15	23.44		0	0.00		0	0.00		30	46.88		1	1.56		0	0.00		2	3.13		64	95.52		3	4.48		67	0.11
Pipers River		7	2.55		0	0.00		12	4.36		3	1.09		44	16.00		109	39.64		0	0.00		7	2.55		89	32.36		3	1.09		1	0.36		0	0.00		275	97.17		8	2.83		283	0.45
Prospect		13	0.79		0	0.00		31	1.88		4	0.24		122	7.39		793	48.03		1	0.06		96	5.81		582	35.25		5	0.30		2	0.12		2	0.12		1651	97.69		39	2.31		1690	2.66
Prospect Vale		14	1.33		0	0.00		21	1.99		1	0.09		81	7.69		577	54.74		1	0.09		51	4.84		304	28.84		2	0.19		0	0.00		2	0.19		1054	97.77		24	2.23		1078	1.70
Ravenswood		44	2.06		5	0.23		69	3.22		1	0.05		114	5.33		492	22.99		5	0.23		90	4.21		1300	60.75		12	0.56		1	0.05		7	0.33		2140	94.69		120	5.31		2260	3.56
Ringarooma		1	0.25		1	0.25		24	5.94		1	0.25		36	8.91		201	49.75		0	0.00		14	3.47		122	30.20		3	0.74		0	0.00		1	0.25		404	95.51		19	4.49		423	0.67
Riverside		18	0.67		0	0.00		64	2.38		9	0.33		322	11.97		1437	53.44		2	0.07		144	5.36		677	25.18		10	0.37		2	0.07		4	0.15		2689	97.78		61	2.22		2750	4.34
Riverside West		9	0.92		2	0.20		28	2.87		4	0.41		101	10.35		487	49.90		1	0.10		72	7.38		270	27.66		0	0.00		1	0.10		1	0.10		976	98.59		14	1.41		990	1.56
Rocherlea		30	2.39		2	0.16		53	4.22		1	0.08		84	6.68		305	24.26		3	0.24		55	4.38		709	56.40		11	0.88		3	0.24		1	0.08		1257	95.30		62	4.70		1319	2.08
St Leonards		18	1.66		2	0.18		47	4.33		2	0.18		115	10.59		459	42.27		2	0.18		44	4.05		388	35.73		6	0.55		0	0.00		3	0.28		1086	96.36		41	3.64		1127	1.78
Scottsdale		23	1.25		3	0.16		43	2.33		4	0.22		118	6.40		951	51.60		1	0.05		71	3.85		605	32.83		19	1.03		1	0.05		4	0.22		1843	96.69		63	3.31		1906	3.01
South Launceston		16	1.58		3	0.30		20	1.98		0	0.00		178	17.59		379	37.45		0	0.00		69	6.82		339	33.50		6	0.59		1	0.10		1	0.10		1012	96.84		33	3.16		1045	1.65
Summerhill		39	1.13		6	0.17		104	3.02		2	0.06		271	7.87		1471	42.72		1	0.03		180	5.23		1333	38.72		17	0.49		5	0.15		14	0.41		3443	96.77		115	3.23		3558	5.61
Trevallyn		9	0.44		0	0.00		32	1.57		3	0.15		439	21.57		927	45.55		0	0.00		128	6.29		474	23.29		14	0.69		2	0.10		7	0.34		2035	98.36		34	1.64		2069	3.26
Waverley		16	1.83		5	0.57		32	3.66		0	0.00		49	5.60		212	24.23		2	0.23		36	4.11		516	58.97		5	0.57		1	0.11		1	0.11		875	94.39		52	5.61		927	1.46
West Launceston		12	0.69		0	0.00		27	1.56		0	0.00		397	22.92		654	37.76		4	0.23		117	6.76		503	29.04		12	0.69		0	0.00		6	0.35		1732	97.41		46	2.59		1778	2.80
Weymouth		0	0.00		0	0.00		1	0.86		0	0.00		11	9.48		64	55.17		0	0.00		0	0.00		38	32.76		2	1.72		0	0.00		0	0.00		116	98.31		2	1.69		118	0.19
Whitemark		6	1.88		0	0.00		8	2.51		0	0.00		48	15.05		170	53.29		0	0.00		10	3.13		75	23.51		1	0.31		1	0.31		0	0.00		319	96.67		11	3.33		330	0.52
Windmill Hill		3	0.45		0	0.00		6	0.89		0	0.00		155	23.00		331	49.11		0	0.00		55	8.16		121	17.95		2	0.30		0	0.00		1	0.15		674	98.54		10	1.46		684	1.08
Winnaleah		6	2.78		0	0.00		11	5.09		2	0.93		8	3.70		140	64.81		0	0.00		5	2.31		42	19.44		1	0.46		0	0.00		1	0.46		216	97.30		6	2.70		222	0.35
