House of Representatives - 2001 Election: Tasmania																																
First Preference Votes and TCP																																
By Candidate by Polling Place																																

Denison (67938)																																
	# KERR			EDWARDS			HAMPSON			STEVEN			FORMAL			INFORMAL			TOTAL													
	Duncan			Penny			Brenda			Tony												Two Candidate Preferred										
	ALP			DEM			GRN			LP												# KERR ALP			 STEVEN LP							
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%						
Abbotsfield	1165	69.30		77	4.58		66	3.93		373	22.19		1681	96.50		61	3.50		1742	2.68		1267	75.37		414	24.63						
Albuera	215	34.90		61	9.90		145	23.54		195	31.66		616	99.04		6	0.96		622	0.96		371	60.23		245	39.77						
Austins Ferry	882	58.88		61	4.07		50	3.34		505	33.71		1498	96.77		50	3.23		1548	2.38		956	63.82		542	36.18						
Battery Point	400	32.60		100	8.15		219	17.85		508	41.40		1227	97.85		27	2.15		1254	1.93		653	53.22		574	46.78						
Bowen Road	1027	63.87		109	6.78		123	7.65		349	21.70		1608	95.43		77	4.57		1685	2.59		1198	74.50		410	25.50						
Brent Street	534	60.14		46	5.18		43	4.84		265	29.84		888	96.52		32	3.48		920	1.42		597	67.23		291	32.77						
Cascades	284	47.41		50	8.35		114	19.03		151	25.21		599	97.08		18	2.92		617	0.95		425	70.95		174	29.05						
Chigwell	1210	67.15		65	3.61		79	4.38		448	24.86		1802	95.80		79	4.20		1881	2.90		1309	72.64		493	27.36
Claremont	915	64.48		57	4.02		55	3.88		392	27.63		1419	96.20		56	3.80		1475	2.27		988	69.63		431	30.37
Collinsvale	224	63.28		18	5.08		43	12.15		69	19.49		354	96.99		11	3.01		365	0.56		275	77.68		79	22.32
Cornelian Bay	269	47.53		29	5.12		58	10.25		210	37.10		566	98.78		7	1.22		573	0.88		336	59.36		230	40.64
Cosgrove	499	62.61		41	5.14		53	6.65		204	25.60		797	96.61		28	3.39		825	1.27		568	71.27		229	28.73
Creek Road	630	47.16		71	5.31		127	9.51		508	38.02		1336	98.45		21	1.55		1357	2.09		773	57.86		563	42.14
Cross Street	930	52.54		124	7.01		184	10.40		532	30.06		1770	96.56		63	3.44		1833	2.82		1178	66.55		592	33.45
Dynnyrne	434	38.82		115	10.29		188	16.82		381	34.08		1118	97.98		23	2.02		1141	1.76		667	59.66		451	40.34
Elizabeth Street	349	43.90		87	10.94		179	22.52		180	22.64		795	96.95		25	3.05		820	1.26		568	71.45		227	28.55
Elwick	278	72.77		13	3.40		11	2.88		80	20.94		382	95.98		16	4.02		398	0.61		292	76.44		90	23.56
Fern Tree	187	42.50		46	10.45		121	27.50		86	19.55		440	99.10		4	0.90		444	0.68		325	73.86		115	26.14
Glenorchy	1737	62.96		137	4.97		117	4.24		768	27.84		2759	96.30		106	3.70		2865	4.41		1903	68.97		856	31.03
Glenorchy East	1295	63.82		92	4.53		111	5.47		531	26.17		2029	95.44		97	4.56		2126	3.27		1450	71.46		579	28.54
Goodwood	641	72.18		50	5.63		37	4.17		160	18.02		888	94.37		53	5.63		941	1.45		699	78.72		189	21.28
Hill Street	318	47.53		57	8.52		171	25.56		123	18.39		669	96.82		22	3.18		691	1.06		510	76.23		159	23.77
Hobart	290	41.55		63	9.03		171	24.50		174	24.93		698	97.76		16	2.24		714	1.10		472	67.62		226	32.38
Hobart Central	106	45.49		18	7.73		48	20.60		61	26.18		233	95.49		11	4.51		244	0.38		154	66.09		79	33.91
Hobart North	343	54.88		41	6.56		78	12.48		163	26.08		625	97.81		14	2.19		639	0.98		440	70.40		185	29.60
Hobart South	755	44.78		130	7.71		342	20.28		459	27.22		1686	98.37		28	1.63		1714	2.64		1154	68.45		532	31.55
Hobart West	408	46.31		82	9.31		202	22.93		189	21.45		881	98.22		16	1.78		897	1.38		651	73.89		230	26.11
Lansdowne Crescent	370	45.23		78	9.54		146	17.85		224	27.38		818	97.61		20	2.39		838	1.29		558	68.22		260	31.78
Lenah Valley	763	47.24		122	7.55		142	8.79		588	36.41		1615	96.19		64	3.81		1679	2.58		947	58.64		668	41.36
Lower Sandy Bay	566	26.91		137	6.51		199	9.46		1201	57.11		2103	97.32		58	2.68		2161	3.33		795	37.80		1308	62.20
Lutana	624	63.80		37	3.78		46	4.70		271	27.71		978	96.54		35	3.46		1013	1.56		681	69.63		297	30.37
Montrose	288	60.63		22	4.63		12	2.53		153	32.21		475	97.74		11	2.26		486	0.75		309	65.05		166	34.95
Moonah	1198	58.55		107	5.23		124	6.06		617	30.16		2046	95.79		90	4.21		2136	3.29		1364	66.67		682	33.33
Moonah North	580	59.30		67	6.85		55	5.62		276	28.22		978	95.88		42	4.12		1020	1.57		663	67.79		315	32.21
Mount Nelson	475	39.72		90	7.53		151	12.63		480	40.13		1196	99.01		12	0.99		1208	1.86		646	54.01		550	45.99
Mount Stuart	357	44.91		69	8.68		76	9.56		293	36.86		795	98.64		11	1.36		806	1.24		469	58.99		326	41.01
Newdegate	600	49.18		107	8.77		163	13.36		350	28.69		1220	97.29		34	2.71		1254	1.93		825	67.62		395	32.38
New Town	377	44.25		62	7.28		124	14.55		289	33.92		852	98.04		17	1.96		869	1.34		520	61.03		332	38.97
Queenborough	233	45.87		33	6.50		76	14.96		166	32.68		508	98.07		10	1.93		518	0.80		325	63.98		183	36.02
Roseneath	251	74.93		8	2.39		19	5.67		57	17.01		335	96.26		13	3.74		348	0.54		268	80.00		67	20.00			
Rosetta	421	50.97		46	5.57		42	5.08		317	38.38		826	96.83		27	3.17		853	1.31		480	58.11		346	41.89			
St Johns Park	191	54.73		33	9.46		38	10.89		87	24.93		349	98.59		5	1.41		354	0.54		244	69.91		105	30.09			
St Peters	192	45.71		38	9.05		89	21.19		101	24.05		420	98.36		7	1.64		427	0.66		290	69.05		130	30.95			
Sandy Bay	586	34.63		138	8.16		240	14.18		728	43.03		1692	97.52		43	2.48		1735	2.67		861	50.89		831	49.11			
Sandy Bay Beach	292	30.48		54	5.64		76	7.93		536	55.95		958	97.06		29	2.94		987	1.52		370	38.62		588	61.38			
Swan	303	50.08		59	9.75		111	18.35		132	21.82		605	96.49		22	3.51		627	0.97		448	74.05		157	25.95			
Taroona	591	39.14		129	8.54		226	14.97		564	37.35		1510	98.37		25	1.63		1535	2.36		857	56.75		653	43.25			
Tolosa	1051	66.23		79	4.98		46	2.90		411	25.90		1587	95.95		67	4.05		1654	2.55		1135	71.52		452	28.48			
Waimea Heights	209	29.69		46	6.53		63	8.95		386	54.83		704	98.05		14	1.95		718	1.11		287	40.77		417	59.23			
Windermere	712	64.73		50	4.55		29	2.64		309	28.09		1100	96.41		41	3.59		1141	1.76		772	70.18		328	29.82			
Special Hospitals	252	52.28		20	4.15		11	2.28		199	41.29		482	96.40		18	3.60		500	0.77		271	56.22		211	43.78			
Total Ordinary	27807	51.96		3471	6.49		5439	10.16		16799	31.39		53516	96.95		1682	3.05		55198	84.97		34564	64.59		18952	35.41			
ABSENT	1472	48.34		233	7.65		401	13.17		939	30.84		3045	97.13		90	2.87		3135	4.83		1936	63.58		1109	36.42			
POSTAL	1572	51.32		129	4.21		226	7.38		1136	37.09		3063	98.74		39	1.26		3102	4.78		1827	59.65		1236	40.35			
PRE_POLL	1239	43.34		258	9.02		424	14.83		938	32.81		2859	98.28		50	1.72		2909	4.48		1765	61.73		1094	38.27			
PROVISIONAL	314	53.22		63	10.68		102	17.29		111	18.81		590	95.47		28	4.53		618	0.95		438	74.24		152	25.76			
Division Summary	32404	51.38		4154	6.59		6592	10.45		19923	31.59		63073	97.09		1889	2.91		64962	95.62		40530	64.26		22543	35.74			
																													
																													
																													
																													
																													
																													
																													
