House of Representatives - 2001 Election: Tasmania																
Distribution of Preferences																
 By Polling Place																
																
Denison																
				KERR			EDWARDS			HAMPSON			STEVEN			
				Duncan			Penny			Brenda			Tony			
				ALP			DEM			GRN			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total
Abbotsfield                                                    																
	FIRST			1165	69.30		77	4.58		66	3.93		373	22.19		1681
	SECOND			35	45.45			Excluded		31	40.26		11	14.29		77
		TOTAL		1200	71.39					97	5.77		384	22.84		1681
	THIRD			67	69.07						Excluded		30	30.93		97
		TOTAL		1267	75.37								414	24.63		1681
				Elected												
																
Albuera                                                        																
	FIRST			215	34.90		61	9.90		145	23.54		195	31.66		616
	SECOND			21	34.43			Excluded		28	45.90		12	19.67		61
		TOTAL		236	38.31					173	28.08		207	33.60		616
	THIRD			135	78.03						Excluded		38	21.97		173
		TOTAL		371	60.23								245	39.77		616
				Elected												
																
Austins Ferry                                                  																
	FIRST			882	58.88		61	4.07		50	3.34		505	33.71		1498
	SECOND			20	32.79			Excluded		29	47.54		12	19.67		61
		TOTAL		902	60.21					79	5.27		517	34.51		1498
	THIRD			54	68.35						Excluded		25	31.65		79
		TOTAL		956	63.82								542	36.18		1498
				Elected												
																
Battery Point                                                  																
	FIRST			400	32.60		100	8.15		219	17.85		508	41.40		1227
	SECOND			29	29.00			Excluded		62	62.00		9	9.00		100
		TOTAL		429	34.96					281	22.90		517	42.14		1227
	THIRD			224	79.72						Excluded		57	20.28		281
		TOTAL		653	53.22								574	46.78		1227
				Elected												
																
Bowen Road                                                     																
	FIRST			1027	63.87		109	6.78		123	7.65		349	21.70		1608
	SECOND			55	50.46			Excluded		37	33.94		17	15.60		109
		TOTAL		1082	67.29					160	9.95		366	22.76		1608
	THIRD			116	72.50						Excluded		44	27.50		160
		TOTAL		1198	74.50								410	25.50		1608
				Elected												
																
Brent Street                                                   																
	FIRST			534	60.14		46	5.18		43	4.84		265	29.84		888
	SECOND			22	47.83			Excluded		13	28.26		11	23.91		46
		TOTAL		556	62.61					56	6.31		276	31.08		888
	THIRD			41	73.21						Excluded		15	26.79		56
		TOTAL		597	67.23								291	32.77		888
				Elected												
																
Cascades                                                       																
	FIRST			284	47.41		50	8.35		114	19.03		151	25.21		599
	SECOND			16	32.00			Excluded		29	58.00		5	10.00		50
		TOTAL		300	50.08					143	23.87		156	26.04		599
	THIRD			125	87.41						Excluded		18	12.59		143
		TOTAL		425	70.95								174	29.05		599
				Elected												
																
Chigwell                                                       																
	FIRST			1210	67.15		65	3.61		79	4.38		448	24.86		1802
	SECOND			31	47.69			Excluded		17	26.15		17	26.15		65
		TOTAL		1241	68.87					96	5.33		465	25.80		1802
	THIRD			68	70.83						Excluded		28	29.17		96
