Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Lowe (83707)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abbotsford		89	2.50		25	0.70		11	0.31		0	0.00		40	1.12		5	0.14		304	8.54		32	0.90		5	0.14		1136	31.91		6	0.17		1	0.03		21	0.59		3	0.08		3	0.08		3	0.08		1676	47.08		13	0.37		3	0.08		169	4.75		2	0.06		0	0.00		13	0.37		0	0.00		3560	95.44		170	4.56		3730	4.67
Ashfield North (Lowe)		50	4.49		22	1.97		18	1.62		0	0.00		16	1.44		2	0.18		98	8.80		7	0.63		1	0.09		476	42.73		1	0.09		1	0.09		3	0.27		0	0.00		2	0.18		2	0.18		307	27.56		11	0.99		2	0.18		90	8.08		1	0.09		1	0.09		3	0.27		0	0.00		1114	96.53		40	3.47		1154	1.45
Burwood		96	2.63		66	1.81		203	5.57		3	0.08		73	2.00		3	0.08		195	5.35		2	0.05		5	0.14		1568	43.01		10	0.27		0	0.00		9	0.25		0	0.00		3	0.08		8	0.22		1206	33.08		32	0.88		1	0.03		138	3.78		12	0.33		2	0.05		7	0.19		4	0.11		3646	95.45		174	4.55		3820	4.78
Burwood East		66	2.30		61	2.12		56	1.95		1	0.03		50	1.74		2	0.07		194	6.75		11	0.38		5	0.17		1299	45.21		9	0.31		1	0.03		8	0.28		3	0.10		2	0.07		1	0.03		960	33.41		12	0.42		4	0.14		119	4.14		2	0.07		0	0.00		6	0.21		1	0.03		2873	94.76		159	5.24		3032	3.80
Burwood North		12	3.31		9	2.48		3	0.83		0	0.00		2	0.55		0	0.00		21	5.79		2	0.55		0	0.00		164	45.18		0	0.00		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		133	36.64		3	0.83		0	0.00		10	2.75		1	0.28		0	0.00		1	0.28		0	0.00		363	97.58		9	2.42		372	0.47
Burwood Park		29	3.35		13	1.50		24	2.77		0	0.00		9	1.04		1	0.12		58	6.71		3	0.35		0	0.00		400	46.24		0	0.00		0	0.00		4	0.46		0	0.00		0	0.00		1	0.12		291	33.64		3	0.35		1	0.12		27	3.12		0	0.00		0	0.00		1	0.12		0	0.00		865	95.05		45	4.95		910	1.14
Canada Bay		21	2.92		0	0.00		8	1.11		1	0.14		8	1.11		0	0.00		51	7.09		5	0.70		0	0.00		285	39.64		3	0.42		0	0.00		3	0.42		0	0.00		0	0.00		0	0.00		297	41.31		8	1.11		1	0.14		26	3.62		0	0.00		0	0.00		2	0.28		0	0.00		719	97.03		22	2.97		741	0.93
Chiswick		39	2.48		12	0.76		7	0.45		1	0.06		11	0.70		1	0.06		139	8.85		7	0.45		1	0.06		471	30.00		4	0.25		2	0.13		6	0.38		1	0.06		0	0.00		0	0.00		760	48.41		9	0.57		7	0.45		88	5.61		0	0.00		0	0.00		4	0.25		0	0.00		1570	95.62		72	4.38		1642	2.06
