House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences 																												
By Polling Place																												
																												
Berowra																												
				SPARKS			BALL			CHOI			SLATER			RUDDOCK			GALE			NANNELLI			GALLAGHER			
				Philip			Harry			Daniel			Richard			Philip Maxwell			Maureen			Owen			P J			
				DEM			HAN			UNI			ALP			LP			GRN			CTA			NGST			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Arcadia                                                        																												
	FIRST			41	5.07		31	3.83		1	0.12		127	15.70		538	66.50		46	5.69		19	2.35		6	0.74		809
	SECOND			0	0.00		2	33.33		0	0.00		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		6
		TOTAL		41	5.07		33	4.08		1	0.12		127	15.70		539	66.63		47	5.81		21	2.60					809
	THIRD			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00					1
		TOTAL		41	5.07		33	4.08					128	15.82		539	66.63		47	5.81		21	2.60					809
	FOURTH			5	15.15			Excluded					2	6.06		19	57.58		5	15.15		2	6.06					33
		TOTAL		46	5.69								130	16.07		558	68.97		52	6.43		23	2.84					809
	FIFTH			2	8.70								1	4.35		15	65.22		5	21.74			Excluded					23
		TOTAL		48	5.93								131	16.19		573	70.83		57	7.05								809
	SIXTH			31	54.39								13	22.81		13	22.81			Excluded								57
		TOTAL		79	9.77								144	17.80		586	72.44											809
	SEVENTH				Excluded								58	73.42		21	26.58											79
		TOTAL											202	24.97		607	75.03											809
																Elected												
																												
Asquith                                                        																												
	FIRST			135	6.38		52	2.46		44	2.08		648	30.64		1090	51.54		79	3.74		29	1.37		38	1.80		2115
	SECOND			7	18.42		7	18.42		1	2.63		5	13.16		9	23.68		7	18.42		2	5.26			Excluded		38
		TOTAL		142	6.71		59	2.79		45	2.13		653	30.87		1099	51.96		86	4.07		31	1.47					2115
	THIRD			21	46.67		0	0.00			Excluded		8	17.78		8	17.78		5	11.11		3	6.67					45
		TOTAL		163	7.71		59	2.79					661	31.25		1107	52.34		91	4.30		34	1.61					2115
	FOURTH			11	18.64			Excluded					10	16.95		17	28.81		16	27.12		5	8.47					59
		TOTAL		174	8.23								671	31.73		1124	53.14		107	5.06		39	1.84					2115
	FIFTH			6	15.38								9	23.08		17	43.59		7	17.95			Excluded					39
		TOTAL		180	8.51								680	32.15		1141	53.95		114	5.39								2115
	SIXTH			58	50.88								32	28.07		24	21.05			Excluded								114
		TOTAL		238	11.25								712	33.66		1165	55.08											2115
	SEVENTH				Excluded								174	73.11		64	26.89											238
		TOTAL											886	41.89		1229	58.11											2115
																Elected												
																												
Beecroft                                                       																												
	FIRST			258	7.93		30	0.92		76	2.34		620	19.07		1982	60.95		199	6.12		72	2.21		15	0.46		3252
	SECOND			3	20.00		1	6.67		1	6.67		2	13.33		2	13.33		1	6.67		5	33.33			Excluded		15
		TOTAL		261	8.03		31	0.95		77	2.37		622	19.13		1984	61.01		200	6.15		77	2.37					3252
	THIRD			21	27.27		2	2.60			Excluded		34	44.16		6	7.79		10	12.99		4	5.19					77
		TOTAL		282	8.67		33	1.01					656	20.17		1990	61.19		210	6.46		81	2.49					3252
	FOURTH			3	9.09			Excluded					3	9.09		16	48.48		7	21.21		4	12.12					33
		TOTAL		285	8.76								659	20.26		2006	61.69		217	6.67		85	2.61					3252
	FIFTH			13	15.29								6	7.06		55	64.71		11	12.94			Excluded					85
		TOTAL		298	9.16								665	20.45		2061	63.38		228	7.01								3252
	SIXTH			116	50.88								75	32.89		37	16.23			Excluded								228
		TOTAL		414	12.73								740	22.76		2098	64.51											3252
	SEVENTH				Excluded								325	78.50		89	21.50											414
		TOTAL											1065	32.75		2187	67.25											3252
																Elected												
																												
Berowra                                                        																												
	FIRST			226	7.04		69	2.15		23	0.72		813	25.33		1821	56.75		141	4.39		63	1.96		53	1.65		3209
