House of Representatives - 2001 Election: New South Wales																																									
First Preference Votes and TCP																																									
By Candidate by Polling Place																																									

Mitchell (86647)																																									
	MUDGEE			# CADMAN			BAGGS			TAYLOR			MCSHANE			GREGORY			BURKE			EDER			FORMAL			INFORMAL			TOTAL										
	David			Alan			David			Cindy			John			Ken			Stephen			Dale												Two Candidate Preferred							
	AFI			LP			DEM			GRN			ALP			CTA			IND			HAN												# CADMAN LP			 MCSHANE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aminya	7	1.23		363	63.68		26	4.56		22	3.86		114	20.00		18	3.16		5	0.88		15	2.63		570	98.79		7	1.21		577	0.70		413	72.46		157	27.54			
Annangrove	7	0.64		776	70.42		53	4.81		30	2.72		146	13.25		30	2.72		18	1.63		42	3.81		1102	94.67		62	5.33		1164	1.41		881	79.95		221	20.05			
Baulkham Hills	9	2.76		184	56.44		20	6.13		7	2.15		82	25.15		12	3.68		4	1.23		8	2.45		326	96.45		12	3.55		338	0.41		213	65.34		113	34.66			
Baulkham Hills High	24	1.73		781	56.19		76	5.47		53	3.81		383	27.55		28	2.01		10	0.72		35	2.52		1390	94.82		76	5.18		1466	1.77		895	64.39		495	35.61			
Baulkham Hills North	45	1.62		1644	59.26		178	6.42		110	3.97		616	22.21		53	1.91		13	0.47		115	4.15		2774	95.29		137	4.71		2911	3.52		1885	67.95		889	32.05			
Beaumont Hills	19	1.33		944	66.11		47	3.29		26	1.82		317	22.20		46	3.22		8	0.56		21	1.47		1428	96.75		48	3.25		1476	1.78		1048	73.39		380	26.61			
Castle Hill	46	1.23		2377	63.59		236	6.31		130	3.48		725	19.40		100	2.68		23	0.62		101	2.70		3738	94.68		210	5.32		3948	4.77		2698	72.18		1040	27.82			
Castle Hill East	10	0.80		839	66.85		65	5.18		39	3.11		249	19.84		17	1.35		13	1.04		23	1.83		1255	96.69		43	3.31		1298	1.57		922	73.47		333	26.53
Castle Hill High	31	1.26		1512	61.64		132	5.38		61	2.49		544	22.18		63	2.57		23	0.94		87	3.55		2453	96.35		93	3.65		2546	3.08		1734	70.69		719	29.31
Castle Hill West	17	0.80		1392	65.35		86	4.04		74	3.47		439	20.61		44	2.07		23	1.08		55	2.58		2130	94.96		113	5.04		2243	2.71		1548	72.68		582	27.32
Crestwood	28	1.59		1098	62.53		77	4.38		55	3.13		403	22.95		24	1.37		22	1.25		49	2.79		1756	95.54		82	4.46		1838	2.22		1227	69.87		529	30.13
Crestwood High	59	1.39		2601	61.32		198	4.67		80	1.89		1081	25.48		95	2.24		25	0.59		103	2.43		4242	95.48		201	4.52		4443	5.37		2918	68.79		1324	31.21
Dural (Mitchell)	20	2.47		570	70.28		30	3.70		49	6.04		94	11.59		12	1.48		7	0.86		29	3.58		811	94.63		46	5.37		857	1.04		651	80.27		160	19.73
Eurambie Park	17	0.72		1521	64.07		140	5.90		56	2.36		544	22.91		60	2.53		18	0.76		18	0.76		2374	95.80		104	4.20		2478	2.99		1674	70.51		700	29.49
Glenhaven	34	1.29		1926	73.04		91	3.45		86	3.26		362	13.73		53	2.01		31	1.18		54	2.05		2637	96.88		85	3.12		2722	3.29		2107	79.90		530	20.10
Hopetoun	2	0.49		322	78.73		9	2.20		8	1.96		55	13.45		5	1.22		2	0.49		6	1.47		409	94.02		26	5.98		435	0.53		337	82.40		72	17.60
Jasper Road	68	1.45		2789	59.28		233	4.95		171	3.63		1152	24.48		98	2.08		43	0.91		151	3.21		4705	95.53		220	4.47		4925	5.95		3177	67.52		1528	32.48
