Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Bradfield (89832)																																																																																	

		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Castle Cove		14	0.92		16	1.05		10	0.65		0	0.00		10	0.65		5	0.33		146	9.55		10	0.65		0	0.00		251	16.42		3	0.20		0	0.00		3	0.20		0	0.00		4	0.26		1	0.07		947	61.94		8	0.52		2	0.13		86	5.62		0	0.00		0	0.00		13	0.85		0	0.00		1529	97.39		41	2.61		1570	1.85
Chatswood (Bradfield)		47	2.27		47	2.27		90	4.34		1	0.05		23	1.11		4	0.19		199	9.59		13	0.63		6	0.29		593	28.58		8	0.39		1	0.05		7	0.34		1	0.05		2	0.10		1	0.05		902	43.47		14	0.67		5	0.24		95	4.58		2	0.10		2	0.10		9	0.43		3	0.14		2075	95.45		99	4.55		2174	2.56
Chatswood East (Bradfield)		25	2.66		5	0.53		6	0.64		0	0.00		11	1.17		2	0.21		94	10.00		10	1.06		1	0.11		250	26.60		6	0.64		0	0.00		4	0.43		0	0.00		1	0.11		0	0.00		465	49.47		4	0.43		0	0.00		54	5.74		0	0.00		0	0.00		2	0.21		0	0.00		940	96.51		34	3.49		974	1.15
Chatswood North		15	1.23		30	2.46		18	1.48		1	0.08		11	0.90		0	0.00		137	11.24		6	0.49		3	0.25		303	24.86		6	0.49		1	0.08		4	0.33		1	0.08		0	0.00		2	0.16		600	49.22		10	0.82		2	0.16		67	5.50		0	0.00		0	0.00		2	0.16		0	0.00		1219	97.75		28	2.25		1247	1.47
Chatswood South (Bradfield)		11	2.52		6	1.37		8	1.83		0	0.00		3	0.69		0	0.00		57	13.04		4	0.92		0	0.00		86	19.68		1	0.23		0	0.00		0	0.00		0	0.00		2	0.46		2	0.46		229	52.40		2	0.46		0	0.00		22	5.03		0	0.00		0	0.00		4	0.92		0	0.00		437	97.76		10	2.24		447	0.53
Chatswood West		34	1.62		23	1.09		74	3.52		0	0.00		26	1.24		2	0.10		216	10.27		26	1.24		1	0.05		550	26.14		17	0.81		1	0.05		7	0.33		0	0.00		2	0.10		0	0.00		944	44.87		9	0.43		4	0.19		161	7.65		0	0.00		1	0.05		3	0.14		3	0.14		2104	97.77		48	2.23		2152	2.53
Ferndale		25	2.66		20	2.13		0	0.00		0	0.00		5	0.53		1	0.11		111	11.82		8	0.85		1	0.11		195	20.77		2	0.21		0	0.00		2	0.21		0	0.00		1	0.11		1	0.11		501	53.35		2	0.21		4	0.43		58	6.18		0	0.00		0	0.00		2	0.21		0	0.00		939	97.51		24	2.49		963	1.13
Gordon		57	1.80		45	1.42		71	2.24		2	0.06		27	0.85		5	0.16		287	9.06		15	0.47		5	0.16		562	17.73		11	0.35		0	0.00		7	0.22		0	0.00		6	0.19		6	0.19		1789	56.45		20	0.63		11	0.35		226	7.13		1	0.03		1	0.03		11	0.35		4	0.13		3169	97.48		82	2.52		3251	3.82
