House of Representatives - 2001 Election: New South Wales																														
First Preference Votes and TCP 																														
By Candidate by Polling Place																														

Sydney (86143)																														
	# PLIBERSEK			HICKMAN			PETTETT			PARKER			FORMAL			INFORMAL			TOTAL											
	Tanya			Sydney			Jeff			Jamie												Two Candidate Preferred								
	ALP			DEM			LP			GRN												# PLIBERSEK ALP			 PETTETT LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Alexandria	704	47.28		158	10.61		426	28.61		201	13.50		1489	96.06		61	3.94		1550	2.00		1006	67.56		483	32.44				
Annandale North (Sydney)	511	39.28		175	13.45		358	27.52		257	19.75		1301	97.31		36	2.69		1337	1.72		860	66.10		441	33.90				
Bald Rock	160	40.61		38	9.64		117	29.70		79	20.05		394	96.81		13	3.19		407	0.52		260	65.99		134	34.01				
Balmain	797	38.21		237	11.36		702	33.65		350	16.78		2086	96.35		79	3.65		2165	2.79		1278	61.27		808	38.73				
Balmain East	334	36.58		91	9.97		300	32.86		188	20.59		913	96.61		32	3.39		945	1.22		558	61.12		355	38.88				
Balmain Hospital	140	40.70		30	8.72		130	37.79		44	12.79		344	98.29		6	1.71		350	0.45		200	58.14		144	41.86				
Barcom	270	42.93		69	10.97		200	31.80		90	14.31		629	97.22		18	2.78		647	0.83		400	63.59		229	36.41				
Beaconsfield	240	55.43		35	8.08		124	28.64		34	7.85		433	94.75		24	5.25		457	0.59		292	67.44		141	32.56
Birchgrove	765	38.64		216	10.91		684	34.55		315	15.91		1980	97.87		43	2.13		2023	2.61		1206	60.91		774	39.09
Blackfriars	261	44.16		85	14.38		144	24.37		101	17.09		591	96.10		24	3.90		615	0.79		408	69.04		183	30.96
Chippendale	439	47.05		129	13.83		153	16.40		212	22.72		933	96.78		31	3.22		964	1.24		727	77.92		206	22.08
Darlinghurst	106	40.00		27	10.19		99	37.36		33	12.45		265	97.79		6	2.21		271	0.35		154	58.11		111	41.89
Darlington	434	42.80		140	13.81		225	22.19		215	21.20		1014	95.84		44	4.16		1058	1.36		729	71.89		285	28.11
East Sydney	869	50.00		189	10.87		461	26.52		219	12.60		1738	93.24		126	6.76		1864	2.40		1211	69.68		527	30.32
Erskineville	1185	45.32		372	14.23		580	22.18		478	18.28		2615	96.92		83	3.08		2698	3.47		1914	73.19		701	26.81
Flinders	407	48.11		87	10.28		240	28.37		112	13.24		846	94.53		49	5.47		895	1.15		569	67.26		277	32.74
Forest Lodge	549	43.54		152	12.05		304	24.11		256	20.30		1261	97.15		37	2.85		1298	1.67		909	72.09		352	27.91
Gardeners Road	277	61.83		16	3.57		127	28.35		28	6.25		448	93.33		32	6.67		480	0.62		310	69.20		138	30.80
Gladstone Park	631	41.51		172	11.32		436	28.68		281	18.49		1520	96.45		56	3.55		1576	2.03		1014	66.71		506	33.29
Glebe	661	48.21		143	10.43		314	22.90		253	18.45		1371	96.01		57	3.99		1428	1.84		988	72.06		383	27.94
Glebe East	813	55.19		142	9.64		264	17.92		254	17.24		1473	95.09		76	4.91		1549	1.99		1136	77.12		337	22.88
Glebe North	406	44.03		115	12.47		244	26.46		157	17.03		922	97.15		27	2.85		949	1.22		620	67.25		302	32.75
Hyde Park	189	41.45		40	8.77		154	33.77		73	16.01		456	95.80		20	4.20		476	0.61		289	63.38		167	36.62
Kings Cross	895	44.68		243	12.13		531	26.51		334	16.67		2003	96.07		82	3.93		2085	2.69		1395	69.65		608	30.35
Lord Howe Island	72	34.12		21	9.95		99	46.92		19	9.00		211	98.14		4	1.86		215	0.28		102	48.34		109	51.66
Millers Point	428	49.42		57	6.58		309	35.68		72	8.31		866	95.80		38	4.20		904	1.16		538	62.12		328	37.88
Newtown East	204	43.87		63	13.55		75	16.13		123	26.45		465	97.28		13	2.72		478	0.62		374	80.43		91	19.57
