House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences																									
By Polling Place																									
																									
Warringah																									
				LAM			MACDONALD			HERAGHTY			ABBOTT			BURRIDGE			FERGUSON			KELLY			
				Keelah			Peter			Julie			Tony			Nina			Christine			David			
				GRN			IND			ALP			LP			DEM			NGST			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Allambie                                                       																									
	FIRST			13	2.24		162	27.88		80	13.77		284	48.88		14	2.41		4	0.69		24	4.13		581
	SECOND			1	25.00		1	25.00		1	25.00		1	25.00		0	0.00			Excluded		0	0.00		4
		TOTAL		14	2.41		163	28.06		81	13.94		285	49.05		14	2.41					24	4.13		581
	THIRD			3	12.50		5	20.83		7	29.17		8	33.33		1	4.17						Excluded		24
		TOTAL		17	2.93		168	28.92		88	15.15		293	50.43		15	2.58								581
	FOURTH			4	26.67		4	26.67		5	33.33		2	13.33			Excluded								15
		TOTAL		21	3.61		172	29.60		93	16.01		295	50.77											581
	FIFTH				Excluded		15	71.43		4	19.05		2	9.52											21
		TOTAL					187	32.19		97	16.70		297	51.12											581
	SIXTH						86	88.66			Excluded		11	11.34											97
		TOTAL					273	46.99					308	53.01											581
													Elected												
																									
Allambie Heights                                               																									
	FIRST			73	2.36		846	27.41		438	14.19		1542	49.95		81	2.62		19	0.62		88	2.85		3087
	SECOND			5	26.32		3	15.79		3	15.79		3	15.79		0	0.00			Excluded		5	26.32		19
		TOTAL		78	2.53		849	27.50		441	14.29		1545	50.05		81	2.62					93	3.01		3087
	THIRD			6	6.45		45	48.39		8	8.60		28	30.11		6	6.45						Excluded		93
		TOTAL		84	2.72		894	28.96		449	14.54		1573	50.96		87	2.82								3087
	FOURTH			18	20.69		40	45.98		16	18.39		13	14.94			Excluded								87
		TOTAL		102	3.30		934	30.26		465	15.06		1586	51.38											3087
	FIFTH				Excluded		58	56.86		24	23.53		20	19.61											102
		TOTAL					992	32.13		489	15.84		1606	52.02											3087
	SIXTH						441	90.18			Excluded		48	9.82											489
		TOTAL					1433	46.42					1654	53.58											3087
													Elected												
																									
Balgowlah                                                      																									
	FIRST			41	3.14		414	31.68		108	8.26		699	53.48		28	2.14		3	0.23		14	1.07		1307
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3
		TOTAL		42	3.21		414	31.68		108	8.26		699	53.48		28	2.14					16	1.22		1307
	THIRD			1	6.25		5	31.25		0	0.00		8	50.00		2	12.50						Excluded		16
		TOTAL		43	3.29		419	32.06		108	8.26		707	54.09		30	2.30								1307
	FOURTH			9	30.00		11	36.67		4	13.33		6	20.00			Excluded								30
		TOTAL		52	3.98		430	32.90		112	8.57		713	54.55											1307
	FIFTH				Excluded		33	63.46		11	21.15		8	15.38											52
		TOTAL					463	35.42		123	9.41		721	55.16											1307
	SIXTH						113	91.87			Excluded		10	8.13											123
		TOTAL					576	44.07					731	55.93											1307
													Elected												
																									
Balgowlah Heights                                              																									
	FIRST			64	2.58		703	28.36		95	3.83		1550	62.53		39	1.57		6	0.24		22	0.89		2479
	SECOND			2	33.33		0	0.00		2	33.33		0	0.00		1	16.67			Excluded		1	16.67		6
		TOTAL		66	2.66		703	28.36		97	3.91		1550	62.53		40	1.61					23	0.93		2479
	THIRD			3	13.04		9	39.13		3	13.04		7	30.43		1	4.35						Excluded		23
		TOTAL		69	2.78		712	28.72		100	4.03		1557	62.81		41	1.65								2479
	FOURTH			9	21.95		18	43.90		6	14.63		8	19.51			Excluded								41
		TOTAL		78	3.15		730	29.45		106	4.28		1565	63.13											2479
	FIFTH				Excluded		52	66.67		11	14.10		15	19.23											78
		TOTAL					782	31.54		117	4.72		1580	63.74											2479
	SIXTH						99	84.62			Excluded		18	15.38											117
		TOTAL					881	35.54					1598	64.46											2479
													Elected												
																									
Balmoral                                                       																									
	FIRST			18	1.77		324	31.92		53	5.22		595	58.62		19	1.87		1	0.10		5	0.49		1015
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		18	1.77		324	31.92		54	5.32		595	58.62		19	1.87					5	0.49		1015
	THIRD			0	0.00		0	0.00		0	0.00		5	100.00		0	0.00						Excluded		5
		TOTAL		18	1.77		324	31.92		54	5.32		600	59.11		19	1.87								1015
	FOURTH			3	15.79		11	57.89		1	5.26		4	21.05			Excluded								19
		TOTAL		21	2.07		335	33.00		55	5.42		604	59.51											1015
	FIFTH				Excluded		14	66.67		4	19.05		3	14.29											21
		TOTAL					349	34.38		59	5.81		607	59.80											1015
	SIXTH						49	83.05			Excluded		10	16.95											59
		TOTAL					398	39.21					617	60.79											1015
													Elected												
																									
Beacon Hill (Warringah)                                        																									
	FIRST			38	3.47		255	23.27		165	15.05		566	51.64		31	2.83		13	1.19		28	2.55		1096
	SECOND			5	38.46		1	7.69		0	0.00		4	30.77		0	0.00			Excluded		3	23.08		13
		TOTAL		43	3.92		256	23.36		165	15.05		570	52.01		31	2.83					31	2.83		1096
	THIRD			4	12.90		10	32.26		3	9.68		13	41.94		1	3.23						Excluded		31
		TOTAL		47	4.29		266	24.27		168	15.33		583	53.19		32	2.92								1096
	FOURTH			7	21.88		14	43.75		6	18.75		5	15.63			Excluded								32
		TOTAL		54	4.93		280	25.55		174	15.88		588	53.65											1096
	FIFTH				Excluded		37	68.52		6	11.11		11	20.37											54
		TOTAL					317	28.92		180	16.42		599	54.65											1096
	SIXTH						150	83.33			Excluded		30	16.67											180
		TOTAL					467	42.61					629	57.39											1096
													Elected												
																									
Beauty Point                                                   																									
	FIRST			41	3.47		272	23.05		81	6.86		745	63.14		25	2.12		4	0.34		12	1.02		1180
	SECOND			2	50.00		1	25.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		4
		TOTAL		43	3.64		273	23.14		81	6.86		745	63.14		26	2.20					12	1.02		1180
	THIRD			3	25.00		3	25.00		1	8.33		5	41.67		0	0.00						Excluded		12
		TOTAL		46	3.90		276	23.39		82	6.95		750	63.56		26	2.20								1180
	FOURTH			6	23.08		15	57.69		2	7.69		3	11.54			Excluded								26
		TOTAL		52	4.41		291	24.66		84	7.12		753	63.81											1180
	FIFTH				Excluded		37	71.15		9	17.31		6	11.54											52
		TOTAL					328	27.80		93	7.88		759	64.32											1180
	SIXTH						76	81.72			Excluded		17	18.28											93
		TOTAL					404	34.24					776	65.76											1180
													Elected												
																									
Brookvale                                                      																									
	FIRST			73	4.62		347	21.95		280	17.71		783	49.53		40	2.53		10	0.63		48	3.04		1581
	SECOND			1	10.00		1	10.00		0	0.00		1	10.00		3	30.00			Excluded		4	40.00		10
		TOTAL		74	4.68		348	22.01		280	17.71		784	49.59		43	2.72					52	3.29		1581
	THIRD			4	7.69		21	40.38		3	5.77		15	28.85		9	17.31						Excluded		52
		TOTAL		78	4.93		369	23.34		283	17.90		799	50.54		52	3.29								1581
	FOURTH			13	25.00		21	40.38		7	13.46		11	21.15			Excluded								52
		TOTAL		91	5.76		390	24.67		290	18.34		810	51.23											1581
	FIFTH				Excluded		64	70.33		15	16.48		12	13.19											91
		TOTAL					454	28.72		305	19.29		822	51.99											1581
	SIXTH						260	85.25			Excluded		45	14.75											305
		TOTAL					714	45.16					867	54.84											1581
													Elected												
																									
Cremorne South (Warringah)                                     																									
	FIRST			5	1.31		121	31.59		32	8.36		218	56.92		6	1.57		0	0.00		1	0.26		383
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		5	1.31		121	31.59		32	8.36		218	56.92		6	1.57					1	0.26		383
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00						Excluded		1
		TOTAL		5	1.31		121	31.59		32	8.36		219	57.18		6	1.57								383
	FOURTH			2	33.33		1	16.67		1	16.67		2	33.33			Excluded								6
		TOTAL		7	1.83		122	31.85		33	8.62		221	57.70											383
	FIFTH				Excluded		3	42.86		2	28.57		2	28.57											7
		TOTAL					125	32.64		35	9.14		223	58.22											383
	SIXTH						31	88.57			Excluded		4	11.43											35
		TOTAL					156	40.73					227	59.27											383
													Elected												
																									
Curl Curl                                                      																									
	FIRST			89	3.52		867	34.28		329	13.01		1122	44.37		54	2.14		12	0.47		56	2.21		2529
	SECOND			3	25.00		2	16.67		1	8.33		3	25.00		1	8.33			Excluded		2	16.67		12
		TOTAL		92	3.64		869	34.36		330	13.05		1125	44.48		55	2.17					58	2.29		2529
	THIRD			5	8.62		31	53.45		2	3.45		14	24.14		6	10.34						Excluded		58
		TOTAL		97	3.84		900	35.59		332	13.13		1139	45.04		61	2.41								2529
	FOURTH			20	32.79		25	40.98		11	18.03		5	8.20			Excluded								61
		TOTAL		117	4.63		925	36.58		343	13.56		1144	45.24											2529
	FIFTH				Excluded		77	65.81		24	20.51		16	13.68											117
		TOTAL					1002	39.62		367	14.51		1160	45.87											2529
	SIXTH						321	87.47			Excluded		46	12.53											367
		TOTAL					1323	52.31					1206	47.69											2529
													Elected												
																									
Dee Why (Warringah)                                            																									
	FIRST			32	7.58		95	22.51		83	19.67		173	41.00		20	4.74		8	1.90		11	2.61		422
	SECOND			4	50.00		1	12.50		3	37.50		0	0.00		0	0.00			Excluded		0	0.00		8
		TOTAL		36	8.53		96	22.75		86	20.38		173	41.00		20	4.74					11	2.61		422
	THIRD			3	27.27		2	18.18		0	0.00		5	45.45		1	9.09						Excluded		11
		TOTAL		39	9.24		98	23.22		86	20.38		178	42.18		21	4.98								422
	FOURTH			7	33.33		10	47.62		2	9.52		2	9.52			Excluded								21
		TOTAL		46	10.90		108	25.59		88	20.85		180	42.65											422
	FIFTH				Excluded		30	65.22		7	15.22		9	19.57											46
		TOTAL					138	32.70		95	22.51		189	44.79											422
	SIXTH						71	74.74			Excluded		24	25.26											95
		TOTAL					209	49.53					213	50.47											422
													Elected												
																									
Dee Why Central (Warringah)                                    																									
	FIRST			97	6.00		314	19.42		402	24.86		683	42.24		56	3.46		18	1.11		47	2.91		1617
	SECOND			1	5.56		0	0.00		2	11.11		4	22.22		6	33.33			Excluded		5	27.78		18
		TOTAL		98	6.06		314	19.42		404	24.98		687	42.49		62	3.83					52	3.22		1617
	THIRD			9	17.31		16	30.77		7	13.46		17	32.69		3	5.77						Excluded		52
		TOTAL		107	6.62		330	20.41		411	25.42		704	43.54		65	4.02								1617
	FOURTH			19	29.23		18	27.69		14	21.54		14	21.54			Excluded								65
		TOTAL		126	7.79		348	21.52		425	26.28		718	44.40											1617
	FIFTH				Excluded		85	67.46		30	23.81		11	8.73											126
		TOTAL					433	26.78		455	28.14		729	45.08											1617
	SIXTH						382	83.96			Excluded		73	16.04											455
		TOTAL					815	50.40					802	49.60											1617
													Elected												
																									
Dee Why East                                                   																									
	FIRST			93	4.82		363	18.80		387	20.04		956	49.51		62	3.21		18	0.93		52	2.69		1931
	SECOND			4	22.22		3	16.67		4	22.22		2	11.11		3	16.67			Excluded		2	11.11		18
		TOTAL		97	5.02		366	18.95		391	20.25		958	49.61		65	3.37					54	2.80		1931
	THIRD			17	31.48		15	27.78		2	3.70		18	33.33		2	3.70						Excluded		54
		TOTAL		114	5.90		381	19.73		393	20.35		976	50.54		67	3.47								1931
	FOURTH			25	37.31		18	26.87		13	19.40		11	16.42			Excluded								67
		TOTAL		139	7.20		399	20.66		406	21.03		987	51.11											1931
	FIFTH				Excluded		80	57.55		36	25.90		23	16.55											139
		TOTAL					479	24.81		442	22.89		1010	52.30											1931
	SIXTH						387	87.56			Excluded		55	12.44											442
		TOTAL					866	44.85					1065	55.15											1931
													Elected												
																									
Fairlight                                                      																									
	FIRST			45	3.10		457	31.47		116	7.99		774	53.31		30	2.07		7	0.48		23	1.58		1452
	SECOND			0	0.00		0	0.00		1	14.29		3	42.86		0	0.00			Excluded		3	42.86		7
		TOTAL		45	3.10		457	31.47		117	8.06		777	53.51		30	2.07					26	1.79		1452
	THIRD			3	11.54		10	38.46		2	7.69		8	30.77		3	11.54						Excluded		26
		TOTAL		48	3.31		467	32.16		119	8.20		785	54.06		33	2.27								1452
	FOURTH			10	30.30		14	42.42		2	6.06		7	21.21			Excluded								33
		TOTAL		58	3.99		481	33.13		121	8.33		792	54.55											1452
	FIFTH				Excluded		35	60.34		10	17.24		13	22.41											58
		TOTAL					516	35.54		131	9.02		805	55.44											1452
	SIXTH						113	86.26			Excluded		18	13.74											131
		TOTAL					629	43.32					823	56.68											1452
													Elected												
																									
Forestville                                                    																									
	FIRST			110	3.21		735	21.48		489	14.29		1912	55.87		85	2.48		16	0.47		75	2.19		3422
	SECOND			2	12.50		6	37.50		1	6.25		5	31.25		0	0.00			Excluded		2	12.50		16
		TOTAL		112	3.27		741	21.65		490	14.32		1917	56.02		85	2.48					77	2.25		3422
	THIRD			7	9.09		28	36.36		8	10.39		30	38.96		4	5.19						Excluded		77
		TOTAL		119	3.48		769	22.47		498	14.55		1947	56.90		89	2.60								3422
	FOURTH			20	22.47		35	39.33		14	15.73		20	22.47			Excluded								89
		TOTAL		139	4.06		804	23.50		512	14.96		1967	57.48											3422
	FIFTH				Excluded		91	65.47		25	17.99		23	16.55											139
		TOTAL					895	26.15		537	15.69		1990	58.15											3422
	SIXTH						456	84.92			Excluded		81	15.08											537
		TOTAL					1351	39.48					2071	60.52											3422
													Elected												
																									
Forestville East                                               																									
	FIRST			30	2.78		251	23.26		135	12.51		602	55.79		27	2.50		7	0.65		27	2.50		1079
	SECOND			1	14.29		0	0.00		1	14.29		2	28.57		0	0.00			Excluded		3	42.86		7
		TOTAL		31	2.87		251	23.26		136	12.60		604	55.98		27	2.50					30	2.78		1079
	THIRD			4	13.33		5	16.67		3	10.00		14	46.67		4	13.33						Excluded		30
		TOTAL		35	3.24		256	23.73		139	12.88		618	57.28		31	2.87								1079
	FOURTH			5	16.13		12	38.71		4	12.90		10	32.26			Excluded								31
		TOTAL		40	3.71		268	24.84		143	13.25		628	58.20											1079
	FIFTH				Excluded		25	62.50		9	22.50		6	15.00											40
		TOTAL					293	27.15		152	14.09		634	58.76											1079
	SIXTH						126	82.89			Excluded		26	17.11											152
		TOTAL					419	38.83					660	61.17											1079
													Elected												
																									
Frenchs Forest (Warringah)                                     																									
	FIRST			28	2.33		298	24.83		134	11.17		680	56.67		29	2.42		12	1.00		19	1.58		1200
	SECOND			2	16.67		4	33.33		1	8.33		1	8.33		1	8.33			Excluded		3	25.00		12
		TOTAL		30	2.50		302	25.17		135	11.25		681	56.75		30	2.50					22	1.83		1200
	THIRD			2	9.09		6	27.27		2	9.09		10	45.45		2	9.09						Excluded		22
		TOTAL		32	2.67		308	25.67		137	11.42		691	57.58		32	2.67								1200
	FOURTH			7	21.88		14	43.75		2	6.25		9	28.13			Excluded								32
		TOTAL		39	3.25		322	26.83		139	11.58		700	58.33											1200
	FIFTH				Excluded		23	58.97		9	23.08		7	17.95											39
		TOTAL					345	28.75		148	12.33		707	58.92											1200
	SIXTH						126	85.14			Excluded		22	14.86											148
		TOTAL					471	39.25					729	60.75											1200
													Elected												
																									
Freshwater                                                     																									
	FIRST			45	5.06		287	32.28		101	11.36		412	46.34		25	2.81		7	0.79		12	1.35		889
	SECOND			2	28.57		0	0.00		0	0.00		2	28.57		2	28.57			Excluded		1	14.29		7
		TOTAL		47	5.29		287	32.28		101	11.36		414	46.57		27	3.04					13	1.46		889
	THIRD			1	7.69		2	15.38		0	0.00		9	69.23		1	7.69						Excluded		13
		TOTAL		48	5.40		289	32.51		101	11.36		423	47.58		28	3.15								889
	FOURTH			6	21.43		14	50.00		5	17.86		3	10.71			Excluded								28
		TOTAL		54	6.07		303	34.08		106	11.92		426	47.92											889
	FIFTH				Excluded		35	64.81		9	16.67		10	18.52											54
		TOTAL					338	38.02		115	12.94		436	49.04											889
	SIXTH						100	86.96			Excluded		15	13.04											115
		TOTAL					438	49.27					451	50.73											889
													Elected												
																									
Harbord                                                        																									
	FIRST			103	3.89		845	31.90		386	14.57		1158	43.71		77	2.91		8	0.30		72	2.72		2649
	SECOND			2	25.00		1	12.50		0	0.00		1	12.50		2	25.00			Excluded		2	25.00		8
		TOTAL		105	3.96		846	31.94		386	14.57		1159	43.75		79	2.98					74	2.79		2649
	THIRD			8	10.81		37	50.00		4	5.41		17	22.97		8	10.81						Excluded		74
		TOTAL		113	4.27		883	33.33		390	14.72		1176	44.39		87	3.28								2649
	FOURTH			23	26.44		42	48.28		8	9.20		14	16.09			Excluded								87
		TOTAL		136	5.13		925	34.92		398	15.02		1190	44.92											2649
	FIFTH				Excluded		87	63.97		28	20.59		21	15.44											136
		TOTAL					1012	38.20		426	16.08		1211	45.72											2649
	SIXTH						366	85.92			Excluded		60	14.08											426
		TOTAL					1378	52.02					1271	47.98											2649
													Elected												
																									
Killarney Heights                                              																									
	FIRST			37	1.93		452	23.52		205	10.67		1151	59.89		42	2.19		15	0.78		20	1.04		1922
	SECOND			6	40.00		4	26.67		0	0.00		3	20.00		1	6.67			Excluded		1	6.67		15
		TOTAL		43	2.24		456	23.73		205	10.67		1154	60.04		43	2.24					21	1.09		1922
	THIRD			2	9.52		5	23.81		1	4.76		12	57.14		1	4.76						Excluded		21
		TOTAL		45	2.34		461	23.99		206	10.72		1166	60.67		44	2.29								1922
	FOURTH			13	29.55		12	27.27		6	13.64		13	29.55			Excluded								44
		TOTAL		58	3.02		473	24.61		212	11.03		1179	61.34											1922
	FIFTH				Excluded		31	53.45		16	27.59		11	18.97											58
		TOTAL					504	26.22		228	11.86		1190	61.91											1922
	SIXTH						179	78.51			Excluded		49	21.49											228
		TOTAL					683	35.54					1239	64.46											1922
													Elected												
																									
Manly                                                          																									
	FIRST			203	5.35		1221	32.19		508	13.39		1692	44.61		107	2.82		23	0.61		39	1.03		3793
	SECOND			6	26.09		4	17.39		3	13.04		2	8.70		2	8.70			Excluded		6	26.09		23
		TOTAL		209	5.51		1225	32.30		511	13.47		1694	44.66		109	2.87					45	1.19		3793
	THIRD			2	4.44		14	31.11		3	6.67		19	42.22		7	15.56						Excluded		45
		TOTAL		211	5.56		1239	32.67		514	13.55		1713	45.16		116	3.06								3793
	FOURTH			36	31.03		43	37.07		11	9.48		26	22.41			Excluded								116
		TOTAL		247	6.51		1282	33.80		525	13.84		1739	45.85											3793
	FIFTH				Excluded		161	65.18		61	24.70		25	10.12											247
		TOTAL					1443	38.04		586	15.45		1764	46.51											3793
	SIXTH						516	88.05			Excluded		70	11.95											586
		TOTAL					1959	51.65					1834	48.35											3793
													Elected												
																									
Manly Central                                                  																									
	FIRST			45	5.83		295	38.21		61	7.90		348	45.08		12	1.55		2	0.26		9	1.17		772
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2
		TOTAL		45	5.83		295	38.21		62	8.03		349	45.21		12	1.55					9	1.17		772
	THIRD			2	22.22		4	44.44		0	0.00		2	22.22		1	11.11						Excluded		9
		TOTAL		47	6.09		299	38.73		62	8.03		351	45.47		13	1.68								772
	FOURTH			1	7.69		5	38.46		2	15.38		5	38.46			Excluded								13
		TOTAL		48	6.22		304	39.38		64	8.29		356	46.11											772
	FIFTH				Excluded		35	72.92		4	8.33		9	18.75											48
		TOTAL					339	43.91		68	8.81		365	47.28											772
	SIXTH						64	94.12			Excluded		4	5.88											68
		TOTAL					403	52.20					369	47.80											772
													Elected												
																									
Manly Hospital                                                 																									
	FIRST			13	3.50		114	30.73		28	7.55		199	53.64		6	1.62		1	0.27		10	2.70		371
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		13	3.50		114	30.73		28	7.55		199	53.64		6	1.62					11	2.96		371
	THIRD			3	27.27		4	36.36		0	0.00		4	36.36		0	0.00						Excluded		11
		TOTAL		16	4.31		118	31.81		28	7.55		203	54.72		6	1.62								371
	FOURTH			0	0.00		5	83.33		1	16.67		0	0.00			Excluded								6
		TOTAL		16	4.31		123	33.15		29	7.82		203	54.72											371
	FIFTH				Excluded		8	50.00		5	31.25		3	18.75											16
		TOTAL					131	35.31		34	9.16		206	55.53											371
	SIXTH						23	67.65			Excluded		11	32.35											34
		TOTAL					154	41.51					217	58.49											371
													Elected												
																									
Manly Vale                                                     																									
	FIRST			86	3.49		749	30.43		430	17.47		1065	43.28		69	2.80		18	0.73		44	1.79		2461
	SECOND			2	11.11		2	11.11		1	5.56		2	11.11		4	22.22			Excluded		7	38.89		18
		TOTAL		88	3.58		751	30.52		431	17.51		1067	43.36		73	2.97					51	2.07		2461
	THIRD			9	17.65		17	33.33		4	7.84		15	29.41		6	11.76						Excluded		51
		TOTAL		97	3.94		768	31.21		435	17.68		1082	43.97		79	3.21								2461
	FOURTH			25	31.65		29	36.71		14	17.72		11	13.92			Excluded								79
		TOTAL		122	4.96		797	32.39		449	18.24		1093	44.41											2461
	FIFTH				Excluded		82	67.21		21	17.21		19	15.57											122
		TOTAL					879	35.72		470	19.10		1112	45.18											2461
	SIXTH						407	86.60			Excluded		63	13.40											470
		TOTAL					1286	52.26					1175	47.74											2461
													Elected												
																									
Manly West                                                     																									
