House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Watson (81961)											
		Candidate		"MCLEAY, Leo"		                	"PLOOY, Arnold"		              	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Bardwell Park										
			1st Prefs	429	49.88		431	50.12		860	
		"NAM, Ken (UNI)"	28	21	75.00		7	25.00		28	
		"GRIFFITHS, Kristin (DEM)"	49	36	73.47		13	26.53		49	
		"POULSEN, Ronald ()"	6	3	50.00		3	50.00		6	
		"FITZSIMMONS, Dominic (GRN)"	34	21	61.76		13	38.24		34	
		"FARRELL, Michelle (HAN)"	25	8	32.00		17	68.00		25	
		Total	142	518	51.70		484	48.30		1002	

	Belmore Central										
			1st Prefs	730	76.68		222	23.32		952	
		"NAM, Ken (UNI)"	68	63	92.65		5	7.35		68	
		"GRIFFITHS, Kristin (DEM)"	38	24	63.16		14	36.84		38	
		"POULSEN, Ronald ()"	2	2	100.00		0	0.00		2	
		"FITZSIMMONS, Dominic (GRN)"	28	15	53.57		13	46.43		28	
		"FARRELL, Michelle (HAN)"	36	9	25.00		27	75.00		36	
		Total	172	843	75.00		281	25.00		1124	

	Belmore North										
			1st Prefs	1620	79.30		423	20.70		2043	
		"NAM, Ken (UNI)"	126	113	89.68		13	10.32		126	
		"GRIFFITHS, Kristin (DEM)"	106	73	68.87		33	31.13		106	
		"POULSEN, Ronald ()"	10	5	50.00		5	50.00		10	
		"FITZSIMMONS, Dominic (GRN)"	67	53	79.10		14	20.90		67	
		"FARRELL, Michelle (HAN)"	56	25	44.64		31	55.36		56	
		Total	365	1889	78.45		519	21.55		2408	

	Belmore South										
			1st Prefs	1393	72.48		529	27.52		1922	
		"NAM, Ken (UNI)"	77	72	93.51		5	6.49		77	
		"GRIFFITHS, Kristin (DEM)"	79	56	70.89		23	29.11		79	
		"POULSEN, Ronald ()"	7	5	71.43		2	28.57		7	
		"FITZSIMMONS, Dominic (GRN)"	42	32	76.19		10	23.81		42	
		"FARRELL, Michelle (HAN)"	55	27	49.09		28	50.91		55	
		Total	260	1585	72.64		597	27.36		2182	

	Beverly Hills										
			1st Prefs	511	55.06		417	44.94		928	
		"NAM, Ken (UNI)"	31	26	83.87		5	16.13		31	
		"GRIFFITHS, Kristin (DEM)"	29	22	75.86		7	24.14		29	
		"POULSEN, Ronald ()"	1	1	100.00		0	0.00		1	
		"FITZSIMMONS, Dominic (GRN)"	29	18	62.07		11	37.93		29	
		"FARRELL, Michelle (HAN)"	41	14	34.15		27	65.85		41	
		Total	131	592	55.90		467	44.10		1059	

	Beverly Hills South (Watson)										
			1st Prefs	393	60.55		256	39.45		649	
		"NAM, Ken (UNI)"	27	23	85.19		4	14.81		27	
		"GRIFFITHS, Kristin (DEM)"	27	22	81.48		5	18.52		27	
		"POULSEN, Ronald ()"	1	0	0.00		1	100.00		1	
		"FITZSIMMONS, Dominic (GRN)"	16	11	68.75		5	31.25		16	
		"FARRELL, Michelle (HAN)"	28	11	39.29		17	60.71		28	
		Total	99	460	61.50		288	38.50		748	

	Bexley North										
			1st Prefs	523	54.31		440	45.69		963	
		"NAM, Ken (UNI)"	32	28	87.50		4	12.50		32	
		"GRIFFITHS, Kristin (DEM)"	43	35	81.40		8	18.60		43	
		"POULSEN, Ronald ()"	4	2	50.00		2	50.00		4	
