House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Riverina (87399)											
					"ALBISTON, "			"HULL,"			
		Candidate		                  	Andrew		           	Kay		Total	
				                           	CLR		                        	NP			
				                           	Votes	%	                     	Votes	%		
	Adjungbilly										
			1st Prefs		13	28.26		33	71.74	46	
		"RICHTER, Dennis (IND)"	1		0	0.00		1	100.00	1	
		"TURNER, Neil (HAN)"	4		0	0.00		4	100.00	4	
		"GRAHAM, Rex (DEM)"	0		0	0.00		0	0.00	0	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	2		2	100.00		0	0.00	2	
		Total	7		15	28.30		38	71.70	53	

	Ardlethan										
			1st Prefs		70	21.34		258	78.66	328	
		"RICHTER, Dennis (IND)"	13		7	53.85		6	46.15	13	
		"TURNER, Neil (HAN)"	21		10	47.62		11	52.38	21	
		"GRAHAM, Rex (DEM)"	3		1	33.33		2	66.67	3	
		"DANCEY, Russell Francis (CTA)"	3		0	0.00		3	100.00	3	
		"MOORE, Catherine (GRN)"	2		1	50.00		1	50.00	2	
		Total	42		89	24.05		281	75.95	370	

	Ariah Park										
			1st Prefs		35	10.94		285	89.06	320	
		"RICHTER, Dennis (IND)"	10		6	60.00		4	40.00	10	
		"TURNER, Neil (HAN)"	20		7	35.00		13	65.00	20	
		"GRAHAM, Rex (DEM)"	1		1	100.00		0	0.00	1	
		"DANCEY, Russell Francis (CTA)"	13		2	15.38		11	84.62	13	
		"MOORE, Catherine (GRN)"	4		1	25.00		3	75.00	4	
		Total	48		52	14.13		316	85.87	368	

	Ashmont										
			1st Prefs		603	37.20		1018	62.80	1621	
		"RICHTER, Dennis (IND)"	58		33	56.90		25	43.10	58	
		"TURNER, Neil (HAN)"	134		52	38.81		82	61.19	134	
		"GRAHAM, Rex (DEM)"	59		35	59.32		24	40.68	59	
		"DANCEY, Russell Francis (CTA)"	38		8	21.05		30	78.95	38	
		"MOORE, Catherine (GRN)"	63		30	47.62		33	52.38	63	
		Total	352		761	38.57		1212	61.43	1973	

	Barellan										
			1st Prefs		38	11.73		286	88.27	324	
		"RICHTER, Dennis (IND)"	5		3	60.00		2	40.00	5	
		"TURNER, Neil (HAN)"	28		7	25.00		21	75.00	28	
		"GRAHAM, Rex (DEM)"	1		1	100.00		0	0.00	1	
		"DANCEY, Russell Francis (CTA)"	1		0	0.00		1	100.00	1	
		"MOORE, Catherine (GRN)"	2		0	0.00		2	100.00	2	
		Total	37		49	13.57		312	86.43	361	

	Beckom										
			1st Prefs		3	4.69		61	95.31	64	
		"RICHTER, Dennis (IND)"	0		0	0.00		0	0.00	0	
		"TURNER, Neil (HAN)"	6		0	0.00		6	100.00	6	
		"GRAHAM, Rex (DEM)"	0		0	0.00		0	0.00	0	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	0		0	0.00		0	0.00	0	
		Total	6		3	4.29		67	95.71	70	

	Beelbangera										
			1st Prefs		68	22.90		229	77.10	297	
		"RICHTER, Dennis (IND)"	8		3	37.50		5	62.50	8	
		"TURNER, Neil (HAN)"	23		10	43.48		13	56.52	23	
		"GRAHAM, Rex (DEM)"	6		1	16.67		5	83.33	6	
		"DANCEY, Russell Francis (CTA)"	1		1	100.00		0	0.00	1	
		"MOORE, Catherine (GRN)"	5		3	60.00		2	40.00	5	
		Total	43		86	25.29		254	74.71	340	

	Bethungra										
			1st Prefs		18	18.56		79	81.44	97	
		"RICHTER, Dennis (IND)"	2		1	50.00		1	50.00	2	
		"TURNER, Neil (HAN)"	9		3	33.33		6	66.67	9	
		"GRAHAM, Rex (DEM)"	8		2	25.00		6	75.00	8	
		"DANCEY, Russell Francis (CTA)"	2		0	0.00		2	100.00	2	
		"MOORE, Catherine (GRN)"	5		2	40.00		3	60.00	5	
		Total	26		26	21.14		97	78.86	123	

	Bilbul										
			1st Prefs		35	21.21		130	78.79	165	
		"RICHTER, Dennis (IND)"	5		3	60.00		2	40.00	5	
		"TURNER, Neil (HAN)"	15		8	53.33		7	46.67	15	
		"GRAHAM, Rex (DEM)"	3		2	66.67		1	33.33	3	
		"DANCEY, Russell Francis (CTA)"	3		0	0.00		3	100.00	3	
		"MOORE, Catherine (GRN)"	1		1	100.00		0	0.00	1	
		Total	27		49	25.52		143	74.48	192	

	Binya										
			1st Prefs		5	6.25		75	93.75	80	
		"RICHTER, Dennis (IND)"	1		0	0.00		1	100.00	1	
		"TURNER, Neil (HAN)"	5		1	20.00		4	80.00	5	
		"GRAHAM, Rex (DEM)"	1		1	100.00		0	0.00	1	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	4		1	25.00		3	75.00	4	
		Total	11		8	8.79		83	91.21	91	

	Booligal										
			1st Prefs		8	18.60		35	81.40	43	
		"RICHTER, Dennis (IND)"	0		0	0.00		0	0.00	0	
		"TURNER, Neil (HAN)"	6		3	50.00		3	50.00	6	
		"GRAHAM, Rex (DEM)"	1		0	0.00		1	100.00	1	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	0		0	0.00		0	0.00	0	
		Total	7		11	22.00		39	78.00	50	

	Carrathool										
			1st Prefs		11	15.49		60	84.51	71	
		"RICHTER, Dennis (IND)"	1		1	100.00		0	0.00	1	
		"TURNER, Neil (HAN)"	9		3	33.33		6	66.67	9	
		"GRAHAM, Rex (DEM)"	3		3	100.00		0	0.00	3	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	0		0	0.00		0	0.00	0	
		Total	13		18	21.43		66	78.57	84	

	Charles Sturt University										
			1st Prefs		39	31.20		86	68.80	125	
		"RICHTER, Dennis (IND)"	5		2	40.00		3	60.00	5	
		"TURNER, Neil (HAN)"	10		2	20.00		8	80.00	10	
		"GRAHAM, Rex (DEM)"	10		4	40.00		6	60.00	10	
		"DANCEY, Russell Francis (CTA)"	12		3	25.00		9	75.00	12	
		"MOORE, Catherine (GRN)"	11		8	72.73		3	27.27	11	
		Total	48		58	33.53		115	66.47	173	

	Coleambally										
			1st Prefs		73	13.39		472	86.61	545	
		"RICHTER, Dennis (IND)"	2		1	50.00		1	50.00	2	
		"TURNER, Neil (HAN)"	31		4	12.90		27	87.10	31	
		"GRAHAM, Rex (DEM)"	9		4	44.44		5	55.56	9	
		"DANCEY, Russell Francis (CTA)"	4		0	0.00		4	100.00	4	
		"MOORE, Catherine (GRN)"	3		2	66.67		1	33.33	3	
		Total	49		84	14.14		510	85.86	594	

	Collingullie										
			1st Prefs		29	16.48		147	83.52	176	
		"RICHTER, Dennis (IND)"	2		0	0.00		2	100.00	2	
		"TURNER, Neil (HAN)"	8		1	12.50		7	87.50	8	
		"GRAHAM, Rex (DEM)"	4		3	75.00		1	25.00	4	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	3		0	0.00		3	100.00	3	
		Total	17		33	17.10		160	82.90	193	

	Coolac										
