House of Representatives - 2001 Election: New South Wales																																																																								
Two Candidate Preferred Preference Flow Result																																																																								
By Polling Place																																																																								
																																																																								
Barton (84752)																																																																								
		Candidate		                  	"BRENNAN, Jan"		               	"MCCLELLAND, Robert"		         	Exhausted		Total																																																											
				                           	LP		                         	ALP		                        																																																														
				                           	Votes	%	                     	Votes	%	                     	Votes																																																													
	Allawah																																																																							
			1st Prefs		428	36.83		734	63.17		                      		1162																																																											
		"LAU, John (UNI)"	87		40	45.98		47	54.02		0		87																																																											
		"RYDSTRAND, David (HAN)"	45		31	68.89		14	31.11		0		45																																																											
		"HARRIS, Chris (GRN)"	34		4	11.76		30	88.24		0		34																																																											
		"BARKER, David (CTA)"	33		25	75.76		8	24.24		0		33																																																											
		"ADAIR, Michele (DEM)"	65		18	27.69		47	72.31		0		65																																																											
		Total	264		546	38.29		880	61.71		0		1426																																																											

	Allawah South																																																																							
			1st Prefs		350	41.37		496	58.63		                      		846																																																											
		"LAU, John (UNI)"	38		14	36.84		24	63.16		0		38																																																											
		"RYDSTRAND, David (HAN)"	27		18	66.67		9	33.33		0		27																																																											
		"HARRIS, Chris (GRN)"	30		12	40.00		18	60.00		0		30																																																											
		"BARKER, David (CTA)"	7		5	71.43		2	28.57		0		7																																																											
		"ADAIR, Michele (DEM)"	36		13	36.11		23	63.89		0		36																																																											
		Total	138		412	41.87		572	58.13		0		984																																																											

	Arncliffe																																																																							
			1st Prefs		320	28.29		811	71.71		                      		1131																																																											
		"LAU, John (UNI)"	43		11	25.58		32	74.42		0		43																																																											
		"RYDSTRAND, David (HAN)"	39		27	69.23		12	30.77		0		39																																																											
		"HARRIS, Chris (GRN)"	46		11	23.91		35	76.09		0		46																																																											
		"BARKER, David (CTA)"	8		5	62.50		3	37.50		0		8																																																											
		"ADAIR, Michele (DEM)"	46		15	32.61		31	67.39		0		46																																																											
		Total	182		389	29.63		924	70.37		0		1313																																																											

	Athelstane																																																																							
			1st Prefs		616	28.33		1558	71.67		                      		2174																																																											
		"LAU, John (UNI)"	27		9	33.33		18	66.67		0		27																																																											
		"RYDSTRAND, David (HAN)"	82		61	74.39		21	25.61		0		82																																																											
		"HARRIS, Chris (GRN)"	101		26	25.74		75	74.26		0		101																																																											
		"BARKER, David (CTA)"	23		15	65.22		8	34.78		0		23																																																											
		"ADAIR, Michele (DEM)"	94		34	36.17		60	63.83		0		94																																																											
		Total	327		761	30.43		1740	69.57		0		2501																																																											

	Bald Face																																																																							
			1st Prefs		1063	75.87		338	24.13		                      		1401																																																											
		"LAU, John (UNI)"	25		11	44.00		14	56.00		0		25																																																											
		"RYDSTRAND, David (HAN)"	39		33	84.62		6	15.38		0		39																																																											
		"HARRIS, Chris (GRN)"	22		3	13.64		19	86.36		0		22																																																											
		"BARKER, David (CTA)"	24		21	87.50		3	12.50		0		24																																																											
		"ADAIR, Michele (DEM)"	55		18	32.73		37	67.27		0		55																																																											
		Total	165		1149	73.37		417	26.63		0		1566																																																											

	Banksia																																																																							
			1st Prefs		347	23.24		1146	76.76		                      		1493																																																											
		"LAU, John (UNI)"	11		5	45.45		6	54.55		0		11																																																											
		"RYDSTRAND, David (HAN)"	83		60	72.29		23	27.71		0		83																																																											
