Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Cowper (79982)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Argents Hill		10	10.99		1	1.10		0	0.00		0	0.00		1	1.10		0	0.00		8	8.79		3	3.30		0	0.00		22	24.18		1	1.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	24.18		0	0.00		0	0.00		21	23.08		1	1.10		0	0.00		0	0.00		1	1.10		91	98.91		1	1.09		92	0.12
Bayldon		175	8.07		64	2.95		0	0.00		1	0.05		29	1.34		1	0.05		110	5.07		15	0.69		4	0.18		712	32.84		65	3.00		0	0.00		19	0.88		1	0.05		6	0.28		3	0.14		876	40.41		19	0.88		2	0.09		61	2.81		0	0.00		1	0.05		4	0.18		0	0.00		2168	97.26		61	2.74		2229	2.92
Bellbrook		14	11.38		1	0.81		1	0.81		1	0.81		10	8.13		1	0.81		6	4.88		3	2.44		1	0.81		36	29.27		0	0.00		0	0.00		1	0.81		0	0.00		0	0.00		0	0.00		41	33.33		0	0.00		0	0.00		6	4.88		0	0.00		0	0.00		1	0.81		0	0.00		123	100.00		0	0.00		123	0.16
Bellimbopinni		30	16.95		0	0.00		0	0.00		0	0.00		2	1.13		1	0.56		6	3.39		1	0.56		1	0.56		50	28.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		72	40.68		2	1.13		0	0.00		11	6.21		0	0.00		0	0.00		0	0.00		1	0.56		177	96.20		7	3.80		184	0.24
Bellingen		102	4.98		65	3.17		0	0.00		0	0.00		25	1.22		7	0.34		236	11.52		26	1.27		3	0.15		532	25.98		24	1.17		0	0.00		11	0.54		0	0.00		1	0.05		3	0.15		620	30.27		10	0.49		0	0.00		374	18.26		0	0.00		0	0.00		7	0.34		2	0.10		2048	97.94		43	2.06		2091	2.74
Bellingen Hospital		8	4.08		9	4.59		0	0.00		0	0.00		1	0.51		0	0.00		20	10.20		4	2.04		0	0.00		64	32.65		1	0.51		0	0.00		1	0.51		0	0.00		1	0.51		0	0.00		63	32.14		1	0.51		0	0.00		22	11.22		0	0.00		0	0.00		1	0.51		0	0.00		196	96.55		7	3.45		203	0.27
Boambee		89	6.66		65	4.86		2	0.15		0	0.00		15	1.12		0	0.00		102	7.63		13	0.97		1	0.07		222	16.60		24	1.80		0	0.00		9	0.67		0	0.00		2	0.15		2	0.15		730	54.60		5	0.37		1	0.07		48	3.59		0	0.00		0	0.00		7	0.52		0	0.00		1337	98.02		27	1.98		1364	1.79
Bonville		81	9.51		37	4.34		0	0.00		1	0.12		9	1.06		1	0.12		51	5.99		7	0.82		2	0.23		163	19.13		12	1.41		1	0.12		5	0.59		0	0.00		1	0.12		1	0.12		428	50.23		2	0.23		0	0.00		46	5.40		0	0.00		0	0.00		3	0.35		1	0.12		852	98.50		13	1.50		865	1.13
