House of Representatives - 2001 Election: New South Wales												
Two Candidate Preferred Preference Flow Result												
By Polling Place by Division												
												
Mitchell (86647)												
		Candidate		"CADMAN, Alan"		               	"MCSHANE, John"		              	Total		
				LP		                         	ALP		                        			
				Votes	%	                     	Votes	%	                     			
	Aminya											
			1st Prefs	363	76.10		114	23.90		477		
		"MUDGEE, David (AFI)"	7	5	71.43		2	28.57		7		
		"BAGGS, David (DEM)"	26	7	26.92		19	73.08		26		
		"TAYLOR, Cindy (GRN)"	22	7	31.82		15	68.18		22		
		"GREGORY, Ken (CTA)"	18	18	100.00		0	0.00		18		
		"BURKE, Stephen (IND)"	5	0	0.00		5	100.00		5		
		"EDER, Dale (HAN)"	15	13	86.67		2	13.33		15		
		Total	93	413	72.46		157	27.54		570		

	Annangrove											
			1st Prefs	776	84.16		146	15.84		922		
		"MUDGEE, David (AFI)"	7	4	57.14		3	42.86		7		
		"BAGGS, David (DEM)"	53	17	32.08		36	67.92		53		
		"TAYLOR, Cindy (GRN)"	30	9	30.00		21	70.00		30		
		"GREGORY, Ken (CTA)"	30	27	90.00		3	10.00		30		
		"BURKE, Stephen (IND)"	18	7	38.89		11	61.11		18		
		"EDER, Dale (HAN)"	42	41	97.62		1	2.38		42		
		Total	180	881	79.95		221	20.05		1102		

	Baulkham Hills											
			1st Prefs	184	69.17		82	30.83		266		
		"MUDGEE, David (AFI)"	9	7	77.78		2	22.22		9		
		"BAGGS, David (DEM)"	20	5	25.00		15	75.00		20		
		"TAYLOR, Cindy (GRN)"	7	1	14.29		6	85.71		7		
		"GREGORY, Ken (CTA)"	12	10	83.33		2	16.67		12		
		"BURKE, Stephen (IND)"	4	0	0.00		4	100.00		4		
		"EDER, Dale (HAN)"	8	6	75.00		2	25.00		8		
		Total	60	213	65.34		113	34.66		326		

	Baulkham Hills High											
			1st Prefs	781	67.10		383	32.90		1164		
		"MUDGEE, David (AFI)"	24	15	62.50		9	37.50		24		
		"BAGGS, David (DEM)"	76	36	47.37		40	52.63		76		
		"TAYLOR, Cindy (GRN)"	53	16	30.19		37	69.81		53		
		"GREGORY, Ken (CTA)"	28	19	67.86		9	32.14		28		
		"BURKE, Stephen (IND)"	10	3	30.00		7	70.00		10		
		"EDER, Dale (HAN)"	35	25	71.43		10	28.57		35		
		Total	226	895	64.39		495	35.61		1390		

	Baulkham Hills North											
			1st Prefs	1644	72.74		616	27.26		2260		
		"MUDGEE, David (AFI)"	45	24	53.33		21	46.67		45		
		"BAGGS, David (DEM)"	178	56	31.46		122	68.54		178		
		"TAYLOR, Cindy (GRN)"	110	38	34.55		72	65.45		110		
		"GREGORY, Ken (CTA)"	53	34	64.15		19	35.85		53		
		"BURKE, Stephen (IND)"	13	6	46.15		7	53.85		13		
		"EDER, Dale (HAN)"	115	83	72.17		32	27.83		115		
		Total	514	1885	67.95		889	32.05		2774		

	Beaumont Hills											
			1st Prefs	944	74.86		317	25.14		1261		
		"MUDGEE, David (AFI)"	19	14	73.68		5	26.32		19		
		"BAGGS, David (DEM)"	47	24	51.06		23	48.94		47		
		"TAYLOR, Cindy (GRN)"	26	8	30.77		18	69.23		26		
		"GREGORY, Ken (CTA)"	46	39	84.78		7	15.22		46		
		"BURKE, Stephen (IND)"	8	5	62.50		3	37.50		8		
		"EDER, Dale (HAN)"	21	14	66.67		7	33.33		21		
		Total	167	1048	73.39		380	26.61		1428		

	Castle Hill											
			1st Prefs	2377	76.63		725	23.37		3102		
		"MUDGEE, David (AFI)"	46	27	58.70		19	41.30		46		
		"BAGGS, David (DEM)"	236	85	36.02		151	63.98		236		
		"TAYLOR, Cindy (GRN)"	130	40	30.77		90	69.23		130		
		"GREGORY, Ken (CTA)"	100	83	83.00		17	17.00		100		
		"BURKE, Stephen (IND)"	23	13	56.52		10	43.48		23		
		"EDER, Dale (HAN)"	101	73	72.28		28	27.72		101		
		Total	636	2698	72.18		1040	27.82		3738		

	Castle Hill East											
			1st Prefs	839	77.11		249	22.89		1088		
		"MUDGEE, David (AFI)"	10	9	90.00		1	10.00		10		
		"BAGGS, David (DEM)"	65	23	35.38		42	64.62		65		
		"TAYLOR, Cindy (GRN)"	39	10	25.64		29	74.36		39		
		"GREGORY, Ken (CTA)"	17	16	94.12		1	5.88		17		
		"BURKE, Stephen (IND)"	13	9	69.23		4	30.77		13		
		"EDER, Dale (HAN)"	23	16	69.57		7	30.43		23		
		Total	167	922	73.47		333	26.53		1255		

	Castle Hill High											
			1st Prefs	1512	73.54		544	26.46		2056		
		"MUDGEE, David (AFI)"	31	22	70.97		9	29.03		31		
		"BAGGS, David (DEM)"	132	50	37.88		82	62.12		132		
		"TAYLOR, Cindy (GRN)"	61	20	32.79		41	67.21		61		
		"GREGORY, Ken (CTA)"	63	53	84.13		10	15.87		63		
		"BURKE, Stephen (IND)"	23	8	34.78		15	65.22		23		
		"EDER, Dale (HAN)"	87	69	79.31		18	20.69		87		
		Total	397	1734	70.69		719	29.31		2453		

	Castle Hill West											
			1st Prefs	1392	76.02		439	23.98		1831		
		"MUDGEE, David (AFI)"	17	15	88.24		2	11.76		17		
		"BAGGS, David (DEM)"	86	34	39.53		52	60.47		86		
		"TAYLOR, Cindy (GRN)"	74	30	40.54		44	59.46		74		
		"GREGORY, Ken (CTA)"	44	30	68.18		14	31.82		44		
		"BURKE, Stephen (IND)"	23	13	56.52		10	43.48		23		
		"EDER, Dale (HAN)"	55	34	61.82		21	38.18		55		
		Total	299	1548	72.68		582	27.32		2130		

	Crestwood											
			1st Prefs	1098	73.15		403	26.85		1501		
		"MUDGEE, David (AFI)"	28	19	67.86		9	32.14		28		
		"BAGGS, David (DEM)"	77	23	29.87		54	70.13		77		
		"TAYLOR, Cindy (GRN)"	55	28	50.91		27	49.09		55		
		"GREGORY, Ken (CTA)"	24	20	83.33		4	16.67		24		
		"BURKE, Stephen (IND)"	22	10	45.45		12	54.55		22		
		"EDER, Dale (HAN)"	49	29	59.18		20	40.82		49		
		Total	255	1227	69.87		529	30.13		1756		

	Crestwood High											
			1st Prefs	2601	70.64		1081	29.36		3682		
		"MUDGEE, David (AFI)"	59	40	67.80		19	32.20		59		
		"BAGGS, David (DEM)"	198	78	39.39		120	60.61		198		
		"TAYLOR, Cindy (GRN)"	80	24	30.00		56	70.00		80		
		"GREGORY, Ken (CTA)"	95	78	82.11		17	17.89		95		
		"BURKE, Stephen (IND)"	25	17	68.00		8	32.00		25		
		"EDER, Dale (HAN)"	103	80	77.67		23	22.33		103		
		Total	560	2918	68.79		1324	31.21		4242		

	Dural (Mitchell)											
			1st Prefs	570	85.84		94	14.16		664		
		"MUDGEE, David (AFI)"	20	12	60.00		8	40.00		20		
		"BAGGS, David (DEM)"	30	16	53.33		14	46.67		30		
		"TAYLOR, Cindy (GRN)"	49	15	30.61		34	69.39		49		
		"GREGORY, Ken (CTA)"	12	10	83.33		2	16.67		12		
		"BURKE, Stephen (IND)"	7	5	71.43		2	28.57		7		
		"EDER, Dale (HAN)"	29	23	79.31		6	20.69		29		
		Total	147	651	80.27		160	19.73		811		

	Eurambie Park											
			1st Prefs	1521	73.66		544	26.34		2065		
		"MUDGEE, David (AFI)"	17	13	76.47		4	23.53		17		
		"BAGGS, David (DEM)"	140	48	34.29		92	65.71		140		
		"TAYLOR, Cindy (GRN)"	56	23	41.07		33	58.93		56		
		"GREGORY, Ken (CTA)"	60	47	78.33		13	21.67		60		
		"BURKE, Stephen (IND)"	18	8	44.44		10	55.56		18		
		"EDER, Dale (HAN)"	18	14	77.78		4	22.22		18		
		Total	309	1674	70.51		700	29.49		2374		

	Glenhaven											
			1st Prefs	1926	84.18		362	15.82		2288		
		"MUDGEE, David (AFI)"	34	27	79.41		7	20.59		34		
		"BAGGS, David (DEM)"	91	31	34.07		60	65.93		91		
		"TAYLOR, Cindy (GRN)"	86	31	36.05		55	63.95		86		
		"GREGORY, Ken (CTA)"	53	40	75.47		13	24.53		53		
		"BURKE, Stephen (IND)"	31	12	38.71		19	61.29		31		
		"EDER, Dale (HAN)"	54	40	74.07		14	25.93		54		
		Total	349	2107	79.90		530	20.10		2637		

	Hopetoun											
			1st Prefs	322	85.41		55	14.59		377		
		"MUDGEE, David (AFI)"	2	2	100.00		0	0.00		2		
		"BAGGS, David (DEM)"	9	2	22.22		7	77.78		9		
		"TAYLOR, Cindy (GRN)"	8	3	37.50		5	62.50		8		
		"GREGORY, Ken (CTA)"	5	5	100.00		0	0.00		5		
		"BURKE, Stephen (IND)"	2	1	50.00		1	50.00		2		
		"EDER, Dale (HAN)"	6	2	33.33		4	66.67		6		
		Total	32	337	82.40		72	17.60		409		

	Jasper Road											
			1st Prefs	2789	70.77		1152	29.23		3941		
		"MUDGEE, David (AFI)"	68	54	79.41		14	20.59		68		
		"BAGGS, David (DEM)"	233	84	36.05		149	63.95		233		
		"TAYLOR, Cindy (GRN)"	171	46	26.90		125	73.10		171		
