Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Warringah (85405)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Allambie		34	5.86		6	1.03		0	0.00		0	0.00		4	0.69		0	0.00		39	6.72		4	0.69		1	0.17		150	25.86		4	0.69		2	0.34		3	0.52		0	0.00		0	0.00		2	0.34		288	49.66		5	0.86		0	0.00		32	5.52		0	0.00		0	0.00		5	0.86		1	0.17		580	96.83		19	3.17		599	0.74
Allambie Heights		129	4.15		64	2.06		7	0.23		1	0.03		29	0.93		3	0.10		243	7.82		24	0.77		4	0.13		685	22.05		14	0.45		1	0.03		28	0.90		1	0.03		3	0.10		4	0.13		1677	53.97		15	0.48		8	0.26		149	4.80		1	0.03		0	0.00		16	0.51		1	0.03		3107	97.00		96	3.00		3203	3.98
Balgowlah		32	2.43		9	0.68		3	0.23		0	0.00		8	0.61		1	0.08		134	10.19		12	0.91		0	0.00		249	18.94		3	0.23		5	0.38		2	0.15		0	0.00		1	0.08		0	0.00		754	57.34		4	0.30		3	0.23		84	6.39		1	0.08		1	0.08		6	0.46		3	0.23		1315	96.62		46	3.38		1361	1.69
Balgowlah Heights		40	1.60		14	0.56		6	0.24		0	0.00		10	0.40		2	0.08		195	7.81		20	0.80		2	0.08		294	11.77		4	0.16		2	0.08		8	0.32		0	0.00		3	0.12		5	0.20		1710	68.45		5	0.20		6	0.24		163	6.53		0	0.00		0	0.00		4	0.16		5	0.20		2498	98.50		38	1.50		2536	3.15
Balmoral		8	0.78		2	0.20		1	0.10		0	0.00		1	0.10		1	0.10		95	9.27		4	0.39		1	0.10		130	12.68		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		700	68.29		2	0.20		3	0.29		75	7.32		0	0.00		0	0.00		1	0.10		0	0.00		1025	99.23		8	0.77		1033	1.28
Beacon Hill (Warringah)		40	3.58		45	4.03		9	0.81		0	0.00		18	1.61		1	0.09		80	7.17		8	0.72		0	0.00		236	21.15		12	1.08		1	0.09		10	0.90		0	0.00		0	0.00		1	0.09		581	52.06		12	1.08		5	0.45		50	4.48		1	0.09		0	0.00		6	0.54		0	0.00		1116	95.88		48	4.12		1164	1.45
Beauty Point		21	1.76		8	0.67		3	0.25		0	0.00		4	0.34		4	0.34		105	8.82		8	0.67		1	0.08		141	11.85		1	0.08		2	0.17		2	0.17		0	0.00		2	0.17		1	0.08		809	67.98		3	0.25		3	0.25		70	5.88		0	0.00		0	0.00		2	0.17		0	0.00		1190	97.94		25	2.06		1215	1.51
Brookvale		70	4.32		26	1.61		10	0.62		3	0.19		27	1.67		1	0.06		111	6.86		17	1.05		3	0.19		426	26.31		7	0.43		1	0.06		16	0.99		0	0.00		0	0.00		2	0.12		805	49.72		13	0.80		2	0.12		66	4.08		0	0.00		1	0.06		11	0.68		1	0.06		1619	94.79		89	5.21		1708	2.12
