House of Representatives - 2001 Election: New South Wales																																																						
First Preference Votes and TCP 																																																						
By Candidate by Polling Place																																																						

Robertson (84366)																																																						
	KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			# LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN			FORMAL			INFORMAL			TOTAL											
	Kaijin			Harry Ovens			Christine			Trish			Alasdair			Jim			Stephen			Kevin			James			Errol			Barry			Ken												Two Candidate Preferred								
	IND			DEM			CTA			ALP			IND			LP			GRN			IND			IND			HAN			PLP			CEC												 MORAN ALP			# LLOYD LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Avoca Beach	10	0.49		79	3.91		33	1.63		614	30.38		3	0.15		1035	51.21		124	6.14		68	3.36		20	0.99		27	1.34		7	0.35		1	0.05		2021	94.88		109	5.12		2130	2.64		829	41.02		1192	58.98				
Booker Bay	3	0.50		8	1.34		3	0.50		226	37.98		2	0.34		315	52.94		13	2.18		3	0.50		2	0.34		18	3.03		2	0.34		0	0.00		595	91.54		55	8.46		650	0.81		260	43.70		335	56.30				
Copacabana	13	0.98		53	3.98		21	1.58		445	33.43		2	0.15		641	48.16		93	6.99		28	2.10		8	0.60		23	1.73		3	0.23		1	0.08		1331	95.34		65	4.66		1396	1.73		601	45.15		730	54.85				
Davistown	13	0.97		63	4.72		9	0.67		476	35.63		4	0.30		679	50.82		23	1.72		9	0.67		3	0.22		49	3.67		5	0.37		3	0.22		1336	91.13		130	8.87		1466	1.82		591	44.24		745	55.76				
Empire Bay	18	0.72		83	3.33		36	1.45		755	30.33		8	0.32		1354	54.40		68	2.73		34	1.37		14	0.56		110	4.42		8	0.32		1	0.04		2489	95.58		115	4.42		2604	3.23		947	38.05		1542	61.95				
Erina	32	0.82		120	3.09		63	1.62		1224	31.55		15	0.39		2190	56.46		84	2.17		36	0.93		14	0.36		73	1.88		19	0.49		9	0.23		3879	93.95		250	6.05		4129	5.12		1473	37.97		2406	62.03				
Erina Heights (Robertson)	2	0.29		29	4.25		13	1.91		158	23.17		1	0.15		434	63.64		25	3.67		3	0.44		4	0.59		12	1.76		0	0.00		1	0.15		682	93.94		44	6.06		726	0.90		208	30.50		474	69.50				
Erina South	4	0.55		20	2.75		10	1.38		269	37.05		2	0.28		394	54.27		5	0.69		2	0.28		10	1.38		8	1.10		2	0.28		0	0.00		726	94.16		45	5.84		771	0.96		305	42.01		421	57.99
Ettalong	32	1.08		61	2.06		28	0.94		1204	40.57		14	0.47		1326	44.68		85	2.86		38	1.28		10	0.34		150	5.05		15	0.51		5	0.17		2968	91.49		276	8.51		3244	4.02		1471	49.56		1497	50.44
Ettalong South	5	0.77		9	1.39		2	0.31		325	50.31		2	0.31		265	41.02		13	2.01		1	0.15		1	0.15		22	3.41		1	0.15		0	0.00		646	92.95		49	7.05		695	0.86		358	55.42		288	44.58
Ettalong West	24	1.00		69	2.88		20	0.84		1165	48.66		7	0.29		880	36.76		77	3.22		27	1.13		18	0.75		86	3.59		19	0.79		2	0.08		2394	92.50		194	7.50		2588	3.21		1390	58.06		1004	41.94
Gosford	8	0.65		77	6.28		29	2.37		445	36.30		6	0.49		579	47.23		34	2.77		5	0.41		5	0.41		27	2.20		9	0.73		2	0.16		1226	92.95		93	7.05		1319	1.64		569	46.41		657	53.59
Gosford East	23	0.90		78	3.06		59	2.31		778	30.50		13	0.51		1423	55.78		72	2.82		16	0.63		5	0.20		65	2.55		14	0.55		5	0.20		2551	92.60		204	7.40		2755	3.42		978	38.34		1573	61.66
Gosford West	12	1.05		34	2.97		14	1.22		358	31.32		8	0.70		635	55.56		25	2.19		11	0.96		11	0.96		31	2.71		4	0.35		0	0.00		1143	92.55		92	7.45		1235	1.53		443	38.76		700	61.24
Green Point	6	0.61		30	3.07		45	4.60		231	23.62		1	0.10		612	62.58		26	2.66		5	0.51		5	0.51		15	1.53		2	0.20		0	0.00		978	93.59		67	6.41		1045	1.30		297	30.37		681	69.63
Hardys Bay	1	0.33		14	4.64		1	0.33		104	34.44		0	0.00		143	47.35		28	9.27		1	0.33		2	0.66		8	2.65		0	0.00		0	0.00		302	92.35		25	7.65		327	0.41		143	47.35		159	52.65
Henry Kendall	3	0.50		29	4.82		7	1.16		213	35.38		3	0.50		290	48.17		19	3.16		4	0.66		3	0.50		28	4.65		2	0.33		1	0.17		602	93.33		43	6.67		645	0.80		274	45.51		328	54.49
Kariong	18	0.64		119	4.22		30	1.06		782	27.76		26	0.92		1654	58.71		50	1.77		12	0.43		36	1.28		68	2.41		16	0.57		6	0.21		2817	93.53		195	6.47		3012	3.74		1017	36.10		1800	63.90
Kincumber	21	0.82		92	3.61		40	1.57		889	34.90		9	0.35		1245	48.88		83	3.26		65	2.55		16	0.63		79	3.10		6	0.24		2	0.08		2547	93.57		175	6.43		2722	3.38		1114	43.74		1433	56.26
Kincumber Central	14	1.07		42	3.20		15	1.14		454	34.58		4	0.30		654	49.81		18	1.37		59	4.49		10	0.76		38	2.89		3	0.23		2	0.15		1313	93.85		86	6.15		1399	1.74		579	44.10		734	55.90
Macmasters Beach	3	0.57		26	4.91		16	3.02		173	32.70		0	0.00		231	43.67		36	6.81		28	5.29		5	0.95		11	2.08		0	0.00		0	0.00		529	97.24		15	2.76		544	0.67		249	47.07		280	52.93
Mangrove Mountain	5	1.05		17	3.56		12	2.51		100	20.92		3	0.63		294	61.51		11	2.30		6	1.26		5	1.05		25	5.23		0	0.00		0	0.00		478	91.75		43	8.25		521	0.65		140	29.29		338	70.71
Mooney Mooney	2	0.75		9	3.40		1	0.38		74	27.92		1	0.38		158	59.62		9	3.40		0	0.00		0	0.00		11	4.15		0	0.00		0	0.00		265	93.97		17	6.03		282	0.35		92	34.72		173	65.28
Mount White	0	0.00		5	4.76		0	0.00		32	30.48		1	0.95		62	59.05		2	1.90		0	0.00		0	0.00		2	1.90		1	0.95		0	0.00		105	96.33		4	3.67		109	0.14		38	36.19		67	63.81
Narara South	11	0.72		71	4.64		71	4.64		474	30.96		8	0.52		787	51.40		44	2.87		9	0.59		10	0.65		33	2.16		5	0.33		8	0.52		1531	94.98		81	5.02		1612	2.00		612	39.97		919	60.03
