House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Dobell (82002)											
		Candidate		"LEE, Michael"		               	"TICEHURST, Ken"		             	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Bateau Bay Central										
			1st Prefs	345	44.12		437	55.88		782	
		"HENNIG, Luke (CTA)"	12	1	8.33		11	91.67		12	
		"KER, Samantha (GRN)"	9	8	88.89		1	11.11		9	
		"FALCONER, Ron (HAN)"	27	5	18.52		22	81.48		27	
		"HASTIE, Carolyn (DEM)"	21	14	66.67		7	33.33		21	
		Total	69	373	43.83		478	56.17		851	

	Bateau Bay East										
			1st Prefs	829	49.29		853	50.71		1682	
		"HENNIG, Luke (CTA)"	40	14	35.00		26	65.00		40	
		"KER, Samantha (GRN)"	59	40	67.80		19	32.20		59	
		"FALCONER, Ron (HAN)"	99	25	25.25		74	74.75		99	
		"HASTIE, Carolyn (DEM)"	99	76	76.77		23	23.23		99	
		Total	297	984	49.72		995	50.28		1979	

	Bateau Bay South										
			1st Prefs	557	52.50		504	47.50		1061	
		"HENNIG, Luke (CTA)"	15	5	33.33		10	66.67		15	
		"KER, Samantha (GRN)"	12	8	66.67		4	33.33		12	
		"FALCONER, Ron (HAN)"	27	8	29.63		19	70.37		27	
		"HASTIE, Carolyn (DEM)"	44	32	72.73		12	27.27		44	
		Total	98	610	52.63		549	47.37		1159	

	Bateau Bay West										
			1st Prefs	282	76.63		86	23.37		368	
		"HENNIG, Luke (CTA)"	5	1	20.00		4	80.00		5	
		"KER, Samantha (GRN)"	11	9	81.82		2	18.18		11	
		"FALCONER, Ron (HAN)"	14	5	35.71		9	64.29		14	
		"HASTIE, Carolyn (DEM)"	11	10	90.91		1	9.09		11	
		Total	41	307	75.06		102	24.94		409	

	Berkeley Vale										
			1st Prefs	1178	50.15		1171	49.85		2349	
		"HENNIG, Luke (CTA)"	71	19	26.76		52	73.24		71	
		"KER, Samantha (GRN)"	53	40	75.47		13	24.53		53	
		"FALCONER, Ron (HAN)"	135	47	34.81		88	65.19		135	
		"HASTIE, Carolyn (DEM)"	128	92	71.88		36	28.13		128	
		Total	387	1376	50.29		1360	49.71		2736	

	Berkeley Vale North										
			1st Prefs	583	52.48		528	47.52		1111	
		"HENNIG, Luke (CTA)"	18	5	27.78		13	72.22		18	
		"KER, Samantha (GRN)"	21	16	76.19		5	23.81		21	
		"FALCONER, Ron (HAN)"	53	16	30.19		37	69.81		53	
		"HASTIE, Carolyn (DEM)"	50	37	74.00		13	26.00		50	
		Total	142	657	52.43		596	47.57		1253	

	Blue Haven										
			1st Prefs	1025	56.41		792	43.59		1817	
		"HENNIG, Luke (CTA)"	21	10	47.62		11	52.38		21	
		"KER, Samantha (GRN)"	48	31	64.58		17	35.42		48	
		"FALCONER, Ron (HAN)"	105	27	25.71		78	74.29		105	
		"HASTIE, Carolyn (DEM)"	48	31	64.58		17	35.42		48	
		Total	222	1124	55.13		915	44.87		2039	

	Chittaway Bay										
			1st Prefs	1201	51.79		1118	48.21		2319	
		"HENNIG, Luke (CTA)"	39	12	30.77		27	69.23		39	
		"KER, Samantha (GRN)"	61	47	77.05		14	22.95		61	
		"FALCONER, Ron (HAN)"	126	40	31.75		86	68.25		126	
		"HASTIE, Carolyn (DEM)"	140	106	75.71		34	24.29		140	
		Total	366	1406	52.36		1279	47.64		2685	

