House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Riverina																										
				RICHTER			TURNER			ALBISTON			HULL			GRAHAM			DANCEY			MOORE				
				Dennis			Neil			Andrew			Kay			Rex			Russell Francis			Catherine				
				IND			HAN			CLR			NP			DEM			CTA			GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Adjungbilly                                                    																										
	FIRST			1	1.89		4	7.55		13	24.53		33	62.26		0	0.00		0	0.00		2	3.77		53	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.89		4	7.55		13	24.53		33	62.26		0	0.00					2	3.77		53	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL					4	7.55		13	24.53		33	62.26		1	1.89					2	3.77		53	
	FOURTH						0	0.00		2	100.00		0	0.00		0	0.00						Excluded		2	
		TOTAL					4	7.55		15	28.30		33	62.26		1	1.89								53	
	FIFTH						1	100.00		0	0.00		0	0.00			Excluded								1	
		TOTAL					5	9.43		15	28.30		33	62.26											53	
	SIXTH							Excluded		0	0.00		5	100.00											5	
		TOTAL								15	28.30		38	71.70											53	
													Elected													
																										
Ardlethan                                                      																										
	FIRST			13	3.51		21	5.68		70	18.92		258	69.73		3	0.81		3	0.81		2	0.54		370	
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67		1	33.33			Excluded		0	0.00		3	
		TOTAL		13	3.51		21	5.68		70	18.92		260	70.27		4	1.08					2	0.54		370	
	THIRD				Excluded		7	53.85		1	7.69		2	15.38		1	7.69					2	15.38		13	
		TOTAL					28	7.57		71	19.19		262	70.81		5	1.35					4	1.08		370	
	FOURTH						1	25.00		1	25.00		0	0.00		2	50.00						Excluded		4	
		TOTAL					29	7.84		72	19.46		262	70.81		7	1.89								370	
	FIFTH						0	0.00		1	14.29		6	85.71			Excluded								7	
		TOTAL					29	7.84		73	19.73		268	72.43											370	
	SIXTH							Excluded		16	55.17		13	44.83											29	
		TOTAL								89	24.05		281	75.95											370	
													Elected													
																										
Ariah Park                                                     																										
	FIRST			10	2.72		20	5.43		35	9.51		285	77.45		1	0.27		13	3.53		4	1.09		368	
	SECOND			0	0.00		2	15.38		2	15.38		9	69.23		0	0.00			Excluded		0	0.00		13	
		TOTAL		10	2.72		22	5.98		37	10.05		294	79.89		1	0.27					4	1.09		368	
	THIRD				Excluded		3	30.00		2	20.00		1	10.00		2	20.00					2	20.00		10	
