House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Cowper (79982)											
		Candidate		"BONFIELD, Jenny"		            	"HARTSUYKER, Luke"		           	Total	
				CLR		                        	NP		                         		
				Votes	%	                     	Votes	%	                     		
	Argents Hill										
			1st Prefs	26	57.78		19	42.22		45	
		"MAGUIRE, John (LEF)"	0	0	0.00		0	0.00		0	
		"WILLEY, John (IND)"	7	5	71.43		2	28.57		7	
		"NEUSS, Phillip (LP)"	3	1	33.33		2	66.67		3	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	23	19	82.61		4	17.39		23	
		"FENTON, Michael (DEM)"	5	4	80.00		1	20.00		5	
		"KORN, Bruce (CTA)"	1	0	0.00		1	100.00		1	
		"STOKES, Allan (HAN)"	8	1	12.50		7	87.50		8	
		Total	47	56	60.87		36	39.13		92	

	Bayldon										
			1st Prefs	740	53.78		636	46.22		1376	
		"MAGUIRE, John (LEF)"	95	43	45.26		52	54.74		95	
		"WILLEY, John (IND)"	14	8	57.14		6	42.86		14	
		"NEUSS, Phillip (LP)"	342	27	7.89		315	92.11		342	
		"VAN BLADEL, Paul (IND)"	14	10	71.43		4	28.57		14	
		"CRANNY, Jillian (GRN)"	70	48	68.57		22	31.43		70	
		"FENTON, Michael (DEM)"	42	26	61.90		16	38.10		42	
		"KORN, Bruce (CTA)"	63	7	11.11		56	88.89		63	
		"STOKES, Allan (HAN)"	125	37	29.60		88	70.40		125	
		Total	765	946	44.18		1195	55.82		2141	

	Bellbrook										
			1st Prefs	47	55.95		37	44.05		84	
		"MAGUIRE, John (LEF)"	1	1	100.00		0	0.00		1	
		"WILLEY, John (IND)"	1	1	100.00		0	0.00		1	
		"NEUSS, Phillip (LP)"	10	4	40.00		6	60.00		10	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	4	3	75.00		1	25.00		4	
		"FENTON, Michael (DEM)"	3	3	100.00		0	0.00		3	
		"KORN, Bruce (CTA)"	2	1	50.00		1	50.00		2	
		"STOKES, Allan (HAN)"	11	4	36.36		7	63.64		11	
		Total	32	64	55.17		52	44.83		116	

	Bellimbopinni										
			1st Prefs	57	48.72		60	51.28		117	
		"MAGUIRE, John (LEF)"	2	2	100.00		0	0.00		2	
		"WILLEY, John (IND)"	3	1	33.33		2	66.67		3	
		"NEUSS, Phillip (LP)"	25	4	16.00		21	84.00		25	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	8	6	75.00		2	25.00		8	
		"FENTON, Michael (DEM)"	3	2	66.67		1	33.33		3	
		"KORN, Bruce (CTA)"	0	0	0.00		0	0.00		0	
		"STOKES, Allan (HAN)"	20	10	50.00		10	50.00		20	
		Total	61	82	46.07		96	53.93		178	

	Bellingen										
			1st Prefs	661	59.50		450	40.50		1111	
		"MAGUIRE, John (LEF)"	37	21	56.76		16	43.24		37	
		"WILLEY, John (IND)"	20	10	50.00		10	50.00		20	
		"NEUSS, Phillip (LP)"	213	13	6.10		200	93.90		213	
		"VAN BLADEL, Paul (IND)"	6	3	50.00		3	50.00		6	
		"CRANNY, Jillian (GRN)"	380	350	92.11		30	7.89		380	
		"FENTON, Michael (DEM)"	122	98	80.33		24	19.67		122	
		"KORN, Bruce (CTA)"	57	11	19.30		46	80.70		57	
		"STOKES, Allan (HAN)"	70	22	31.43		48	68.57		70	
		Total	905	1189	58.98		827	41.02		2016	

	Bellingen Hospital										
			1st Prefs	76	59.84		51	40.16		127	
		"MAGUIRE, John (LEF)"	2	1	50.00		1	50.00		2	
		"WILLEY, John (IND)"	1	0	0.00		1	100.00		1	
		"NEUSS, Phillip (LP)"	12	1	8.33		11	91.67		12	
		"VAN BLADEL, Paul (IND)"	0	0	0.00		0	0.00		0	
		"CRANNY, Jillian (GRN)"	28	23	82.14		5	17.86		28	
		"FENTON, Michael (DEM)"	6	6	100.00		0	0.00		6	
		"KORN, Bruce (CTA)"	10	1	10.00		9	90.00		10	
		"STOKES, Allan (HAN)"	5	3	60.00		2	40.00		5	
		Total	64	111	58.12		80	41.88		191	

	Boambee										
			1st Prefs	273	35.32		500	64.68		773	
		"MAGUIRE, John (LEF)"	32	12	37.50		20	62.50		32	
		"WILLEY, John (IND)"	12	6	50.00		6	50.00		12	
		"NEUSS, Phillip (LP)"	270	26	9.63		244	90.37		270	
		"VAN BLADEL, Paul (IND)"	8	2	25.00		6	75.00		8	
		"CRANNY, Jillian (GRN)"	45	37	82.22		8	17.78		45	
		"FENTON, Michael (DEM)"	53	34	64.15		19	35.85		53	
		"KORN, Bruce (CTA)"	61	16	26.23		45	73.77		61	
		"STOKES, Allan (HAN)"	60	17	28.33		43	71.67		60	
		Total	541	423	32.19		891	67.81		1314	

	Bonville										
			1st Prefs	179	35.31		328	64.69		507	
		"MAGUIRE, John (LEF)"	19	9	47.37		10	52.63		19	
		"WILLEY, John (IND)"	13	4	30.77		9	69.23		13	
		"NEUSS, Phillip (LP)"	159	8	5.03		151	94.97		159	
		"VAN BLADEL, Paul (IND)"	3	1	33.33		2	66.67		3	
		"CRANNY, Jillian (GRN)"	38	31	81.58		7	18.42		38	
		"FENTON, Michael (DEM)"	24	11	45.83		13	54.17		24	
		"KORN, Bruce (CTA)"	24	2	8.33		22	91.67		24	
		"STOKES, Allan (HAN)"	53	16	30.19		37	69.81		53	
		Total	333	261	31.07		579	68.93		840	

	Bostobrick										
			1st Prefs	22	34.92		41	65.08		63	
		"MAGUIRE, John (LEF)"	2	1	50.00		1	50.00		2	
		"WILLEY, John (IND)"	2	1	50.00		1	50.00		2	
		"NEUSS, Phillip (LP)"	4	1	25.00		3	75.00		4	
		"VAN BLADEL, Paul (IND)"	1	0	0.00		1	100.00		1	
		"CRANNY, Jillian (GRN)"	8	6	75.00		2	25.00		8	
		"FENTON, Michael (DEM)"	4	3	75.00		1	25.00		4	
		"KORN, Bruce (CTA)"	2	0	0.00		2	100.00		2	
		"STOKES, Allan (HAN)"	11	4	36.36		7	63.64		11	
		Total	34	38	39.18		59	60.82		97	

	Bowraville										
			1st Prefs	318	54.36		267	45.64		585	
		"MAGUIRE, John (LEF)"	26	19	73.08		7	26.92		26	
		"WILLEY, John (IND)"	37	21	56.76		16	43.24		37	
		"NEUSS, Phillip (LP)"	148	15	10.14		133	89.86		148	
		"VAN BLADEL, Paul (IND)"	2	1	50.00		1	50.00		2	
		"CRANNY, Jillian (GRN)"	96	79	82.29		17	17.71		96	
		"FENTON, Michael (DEM)"	16	10	62.50		6	37.50		16	
		"KORN, Bruce (CTA)"	9	2	22.22		7	77.78		9	
		"STOKES, Allan (HAN)"	113	30	26.55		83	73.45		113	
		Total	447	495	47.97		537	52.03		1032	

	Brooms Head										
			1st Prefs	70	60.87		45	39.13		115	
		"MAGUIRE, John (LEF)"	0	0	0.00		0	0.00		0	
		"WILLEY, John (IND)"	0	0	0.00		0	0.00		0	
		"NEUSS, Phillip (LP)"	15	2	13.33		13	86.67		15	
		"VAN BLADEL, Paul (IND)"	2	2	100.00		0	0.00		2	
		"CRANNY, Jillian (GRN)"	7	4	57.14		3	42.86		7	
