House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
New England																							
				REINER			MCCARTHY			WINDSOR			BOUNDS			REARDON			ST. CLAIR				
				Michelle			Annette			Tony			Kayleen			Chris			Stuart				
				GRN			CLR			IND			HAN			DEM			NP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Arding                                                         																							
	FIRST			15	5.68		44	16.67		95	35.98		5	1.89		4	1.52		101	38.26		264	
	SECOND			1	25.00		1	25.00		1	25.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		16	6.06		45	17.05		96	36.36		6	2.27					101	38.26		264	
	THIRD				Excluded		5	31.25		10	62.50		1	6.25					0	0.00		16	
		TOTAL					50	18.94		106	40.15		7	2.65					101	38.26		264	
	FOURTH						0	0.00		5	71.43			Excluded					2	28.57		7	
		TOTAL					50	18.94		111	42.05								103	39.02		264	
	FIFTH							Excluded		45	90.00								5	10.00		50	
		TOTAL								156	59.09								108	40.91		264	
										Elected													
																							
Armidale                                                       																							
	FIRST			175	6.74		417	16.06		968	37.29		46	1.77		71	2.73		919	35.40		2596	
	SECOND			40	56.34		8	11.27		16	22.54		0	0.00			Excluded		7	9.86		71	
		TOTAL		215	8.28		425	16.37		984	37.90		46	1.77					926	35.67		2596	
	THIRD				Excluded		109	50.70		94	43.72		3	1.40					9	4.19		215	
		TOTAL					534	20.57		1078	41.53		49	1.89					935	36.02		2596	
	FOURTH						14	28.57		28	57.14			Excluded					7	14.29		49	
		TOTAL					548	21.11		1106	42.60								942	36.29		2596	
	FIFTH							Excluded		483	88.14								65	11.86		548	
		TOTAL								1589	61.21								1007	38.79		2596	
										Elected													
																							
Armidale East                                                  																							
	FIRST			51	4.12		279	22.52		432	34.87		20	1.61		21	1.69		436	35.19		1239	
	SECOND			14	66.67		1	4.76		1	4.76		1	4.76			Excluded		4	19.05		21	
		TOTAL		65	5.25		280	22.60		433	34.95		21	1.69					440	35.51		1239	
	THIRD				Excluded		32	49.23		28	43.08		2	3.08					3	4.62		65	
		TOTAL					312	25.18		461	37.21		23	1.86					443	35.75		1239	
	FOURTH						4	17.39		10	43.48			Excluded					9	39.13		23	
		TOTAL					316	25.50		471	38.01								452	36.48		1239	
	FIFTH							Excluded		269	85.13								47	14.87		316	
		TOTAL								740	59.73								499	40.27		1239	
										Elected													
																							
Armidale Hospital                                              																							
	FIRST			53	6.24		157	18.49		352	41.46		9	1.06		16	1.88		262	30.86		849	
	SECOND			7	43.75		3	18.75		3	18.75		0	0.00			Excluded		3	18.75		16	
		TOTAL		60	7.07		160	18.85		355	41.81		9	1.06					265	31.21		849	
	THIRD				Excluded		33	55.00		26	43.33		1	1.67					0	0.00		60	
		TOTAL					193	22.73		381	44.88		10	1.18					265	31.21		849	
	FOURTH						0	0.00		7	70.00			Excluded					3	30.00		10	
		TOTAL					193	22.73		388	45.70								268	31.57		849	
	FIFTH							Excluded		173	89.64								20	10.36		193	
		TOTAL								561	66.08								288	33.92		849	
										Elected													
																							
Armidale South                                                 																							
	FIRST			55	5.10		159	14.75		406	37.66		13	1.21		37	3.43		408	37.85		1078	
	SECOND			23	62.16		6	16.22		5	13.51		0	0.00			Excluded		3	8.11		37	
		TOTAL		78	7.24		165	15.31		411	38.13		13	1.21					411	38.13		1078	
	THIRD				Excluded		37	47.44		35	44.87		2	2.56					4	5.13		78	
		TOTAL					202	18.74		446	41.37		15	1.39					415	38.50		1078	
	FOURTH						0	0.00		9	60.00			Excluded					6	40.00		15	
		TOTAL					202	18.74		455	42.21								421	39.05		1078	
	FIFTH							Excluded		182	90.10								20	9.90		202	
		TOTAL								637	59.09								441	40.91		1078	
										Elected													
																							
Armidale University                                            																							
