Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Macarthur (80127)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Airds		56	5.64		15	1.51		1	0.10		0	0.00		49	4.93		1	0.10		27	2.72		15	1.51		5	0.50		529	53.27		5	0.50		1	0.10		10	1.01		1	0.10		4	0.40		2	0.20		206	20.75		22	2.22		0	0.00		30	3.02		0	0.00		0	0.00		14	1.41		0	0.00		993	95.39		48	4.61		1041	1.36
Airds North		30	4.50		8	1.20		1	0.15		0	0.00		33	4.95		0	0.00		16	2.40		6	0.90		2	0.30		435	65.22		8	1.20		0	0.00		5	0.75		0	0.00		0	0.00		0	0.00		97	14.54		7	1.05		0	0.00		16	2.40		0	0.00		0	0.00		3	0.45		0	0.00		667	93.29		48	6.71		715	0.94
Ambarvale		195	5.25		69	1.86		16	0.43		3	0.08		89	2.40		3	0.08		156	4.20		45	1.21		8	0.22		1299	34.99		13	0.35		4	0.11		26	0.70		1	0.03		8	0.22		6	0.16		1606	43.25		25	0.67		4	0.11		99	2.67		1	0.03		4	0.11		32	0.86		1	0.03		3713	96.84		121	3.16		3834	5.02
Ambarvale West		111	5.29		31	1.48		1	0.05		1	0.05		32	1.53		0	0.00		70	3.34		17	0.81		5	0.24		806	38.42		19	0.91		1	0.05		22	1.05		0	0.00		10	0.48		2	0.10		875	41.71		13	0.62		1	0.05		65	3.10		0	0.00		0	0.00		16	0.76		0	0.00		2098	97.22		60	2.78		2158	2.82
Austral (Macarthur)		6	3.49		3	1.74		0	0.00		0	0.00		4	2.33		0	0.00		6	3.49		0	0.00		0	0.00		52	30.23		1	0.58		0	0.00		3	1.74		0	0.00		0	0.00		0	0.00		91	52.91		2	1.16		0	0.00		1	0.58		0	0.00		0	0.00		3	1.74		0	0.00		172	88.66		22	11.34		194	0.25
Badgerys Creek		18	8.00		0	0.00		0	0.00		1	0.44		7	3.11		0	0.00		4	1.78		3	1.33		0	0.00		83	36.89		4	1.78		1	0.44		1	0.44		0	0.00		0	0.00		0	0.00		96	42.67		1	0.44		0	0.00		6	2.67		0	0.00		0	0.00		0	0.00		0	0.00		225	92.59		18	7.41		243	0.32
Blairmount		34	3.82		23	2.58		4	0.45		1	0.11		26	2.92		1	0.11		25	2.81		10	1.12		3	0.34		401	45.01		3	0.34		2	0.22		8	0.90		1	0.11		4	0.45		0	0.00		317	35.58		8	0.90		1	0.11		11	1.23		1	0.11		0	0.00		7	0.79		0	0.00		891	95.70		40	4.30		931	1.22
Bradbury		264	6.63		96	2.41		2	0.05		2	0.05		79	1.98		4	0.10		235	5.90		38	0.95		14	0.35		1243	31.21		28	0.70		3	0.08		32	0.80		0	0.00		18	0.45		8	0.20		1725	43.31		35	0.88		4	0.10		97	2.44		0	0.00		3	0.08		49	1.23		4	0.10		3983	96.37		150	3.63		4133	5.41
