House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Greenway (85876)											
		Candidate		"MOSSFIELD, Frank"		           	"HOLDER, Rick"		               	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Blacktown Central										
			1st Prefs	120	65.22		64	34.78		184	
		"BAWDEN, Bob (CTA)"	6	3	50.00		3	50.00		6	
		"SHERWOOD, Ted (AFI)"	4	1	25.00		3	75.00		4	
		"PETTITT, Tony (HAN)"	8	4	50.00		4	50.00		8	
		"VLATKO, Tony (GRN)"	4	4	100.00		0	0.00		4	
		"FRANCIS, Joseph (DEM)"	5	3	60.00		2	40.00		5	
		"TANDA, Amarjit Singh (IND)"	2	2	100.00		0	0.00		2	
		Total	29	137	64.32		76	35.68		213	

	Blacktown City										
			1st Prefs	479	62.78		284	37.22		763	
		"BAWDEN, Bob (CTA)"	65	36	55.38		29	44.62		65	
		"SHERWOOD, Ted (AFI)"	16	8	50.00		8	50.00		16	
		"PETTITT, Tony (HAN)"	32	15	46.88		17	53.13		32	
		"VLATKO, Tony (GRN)"	26	14	53.85		12	46.15		26	
		"FRANCIS, Joseph (DEM)"	28	20	71.43		8	28.57		28	
		"TANDA, Amarjit Singh (IND)"	6	4	66.67		2	33.33		6	
		Total	173	576	61.54		360	38.46		936	

	Blacktown East										
			1st Prefs	1225	57.35		911	42.65		2136	
		"BAWDEN, Bob (CTA)"	134	73	54.48		61	45.52		134	
		"SHERWOOD, Ted (AFI)"	65	43	66.15		22	33.85		65	
		"PETTITT, Tony (HAN)"	184	60	32.61		124	67.39		184	
		"VLATKO, Tony (GRN)"	80	56	70.00		24	30.00		80	
		"FRANCIS, Joseph (DEM)"	111	73	65.77		38	34.23		111	
		"TANDA, Amarjit Singh (IND)"	26	13	50.00		13	50.00		26	
		Total	600	1543	56.40		1193	43.60		2736	

	Blacktown Hospital										
			1st Prefs	182	71.09		74	28.91		256	
		"BAWDEN, Bob (CTA)"	11	9	81.82		2	18.18		11	
		"SHERWOOD, Ted (AFI)"	3	2	66.67		1	33.33		3	
		"PETTITT, Tony (HAN)"	10	4	40.00		6	60.00		10	
		"VLATKO, Tony (GRN)"	8	5	62.50		3	37.50		8	
		"FRANCIS, Joseph (DEM)"	12	10	83.33		2	16.67		12	
		"TANDA, Amarjit Singh (IND)"	3	1	33.33		2	66.67		3	
		Total	47	213	70.30		90	29.70		303	

	Blacktown North										
			1st Prefs	638	59.96		426	40.04		1064	
		"BAWDEN, Bob (CTA)"	108	43	39.81		65	60.19		108	
		"SHERWOOD, Ted (AFI)"	17	12	70.59		5	29.41		17	
		"PETTITT, Tony (HAN)"	89	32	35.96		57	64.04		89	
		"VLATKO, Tony (GRN)"	23	14	60.87		9	39.13		23	
		"FRANCIS, Joseph (DEM)"	23	18	78.26		5	21.74		23	
		"TANDA, Amarjit Singh (IND)"	12	8	66.67		4	33.33		12	
		Total	272	765	57.26		571	42.74		1336	

	Blacktown South										
			1st Prefs	1001	59.44		683	40.56		1684	
		"BAWDEN, Bob (CTA)"	108	59	54.63		49	45.37		108	
		"SHERWOOD, Ted (AFI)"	35	26	74.29		9	25.71		35	
		"PETTITT, Tony (HAN)"	143	36	25.17		107	74.83		143	
		"VLATKO, Tony (GRN)"	51	41	80.39		10	19.61		51	
		"FRANCIS, Joseph (DEM)"	92	65	70.65		27	29.35		92	
