House of Representatives - 2001 Election: New South Wales												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Bradfield (89832)												
		Candidate		"BLUNT, Kathie"		              	"NELSON, Brendan"		            	Total		
				ALP		                        	LP		                         			
				Votes	%	                     	Votes	%	                     			
	Castle Cove											
			1st Prefs	278	21.96		988	78.04		1266		
		"BELL, David (GRN)"	96	69	71.88		27	28.13		96		
		"WEBECK, John (HAN)"	17	5	29.41		12	70.59		17		
		"WISZNIEWSKI, Witold (CTA)"	14	2	14.29		12	85.71		14		
		"BYRNE, Peter (DEM)"	111	58	52.25		53	47.75		111		
		Total	238	412	27.39		1092	72.61		1504		
												
	Chatswood (Bradfield)											
			1st Prefs	664	40.91		959	59.09		1623		
		"BELL, David (GRN)"	140	119	85.00		21	15.00		140		
		"WEBECK, John (HAN)"	32	13	40.63		19	59.38		32		
		"WISZNIEWSKI, Witold (CTA)"	38	8	21.05		30	78.95		38		
		"BYRNE, Peter (DEM)"	205	133	64.88		72	35.12		205		
		Total	415	937	45.98		1101	54.02		2038		

	Chatswood East (Bradfield)											
			1st Prefs	288	36.97		491	63.03		779		
		"BELL, David (GRN)"	70	61	87.14		9	12.86		70		
		"WEBECK, John (HAN)"	24	9	37.50		15	62.50		24		
		"WISZNIEWSKI, Witold (CTA)"	5	1	20.00		4	80.00		5		
		"BYRNE, Peter (DEM)"	62	37	59.68		25	40.32		62		
		Total	161	396	42.13		544	57.87		940		

	Chatswood North											
			1st Prefs	357	35.70		643	64.30		1000		
		"BELL, David (GRN)"	78	57	73.08		21	26.92		78		
		"WEBECK, John (HAN)"	14	2	14.29		12	85.71		14		
		"WISZNIEWSKI, Witold (CTA)"	21	5	23.81		16	76.19		21		
		"BYRNE, Peter (DEM)"	93	69	74.19		24	25.81		93		
		Total	206	490	40.63		716	59.37		1206		

	Chatswood South (Bradfield)											
			1st Prefs	101	28.77		250	71.23		351		
		"BELL, David (GRN)"	31	23	74.19		8	25.81		31		
		"WEBECK, John (HAN)"	4	0	0.00		4	100.00		4		
		"WISZNIEWSKI, Witold (CTA)"	4	3	75.00		1	25.00		4		
		"BYRNE, Peter (DEM)"	40	23	57.50		17	42.50		40		
		Total	79	150	34.88		280	65.12		430		

	Chatswood West											
			1st Prefs	656	39.61		1000	60.39		1656		
		"BELL, David (GRN)"	205	158	77.07		47	22.93		205		
		"WEBECK, John (HAN)"	32	14	43.75		18	56.25		32		
		"WISZNIEWSKI, Witold (CTA)"	22	9	40.91		13	59.09		22		
		"BYRNE, Peter (DEM)"	159	113	71.07		46	28.93		159		
		Total	418	950	45.81		1124	54.19		2074		

	Ferndale											
			1st Prefs	198	28.53		496	71.47		694		
		"BELL, David (GRN)"	62	45	72.58		17	27.42		62		
		"WEBECK, John (HAN)"	19	10	52.63		9	47.37		19		
		"WISZNIEWSKI, Witold (CTA)"	11	1	9.09		10	90.91		11		
		"BYRNE, Peter (DEM)"	67	46	68.66		21	31.34		67		
		Total	159	300	35.17		553	64.83		853		

	Gordon											
			1st Prefs	647	25.36		1904	74.64		2551		
		"BELL, David (GRN)"	233	166	71.24		67	28.76		233		
		"WEBECK, John (HAN)"	50	18	36.00		32	64.00		50		
		"WISZNIEWSKI, Witold (CTA)"	53	15	28.30		38	71.70		53		
		"BYRNE, Peter (DEM)"	226	142	62.83		84	37.17		226		
		Total	562	988	31.74		2125	68.26		3113		

	Gordon East											
