House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences																												
By Polling Place																												
																												
Werriwa																												
				URI			MASINA			WOODGER			TAN			BLANCH			BARSONY			LATHAM			KOTARSKI			
				John			Paul			Janey			Greg			Glenda			Roger			Mark			P			
				UNI			LP			AFI			CTA			DEM			GRN			ALP			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Austral (Werriwa)                                              																												
	FIRST			43	3.24		630	47.51		15	1.13		26	1.96		24	1.81		23	1.73		482	36.35		83	6.26		1326
	SECOND			2	13.33		4	26.67			Excluded		1	6.67		2	13.33		2	13.33		0	0.00		4	26.67		15
		TOTAL		45	3.39		634	47.81					27	2.04		26	1.96		25	1.89		482	36.35		87	6.56		1326
	THIRD				Excluded		31	68.89					1	2.22		4	8.89		3	6.67		6	13.33		0	0.00		45
		TOTAL					665	50.15					28	2.11		30	2.26		28	2.11		488	36.80		87	6.56		1326
	FOURTH						12	42.86						Excluded		2	7.14		4	14.29		7	25.00		3	10.71		28
		TOTAL					677	51.06								32	2.41		32	2.41		495	37.33		90	6.79		1326
	FIFTH						4	12.50								8	25.00			Excluded		14	43.75		6	18.75		32
		TOTAL					681	51.36								40	3.02					509	38.39		96	7.24		1326
	SIXTH						13	32.50									Excluded					25	62.50		2	5.00		40
		TOTAL					694	52.34														534	40.27		98	7.39		1326
	SEVENTH						72	73.47														26	26.53			Excluded		98
		TOTAL					766	57.77														560	42.23					1326
																						Elected						
																												
Campbellfield                                                  																												
	FIRST			22	1.82		319	26.45		23	1.91		18	1.49		33	2.74		35	2.90		702	58.21		54	4.48		1206
	SECOND			1	4.35		3	13.04			Excluded		0	0.00		3	13.04		4	17.39		5	21.74		7	30.43		23
		TOTAL		23	1.91		322	26.70					18	1.49		36	2.99		39	3.23		707	58.62		61	5.06		1206
	THIRD				Excluded		14	60.87					1	4.35		4	17.39		2	8.70		2	8.70		0	0.00		23
		TOTAL					336	27.86					19	1.58		40	3.32		41	3.40		709	58.79		61	5.06		1206
	FOURTH						8	42.11						Excluded		5	26.32		2	10.53		4	21.05		0	0.00		19
		TOTAL					344	28.52								45	3.73		43	3.57		713	59.12		61	5.06		1206
	FIFTH						5	11.63								11	25.58			Excluded		20	46.51		7	16.28		43
		TOTAL					349	28.94								56	4.64					733	60.78		68	5.64		1206
	SIXTH						19	33.93									Excluded					33	58.93		4	7.14		56
		TOTAL					368	30.51														766	63.52		72	5.97		1206
	SEVENTH						22	30.56														50	69.44			Excluded		72
		TOTAL					390	32.34														816	67.66					1206
																						Elected						
																												
Cartwright (Werriwa)                                           																												
	FIRST			29	5.23		97	17.48		12	2.16		9	1.62		11	1.98		16	2.88		346	62.34		35	6.31		555
	SECOND			1	8.33		1	8.33			Excluded		2	16.67		1	8.33		0	0.00		0	0.00		7	58.33		12
		TOTAL		30	5.41		98	17.66					11	1.98		12	2.16		16	2.88		346	62.34		42	7.57		555
	THIRD				Excluded		17	56.67					5	16.67		1	3.33		1	3.33		5	16.67		1	3.33		30
		TOTAL					115	20.72					16	2.88		13	2.34		17	3.06		351	63.24		43	7.75		555
	FOURTH						6	37.50						Excluded		2	12.50		1	6.25		5	31.25		2	12.50		16
		TOTAL					121	21.80								15	2.70		18	3.24		356	64.14		45	8.11		555
	FIFTH						4	22.22								7	38.89			Excluded		6	33.33		1	5.56		18
		TOTAL					125	22.52								22	3.96					362	65.23		46	8.29		555
	SIXTH						0	0.00									Excluded					21	95.45		1	4.55		22
		TOTAL					125	22.52														383	69.01		47	8.47		555
	SEVENTH						25	53.19														22	46.81			Excluded		47
		TOTAL					150	27.03														405	72.97					555
																						Elected						
																												
Casula                                                         																												
	FIRST			65	1.92		1089	32.17		54	1.60		91	2.69		93	2.75		69	2.04		1763	52.08		161	4.76		3385
	SECOND			4	7.41		16	29.63			Excluded		7	12.96		1	1.85		4	7.41		9	16.67		13	24.07		54
